mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,omega_o,r,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,name
0.05310938321749129,0.05968766679250964,5.098500788879164,0.0,57.0,0.02309209770626492,20306238543.317215,57.0,28.115182976973685,0.21078135634904954,-0.45879225111803973,1.0,0.07691466464823718,22.5,2.5,7.0,17.5,70.0,0.6161919608712196,0.0,0.0918639600276947,0.0,0.0,0.0,coarse_b22.5_wc2.5_wo17.5_r70
0.05176350392516108,0.06317182552399475,4.969296376815464,0.0,67.0,0.011988805400000678,20205886551.416367,67.0,6.975231291118421,0.21306526001618445,-0.4865819764218759,1.0,0.07801609825765705,37.5,2.5,7.0,17.5,70.0,0.44931644201278687,0.0,0.058874115347862244,0.0,0.0,0.0,coarse_b37.5_wc2.5_wo17.5_r70
0.052677866970230504,0.061709071702551826,5.057075229142129,0.0,63.0,0.032222867012023926,20238237134.1392,63.0,10.897239925986842,0.2116870877761546,-0.48357526346558394,1.0,0.07880645535783472,30.5,2.5,7.0,17.5,70.0,0.45249980315566063,0.0,0.0850396454334259,0.0,0.0,0.0,coarse_b30.5_wc2.5_wo17.5_r70
0.05250747653904142,0.06494337124826784,5.040717747747976,0.0,74.0,0.006617565949757894,20199109319.590313,74.0,5.897887541118421,0.22025731815622948,-0.491794325325933,1.0,0.07978835249377066,37.5,2.5,5.5,13.75,70.0,0.5476778894662857,0.0,0.0708354189991951,0.0,0.0,0.0,coarse_b37.5_wc2.5_wo13.75_r70
0.05161286206960606,0.0638349126645319,4.954834758682182,0.0,71.0,0.008440143532223172,20251134941.238045,71.0,8.476701274671052,0.23167282464563468,-0.5061891589111492,1.0,0.08085790955883682,30.5,2.5,5.5,13.75,70.0,0.40093373507261276,0.0,0.09039865434169769,0.0,0.0,0.0,coarse_b30.5_wc2.5_wo13.75_r70
0.0534426744399236,0.06613029775960333,5.130496746232666,0.0,76.0,0.008469184239705404,20199197006.287163,76.0,5.789735814144737,0.22450698671342859,-0.49503967359138956,1.0,0.08141378140195728,45.0,2.5,7.0,17.5,70.0,0.5775386467576027,0.0,0.07965552061796188,0.0,0.0,0.0,coarse_b45_wc2.5_wo17.5_r70
0.052470649188836184,0.0651984716988189,5.037182322128274,0.003069639205932617,74.0,0.0018187032805548774,20244394662.698677,74.0,7.483213404605263,0.23577627931457806,-0.4907914699246641,1.0,0.08192662021586739,30.5,2.5,4.5,11.25,70.0,0.4825892001390457,0.0,0.1176837831735611,0.0,0.0,0.0,coarse_b30.5_wc2.5_wo11.25_r70
0.05361478132306038,0.06174696815607576,5.147019007013796,0.0,62.0,0.043773247136010066,20319148917.01552,62.0,20.659719366776315,0.22933759086749603,-0.5086797547154284,1.0,0.08258628715145894,22.5,2.5,5.5,13.75,70.0,0.5401459559798241,0.0,0.15186309814453125,0.0,0.0,0.0,coarse_b22.5_wc2.5_wo13.75_r70
0.054650728060321306,0.06788628022158445,5.246469893790845,0.00024247169494628906,80.0,0.009745213720533583,20216453483.869953,80.0,6.465023643092105,0.238159816572713,-0.4990582958967891,1.0,0.08477603875138427,30.5,2.5,3.5,8.75,70.0,0.6292452365159988,0.0,0.07959946244955063,0.0,0.0,0.0,coarse_b30.5_wc2.5_wo8.75_r70
0.05460498243225468,0.0692799842711826,5.2420783134964495,0.0,82.0,0.026348067654503718,20186628475.4398,82.0,5.191000205592105,0.23069268693413628,-0.49778096217902695,1.0,0.08573673628808211,45.0,2.5,5.5,13.75,70.0,0.6299366131424904,0.0,0.03541504591703415,0.0,0.0,0.0,coarse_b45_wc2.5_wo13.75_r70
0.05615199505528068,0.0693359120572905,5.390591525306945,0.0,82.0,0.021686587068769667,20193649567.233047,82.0,5.43528474506579,0.2316557411165034,-0.5036704054444874,1.0,0.085848438775543,37.5,2.5,4.5,11.25,70.0,0.651900164783001,0.0,0.041786592453718185,0.0,0.0,0.0,coarse_b37.5_wc2.5_wo11.25_r70
0.05151057758727262,0.06281305600736327,4.945015448378172,0.0039047598838806152,67.0,0.03490655289755927,20358198716.425453,67.0,17.71375925164474,0.2568057624058732,-0.49291772582395926,1.0,0.08624078011186767,22.5,2.5,4.5,11.25,70.0,0.31744782626628876,0.0,0.1675085425376892,0.0,0.0,0.0,coarse_b22.5_wc2.5_wo11.25_r70
0.051310916116712235,0.06450001163518802,4.925847947204375,0.01214146614074707,72.0,0.00806806484858195,20330206515.521484,72.0,11.612577097039473,0.264418713798442,-0.5101041541348676,1.0,0.08628827120316367,22.5,2.5,3.5,8.75,70.0,0.3234087973833084,0.0,0.1543206125497818,0.0,0.0,0.0,coarse_b22.5_wc2.5_wo8.75_r70
0.056764146553346016,0.072610825576669,5.449358069121217,0.007983624935150146,88.0,0.042940212620629206,20184315541.33178,88.0,4.763892886513158,0.2376757406299516,-0.5077579646936151,1.0,0.09053503398068324,45.0,2.5,4.5,11.25,70.0,0.6067092791199684,0.0,0.057908132672309875,0.0,0.0,0.0,coarse_b45_wc2.5_wo11.25_r70
0.0570139925516718,0.07480950043040031,5.473343284960492,0.007783353328704834,95.0,0.05134540134006076,20159589301.433968,95.0,4.5127107319078945,0.229703061353796,-0.49771932953520065,1.0,0.09126678212390289,37.5,2.5,2.5,6.25,70.0,0.48878462985157967,0.0,0.07395800203084946,0.0,0.0,0.0,coarse_b37.5_wc2.5_wo6.25_r70
0.05832570356854442,0.07237564140084725,5.5992675425802645,0.008684396743774414,91.0,0.04864504602220324,20194191154.085106,91.0,5.592819695723684,0.24134924505244534,-0.4998777285247886,1.0,0.09173942185869342,37.5,2.5,3.5,8.75,70.0,0.6576639860868454,0.0,0.06685348600149155,0.0,0.0,0.0,coarse_b37.5_wc2.5_wo8.75_r70
0.04414565915104873,0.05353417252545111,4.237983278500678,0.036165475845336914,95.0,0.0525272356139289,20645685714.033524,95.0,43.23130139802632,0.32431258631438625,-0.47605669756306646,1.0,0.09184530303238685,45.0,4.0,7.0,28.0,70.0,0.3753260653465986,0.0,0.28354811668395996,0.0,0.0,0.0,coarse_b45_wc4_wo28_r70
0.04437529510367,0.053616359789985496,4.26002832995232,0.035263776779174805,95.0,0.05749095810784234,20688917351.584175,95.0,54.78271484375,0.3269630840499875,-0.46349008696006294,1.0,0.09271307169693503,30.5,4.0,4.5,18.0,70.0,0.5290732830762863,0.0,0.30929672718048096,0.0,0.0,0.0,coarse_b30.5_wc4_wo18_r70
0.04619737103854268,0.05607917993063144,4.434947619700097,0.04278522729873657,67.0,0.018064379692077637,20570977322.298767,67.0,24.94567228618421,0.3363150902616948,-0.4933757152088452,1.0,0.092831141630151,45.0,4.0,5.5,22.0,70.0,0.14216460566967726,0.0,0.13547557592391968,0.0,0.0,0.0,coarse_b45_wc4_wo22_r70
0.045998988602507986,0.05545743827838153,4.415902905840767,0.043424785137176514,95.0,0.026473237408532038,20617369101.86964,95.0,30.939473684210526,0.3406729300321415,-0.4806195733746048,1.0,0.09378868297385876,37.5,4.0,4.5,18.0,70.0,0.13540883548557758,0.0,0.2166968286037445,0.0,0.0,0.0,coarse_b37.5_wc4_wo18_r70
0.06038591883981089,0.07393679122062434,5.797048208621845,0.012015879154205322,95.0,0.06094466977649265,20202214453.698605,95.0,5.84430509868421,0.24687421395466733,-0.5213856758562382,1.0,0.0948894421977092,30.5,2.5,2.5,6.25,70.0,0.6613073647022247,0.0,0.09759441018104553,0.0,0.0,0.0,coarse_b30.5_wc2.5_wo6.25_r70
0.04989404269762332,0.05934500961648319,4.789828098971839,0.04868227243423462,72.0,0.03272637393739489,20480100177.86264,72.0,15.397543174342106,0.32461468314872916,-0.5362529144691769,1.0,0.09490252166457608,45.0,4.0,4.5,18.0,70.0,0.30640964582562447,0.0,0.23752425611019135,0.0,0.0,0.0,coarse_b45_wc4_wo18_r70
0.045926621884478415,0.05503851538824518,4.408955700909928,0.03931748867034912,95.0,0.059478541215260826,20717857518.348946,95.0,48.6536287006579,0.3378444796986057,-0.45672320031407293,1.0,0.09567781286584924,37.5,4.0,5.5,22.0,70.0,0.4190226383507252,0.0,0.31186822056770325,0.0,0.0,0.0,coarse_b37.5_wc4_wo22_r70
0.046361606709768445,0.05557714767901708,4.450714244137771,0.04286569356918335,95.0,0.04399602942996555,20673732394.696003,95.0,36.762813527960525,0.34331608437052635,-0.48100827564108184,1.0,0.09571416144677294,30.5,4.0,3.5,14.0,70.0,0.20549863949418068,0.0,0.29273271560668945,0.0,0.0,0.0,coarse_b30.5_wc4_wo14_r70
0.05710606114354041,0.07031751237210641,5.482181869779879,0.03233569860458374,82.0,0.017358514997694228,20326979706.797195,82.0,9.63854337993421,0.29364906113340805,-0.5111490109104818,1.0,0.09617859837528504,22.5,2.5,2.5,6.25,70.0,0.7220757529139519,0.0,0.19511258602142334,0.0,0.0,0.0,coarse_b22.5_wc2.5_wo6.25_r70
