mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,omega_o,r,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,name
0.04370002151333807,0.05002452778647709,4.195202065280455,0.0,50.0,0.011945691373613145,20286215587.44391,50.0,31.018179481907893,0.18995420998230728,-0.45503394374693745,1.0,0.06570228139246514,24.3,2.9499999999999997,7.415254237288136,21.875,63.0,0.5039736218750477,0.0,0.09855887293815613,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.08_wc1.18_wo1.25_r0.90
0.044071494338536375,0.05067910551770996,4.230863456499492,0.0,52.0,0.014846040142907036,20271344743.197403,52.0,23.09094880756579,0.19114818863329716,-0.43559717954808547,1.0,0.06654771840887488,26.549999999999997,2.9499999999999997,7.415254237288136,21.875,63.0,0.5573363453149796,0.0,0.08135969191789627,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.18_wc1.18_wo1.25_r0.90
0.043615176771839494,0.0499782654232316,4.187056970096592,0.0,50.0,0.014125327269236246,20322648655.017212,50.0,40.65960115131579,0.1951385778286556,-0.4336412603637048,1.0,0.06661189419298252,22.5,2.9499999999999997,7.415254237288136,21.875,63.0,0.4385293759405613,0.0,0.10961931943893433,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.00_wc1.18_wo1.25_r0.90
0.04420655406069566,0.05062001171386901,4.2438291898267835,0.0,52.0,0.01255965895122952,20285296180.148323,52.0,26.33350123355263,0.19388361857765948,-0.4762318592893425,1.0,0.06676963275751438,25.925,2.9499999999999997,7.415254237288136,21.875,63.0,0.5652495212852955,0.0,0.0998898297548294,0.0,0.0,0.0,refine_coarse_b30.5_wc2.5_wo17.5_r70_b0.85_wc1.18_wo1.25_r0.90
0.04659366347101231,0.052499961325259005,4.472991693217182,0.0,52.0,0.01456529564327664,20272157848.42791,52.0,27.928757195723684,0.18762241637914848,-0.45256391381585664,1.0,0.06750229753142932,24.3,2.9499999999999997,7.415254237288136,21.875,52.5,0.49758031591773033,0.0,0.10244762897491455,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.08_wc1.18_wo1.25_r0.75
0.04863264487613369,0.054018200986170675,4.668733908108834,0.0,51.0,0.01825689607196384,20257404305.144855,51.0,28.936168791118423,0.17978545980530775,-0.4442632185158475,1.0,0.06786491017417388,22.5,2.7,8.101851851851851,21.875,63.0,0.4587017707526684,0.0,0.0855209231376648,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.00_wc1.08_wo1.25_r0.90
0.04355857551071788,0.050317668684385544,4.181623249028917,0.0,51.0,0.009664760695563423,20351106381.674217,51.0,39.73652857730263,0.20607012917617593,-0.43051169913965265,1.0,0.06807013311062708,22.5,2.9499999999999997,6.52542372881356,19.25,63.0,0.5016238130629063,0.0,0.13261234760284424,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.00_wc1.18_wo1.10_r0.90
0.044524092652463786,0.05125395937044836,4.274312894636523,0.0,54.0,0.020933866500854492,20264789952.81623,54.0,18.301953125,0.19534663430223007,-0.45103168658702636,1.0,0.06807120064964223,28.974999999999998,2.9499999999999997,7.415254237288136,21.875,63.0,0.6018512770533562,0.0,0.07410097867250443,0.0,0.0,0.0,refine_coarse_b30.5_wc2.5_wo17.5_r70_b0.95_wc1.18_wo1.25_r0.90
0.04643023112792122,0.052049166219185976,4.457302188280437,0.0,50.0,0.017571104897393122,20309559260.12655,50.0,38.65425061677632,0.1919714711404131,-0.44578935751453974,1.0,0.06811449670898995,22.5,2.9499999999999997,7.415254237288136,21.875,52.5,0.44706816226243973,0.0,0.10747470706701279,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.00_wc1.18_wo1.25_r0.75
0.04406114820700916,0.05080227142282519,4.22987022787288,0.0,53.0,0.01337000396516588,20311129493.288467,53.0,28.39811369243421,0.20237446408873136,-0.46360810169737476,1.0,0.06817924885447867,24.3,2.9499999999999997,6.52542372881356,19.25,63.0,0.5890787839889526,0.0,0.11435229331254959,0.0,0.0,0.0,refine_coarse_b22.5_wc2.5_wo17.5_r70_b1.08_wc1.18_wo1.10_r0.90
