step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,0.0,0.0,1.0,0.0,0.0,0.0
9.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,0.0,0.0,1.0,0.0,0.0,0.0
14.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,0.0,1.0,0.0,0.0,0.0
16.0,0.0,0.0,1.0,0.0,0.0,0.0
17.0,0.0,0.0,1.0,0.0,0.0,0.4200665056705475
18.0,0.0,0.0,1.0070011615753174,0.0,0.0,0.4200665056705475
19.0,0.0,0.0,1.0140022039413452,0.0,0.0,0.4200665056705475
20.0,0.0,0.0,1.0210033655166626,0.0,0.0,0.4200665056705475
21.0,0.0,0.0,1.0280044078826904,0.0,0.0,0.4200665056705475
22.0,0.0,0.0,1.0350055694580078,0.0,0.0,0.4200665056705475
23.0,0.0,0.0,1.0420066118240356,0.0,0.0,0.4200665056705475
24.0,0.0,0.0,1.049007773399353,0.0,0.0,0.4200665056705475
25.0,0.0,0.0,1.0560088157653809,0.0,0.0,0.4200665056705475
26.0,0.0,0.0,1.0630099773406982,0.0,0.0,0.4200665056705475
27.0,0.0,0.0,1.0700111389160156,0.0,0.0,0.4200665056705475
28.0,0.0,0.0,1.0770121812820435,0.0,0.0,0.4200665056705475
29.0,0.0,0.0,1.0840133428573608,0.0,0.0,0.4200665056705475
30.0,0.0,0.0,1.0910143852233887,0.0,0.0,0.4200665056705475
31.0,0.0,0.0,1.098015546798706,0.0,0.0,0.4200665056705475
32.0,0.0,0.0,1.1050165891647339,0.0,0.0,0.4200665056705475
33.0,0.0,0.0,1.1120177507400513,0.0,0.0,0.4200665056705475
34.0,0.0,0.0,1.119018793106079,0.0,0.0,0.4200665056705475
35.0,0.0,0.0,1.1260199546813965,0.0,0.0,0.4200665056705475
36.0,0.0,0.0,1.1330211162567139,0.0,0.0,0.4200665056705475
37.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
38.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
39.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
40.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
41.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
42.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
43.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
44.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
45.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
46.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
47.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
48.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
49.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
50.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
51.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
52.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
53.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
54.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
55.0,0.0,0.0,1.1400221586227417,0.0,0.0,0.0
56.0,0.0,0.0,1.1400221586227417,0.0,0.0,-0.2379339635372162
57.0,0.0,0.0,1.136056661605835,0.0,0.0,-0.2379339635372162
58.0,0.0,0.0,1.1320910453796387,0.0,0.0,-0.2379339635372162
59.0,0.0,0.0,1.1281254291534424,0.0,0.0,-0.2379339635372162
60.0,0.0,0.0,1.1241599321365356,0.0,0.0,-0.2379339635372162
61.0,0.0,0.0,1.1201943159103394,0.0,0.0,-0.2379339635372162
62.0,0.0,0.0,1.1162288188934326,0.0,0.0,-0.2379339635372162
63.0,0.0,0.0,1.1122632026672363,0.0,0.0,-0.2379339635372162
64.0,0.0,0.0,1.10829758644104,0.0,0.0,-0.2379339635372162
65.0,0.0,0.0,1.1043320894241333,0.0,0.0,-0.2379339635372162
66.0,0.0,0.0,1.100366473197937,0.0,0.0,-0.2379339635372162
67.0,0.0,0.0,1.0964009761810303,0.0,0.0,-0.2379339635372162
68.0,0.0,0.0,1.092435359954834,0.0,0.0,-0.2379339635372162
69.0,0.0,0.0,1.0884698629379272,0.0,0.0,-0.2379339635372162
70.0,0.0,0.0,1.084504246711731,0.0,0.0,-0.2379339635372162
71.0,0.0,0.0,1.0805386304855347,0.0,0.0,-0.2379339635372162
