controller,r,b0,omega_c,k,rmse,mae,velocity_rmse,reward,control_variation,score
PID,10.0,30.5,1.5,11.0,0.03926087375944421,0.02391878348996812,0.18360868099302605,-0.4544030165471397,6.8686266447368425,0.0549125685922016
LADRC(default),10.0,30.5,1.5,11.0,0.18211150949248722,0.1749952696396632,0.2159836686279414,-0.6070750100546672,2.1278011924342106,0.18080011134661053
LADRC(retuned),63.0,24.3,2.9499999999999997,7.415254237288136,0.05002452778647709,0.04370002151333807,0.18995420998230728,-0.45503394374693745,31.018179481907893,0.06570228139246514
