scenario,controller,rmse,mae,velocity_rmse,reward,control_variation,disturbance_abs_mean
no_disturbance,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,401.73990019011404,0.0
no_disturbance,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,390.6007771655181,0.0
no_disturbance,DDPG-LADRC (best v=2),0.05732393111832678,0.049232366288325446,0.2256844940140022,-0.07509338698970774,403.8379203303232,0.0
random_hover_0p004,PID,0.062070849854467515,0.041972681561519364,0.2554569968288404,-0.04325211051012575,395.48459964650664,0.00019268607756010059
random_hover_0p004,LADRC(0.5-opt),0.05800738690441423,0.0505992468213291,0.2172130274072904,-0.04244448596992614,368.7802400190114,0.00019268607756010059
random_hover_0p004,"DDPG-LADRC (v=2, 0.004N, pos-only, multiseed, normfix, 300eps)",0.05406123128170396,0.046738407812547754,0.2334141718614815,-0.03871740170194759,416.2280756149002,0.00019268607756010059
