scenario,action_order,r_bounds,b0_bounds,omega_c_bounds,k_bounds,delta_r,delta_b0,delta_omega_c,delta_k,anchor_r,anchor_b0,anchor_omega_c,anchor_k
no_disturbance,"r,b0,omega_c,k","[50.0, 78.0]","[14.0, 36.0]","[1.2, 4.4]","[2.5, 13.0]","[-13.0, 15.0]","[-10.3, 11.7]","[-1.75, 1.45]","[-4.915254237288136, 5.584745762711864]",63.0,24.3,2.95,7.415254237288136
random_hover_0p004,"r,b0,omega_c,k","[58.0, 68.0]","[20.0, 30.0]","[2.4, 3.5]","[5.8, 9.2]","[-5.0, 5.0]","[-4.3, 5.7]","[-0.55, 0.55]","[-1.615254237288136, 1.784745762711864]",63.0,24.3,2.95,7.415254237288136
