mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,hold_steady_state_error,controller,speed_mps,score
0.011327606314032816,0.017031458492388768,1.3593127576839379,0.03644824028015137,0.0,0.03119091937939326,25135965318.625877,0.0,3.0658646271008405,0.08729927122153314,-0.41400974616908687,gym_env,-0.09718352882191539,1.0,0.08941271901130676,0.0,0.0,1.0,0.025222599506378174,pid_pos_att,0.2,35.02982655453998
0.06024794151930462,0.06562009787556845,7.229752982316555,0.01833289861679077,100.0,0.010231236616770426,25111386473.091873,100.0,1.1949226956407564,0.10895187138783284,-0.46420169847526277,gym_env,0.14654351398348808,0.0,0.061914633959531784,0.0,0.0,0.0,0.026462017248074215,ladrc_x_pos_pid_att_default,0.2,0.07430388322491638
0.013018031154977431,0.01501674539290063,1.5621637385972917,0.0178622305393219,0.0,0.013959124684333801,25185875265.70963,0.0,22.45326861213235,0.07862850667057683,-0.39479208915929004,gym_env,-0.02779149654088542,0.0,0.07487227767705917,0.0,0.0,0.0,0.011843999226888021,ladrc_x_pos_pid_att_retuned,0.2,0.024709723069717866
0.02393824536315871,0.03622001734732014,2.872589443579045,0.07258450984954834,119.0,0.06432056923707326,25212528153.93636,119.0,6.21101956407563,0.1675455891657706,-0.4537750761812505,gym_env,-0.15973711386322975,1.0,0.1480046808719635,0.0,0.0,1.0,0.051890768110752106,pid_pos_att,0.4,35.060060991003745
0.12025917287240825,0.13110982357976744,14.43110074468899,0.037676095962524414,106.0,0.019604012370109558,25129460257.53544,106.0,1.5757410386029411,0.21805485793557283,-0.5381205782954519,gym_env,0.26588466949760914,0.0,0.09714945405721664,0.0,0.125,0.0,0.051050372421741486,ladrc_x_pos_pid_att_default,0.4,0.14780081230496678
0.06746212323417353,0.07193657813812734,8.095454788100824,0.060294389724731445,119.0,0.056191861629486084,25173013057.52491,119.0,8.001095555409664,0.17863438656933678,-0.48078847509607514,gym_env,0.023683891457039863,0.0,0.12039878219366074,0.0,0.0,0.0,0.04012034088373184,ladrc_x_pos_pid_att_retuned,0.4,0.09408253279186704
0.036678797705536684,0.05447556365955142,4.401455724664402,0.10175585746765137,119.0,0.08877830704053243,25356413171.4837,119.0,13.154723608193278,0.2524401486584774,-0.4444824554257862,gym_env,-0.23686019703745842,1.0,0.21807894110679626,0.0,0.0,1.0,0.0728965550661087,pid_pos_att,0.6,35.08911367395393
0.1845117472228992,0.2011954610466172,22.141409666747904,0.06480872631072998,119.0,0.03264852364857992,25167310485.881527,119.0,2.448082162552521,0.34078888384092615,-0.6147901695403953,gym_env,0.39244796708226204,0.0,0.16396678984165192,0.0,0.125,0.0,0.07880736390749614,ladrc_x_pos_pid_att_default,0.6,0.22846690468566877
0.051133285201632364,0.0644657252795637,6.135994224195883,0.072837233543396,119.0,0.06884016593297322,25456550915.258003,119.0,11.687044544380251,0.2875572734379851,-0.4724780121865371,gym_env,-0.02245323220267892,0.0,0.15369491279125214,0.0,0.0,0.0,0.047712559501330055,ladrc_x_pos_pid_att_retuned,0.6,0.10040229495916511
0.05755721013260692,0.08544364156844923,6.9068652159128305,0.16968131065368652,119.0,0.15637622276941934,25545997829.94068,119.0,19.784163274684875,0.35594606118049765,-0.47839899216307546,gym_env,-0.28473201859742403,1.0,0.3577771782875061,0.0,0.0,1.0,0.12298542261123657,pid_pos_att,0.8,35.136153641036316
0.24393384111097588,0.2661669430939389,29.272060933317107,0.08651387691497803,119.0,0.04308166106541952,25209424748.210472,119.0,3.495351070115546,0.44825659619711133,-0.6856047493579737,gym_env,0.5245727226138115,0.0,0.20210669934749603,0.0,0.0,0.0,0.10251706838607788,ladrc_x_pos_pid_att_default,0.8,0.2985573663368976
0.06776284528564057,0.08566159918079305,8.131541434276869,0.10622715950012207,119.0,0.09967748324076335,25817895030.514656,119.0,23.465442817752102,0.4048602337848034,-0.5121094607626834,gym_env,-0.04656671290285885,0.0,0.25290387868881226,0.0,0.0,0.0,0.06776796778043111,ladrc_x_pos_pid_att_retuned,0.8,0.13538688760833315
0.07676228144978078,0.11297977369843067,9.211473773973694,0.22341275215148926,119.0,0.20789188146591187,25800111186.69352,119.0,29.813484768907564,0.45700405773148206,-0.5005640523110539,gym_env,-0.34121462143957615,1.0,0.487211674451828,0.0,0.0,1.0,0.16105697552363077,pid_pos_att,1.0,35.17798725514963
0.304921640261558,0.33249963071336214,36.59059683138696,0.10612821578979492,119.0,0.05315957466761271,25270125668.477585,119.0,5.3623990611869745,0.5597357059774722,-0.7548813227947304,gym_env,0.6624067239463329,0.0,0.2463231086730957,0.0,0.0,0.0,0.1288396418094635,ladrc_x_pos_pid_att_default,1.0,0.3713918530837297
0.0872309159060156,0.11052108328780401,10.467709908721872,0.10150146484375,119.0,0.09499533971150716,26353371387.475754,119.0,42.83910927652311,0.5285076971618992,-0.5126593556151042,gym_env,-0.03088254574686289,0.0,0.23688122630119324,0.0,0.0,0.0,0.06457219024499257,ladrc_x_pos_pid_att_retuned,1.0,0.16924378695483072
0.09746609016894088,0.14366177154148752,11.695930820272906,0.29864001274108887,119.0,0.28376638889312744,26115233286.240463,119.0,45.30514705882353,0.5644453576135187,-0.5255402377877096,gym_env,-0.28481569420546293,1.0,0.6091849207878113,0.0,0.0,1.0,0.21295796831448874,pid_pos_att,1.2,35.226741813378524
0.36717607983207945,0.4001483668213816,44.061129579849535,0.1316213607788086,119.0,0.06554617484410603,25344559128.76696,119.0,6.640768612132353,0.6798651662898759,-0.8322922956587872,gym_env,0.7917200177907944,0.0,0.3048382103443146,0.0,0.0,0.0,0.15644865234692892,ladrc_x_pos_pid_att_default,1.2,0.4465676433751067
0.16351402837339984,0.18480017698935072,19.621683404807982,0.11752152442932129,119.0,0.11116653680801392,26079685195.615555,119.0,65.64110507484244,0.5471485481894519,-0.5992550575995838,gym_env,-0.0028869271437770294,0.0,0.24403007328510284,0.0,0.0,0.0,0.07908432682355244,ladrc_x_pos_pid_att_retuned,1.2,0.23510859678455895
0.1156291895892366,0.16633497944634548,13.875502750708392,0.3225562572479248,119.0,0.3042163650194804,26577948119.657387,119.0,61.21197561055672,0.6770526987606637,-0.5352124850995365,gym_env,-0.39098965958692133,1.0,0.6791651844978333,0.0,0.0,1.0,0.231825590133667,pid_pos_att,1.4,35.2625224008284
0.428430506604992,0.4673676330491795,51.41166079259904,0.15064668655395508,119.0,0.07498570283253987,25420510556.01967,119.0,9.010479582457982,0.7861137816017755,-0.8974822885447741,gym_env,0.925505056977272,0.0,0.3324015736579895,0.0,0.0,0.0,0.1802979310353597,ladrc_x_pos_pid_att_default,1.4,0.5199238843906813
0.17844873501621616,0.2025300381008321,21.41384820194594,0.2262880802154541,119.0,0.2138328750928243,26352796550.828472,119.0,47.83780035451681,0.6509723071764832,-0.6162713327942789,gym_env,-0.004501619376242161,0.0,0.41268470883369446,0.0,0.0,0.0,0.14691844582557678,ladrc_x_pos_pid_att_retuned,1.4,0.27998164653448754
