controller,mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend
pid_pos_att,0.004234217405031752,0.006488629392436318,1.6259394835321928,0.02059130370616913,0.0,0.0030144663837027587,80358959423.1544,0.0,0.9564371532310705,0.033568104818846686,-0.2708436816828683,gym_env
ladrc_x_pos_pid_att_default,0.019473403577927966,0.026991125660536634,7.4777869739243386,0.05111082270741463,378.0,0.046239952948924745,80354072750.42848,378.0,0.8038600991351175,0.04231245902656818,-0.28286792730223637,gym_env
ladrc_x_pos_pid_att_tuned,0.04384522958552997,0.059992708842951166,16.83656816084351,0.1347830854356289,383.0,0.1259724285551592,80347003057.17755,383.0,0.5461801872552219,0.06768536663770974,-0.3065866005589802,gym_env
