step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,0.0,0.0,1.0,0.0,0.0,0.0
9.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,0.0,0.0,1.0,0.0,0.09819648414850235,0.0
12.0,0.0,0.002045760164037347,1.0,0.0,0.09819648414850235,0.0
13.0,0.0,0.004091520328074694,1.0,0.0,0.09819648414850235,0.0
14.0,0.0,0.006137280259281397,1.0,0.0,0.09819648414850235,0.0
15.0,0.0,0.008183040656149387,1.0,0.0,0.09819648414850235,0.0
16.0,0.0,0.01022880058735609,1.0,0.0,0.09819648414850235,0.0
17.0,0.0,0.012274560518562794,1.0,0.0,0.09819648414850235,0.0
18.0,0.0,0.014320320449769497,1.0,0.0,0.09819648414850235,0.0
19.0,0.0,0.016366081312298775,1.0,0.0,0.09819648414850235,0.0
20.0,0.0,0.018411841243505478,1.0,0.0,0.09819648414850235,0.0
21.0,0.0,0.02045760117471218,1.0,0.0,0.09819648414850235,0.0
22.0,0.0,0.022503361105918884,1.0,0.0,0.09819648414850235,0.0
23.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
24.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
25.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
26.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
27.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
28.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
29.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
30.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
31.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
32.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
33.0,0.0,0.024549121037125587,1.0,0.0,0.0,0.0
34.0,0.0,0.024549121037125587,1.0,0.0,-0.09589583426713943,0.0
35.0,0.0,0.022551290690898895,1.0,0.0,-0.09589583426713943,0.0
36.0,0.0,0.020553462207317352,1.0,0.0,-0.09589583426713943,0.0
37.0,0.0,0.01855563186109066,1.0,0.0,-0.09589583426713943,0.0
38.0,0.0,0.016557801514863968,1.0,0.0,-0.09589583426713943,0.0
39.0,0.0,0.01455997209995985,1.0,0.0,-0.09589583426713943,0.0
40.0,0.0,0.012562141753733158,1.0,0.0,-0.09589583426713943,0.0
41.0,0.0,0.01056431233882904,1.0,0.0,-0.09589583426713943,0.0
42.0,0.0,0.008566481992602348,1.0,0.0,-0.09589583426713943,0.0
43.0,0.0,0.0065686521120369434,1.0,0.0,-0.09589583426713943,0.0
44.0,0.0,0.0045708222314715385,1.0,0.0,-0.09589583426713943,0.0
45.0,0.0,0.0025729923509061337,1.0,0.0,-0.09589583426713943,0.0
46.0,0.0,0.0005751624703407288,1.0,0.0,-0.09589583426713943,0.0
47.0,0.0,-0.0014226674102246761,1.0,0.0,-0.09589583426713943,0.0
