mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,factor,scale
0.010974381060455896,0.014184236759448552,0.526770290901883,0.02097050496377051,0.0,0.014478355654864572,10043924629.915426,0.0,0.4196569564494681,0.09562554448412841,-0.4086069080940583,1.0,1004392463.1459987,228.096,1.4040000000000001,6.793846153846154,b0,0.8
0.010611409395878754,0.013833508005662104,0.5093476510021802,0.013850356735929381,0.0,0.008359190069313627,10043732570.072372,0.0,0.3607359541223404,0.08574645832159922,-0.4036314592275667,1.0,1004373257.151276,256.608,1.4040000000000001,6.793846153846154,b0,0.9
0.010717103482076922,0.013944001349928391,0.5144209671396922,0.01608697371557355,0.0,0.010445053185685537,10043613285.64433,0.0,0.27466339760638303,0.08841741028441252,-0.40120628218023147,1.0,1004361328.7012306,285.12,1.4040000000000001,6.793846153846154,b0,1.0
0.01133861700073524,0.014619123321012426,0.5442536160352915,0.02515686210244894,0.0,0.017444278587936422,10043914117.772118,0.0,0.45978432513297873,0.10357341487500678,-0.4012352842082483,1.0,1004391411.9397743,313.632,1.4040000000000001,6.793846153846154,b0,1.1
0.010709700420747776,0.013932802962267298,0.5140656201958933,0.015525705879554152,0.0,0.009853788276086562,10043669096.545546,0.0,0.27241938164893614,0.08821783690546484,-0.39620444644945185,1.0,1004366909.7909642,342.144,1.4040000000000001,6.793846153846154,b0,1.2
