controller,stage,start,stop,velocity,rmse,mae,velocity_rmse
pid_pos_att,0,0,96,0.8,0.06890272401062592,0.04120015701294951,0.30562102213283726
pid_pos_att,1,96,120,0.0,0.13233570160032473,0.12298542261123657,0.509775593444284
ladrc_x_pos_pid_att_default,0,0,96,0.8,0.2906877984655561,0.2792880342922004,0.34050442973263506
ladrc_x_pos_pid_att_default,1,96,120,0.0,0.12738376377252086,0.10251706838607788,0.7354568739912032
ladrc_x_pos_pid_att_retuned,0,0,96,0.8,0.08766495148645978,0.06776156466194294,0.4235350103281068
ladrc_x_pos_pid_att_retuned,1,96,120,0.0,0.07712958572792179,0.06776796778043111,0.3194235817952554
