episode,reward,average_reward,exploration_noise,actor_loss,critic_loss
1.0,-11.681584217585623,-11.681584217585623,0.2,0.1700034737586975,0.04573434591293335
2.0,-11.88228773418814,-11.781935975886881,0.198989898989899,0.2505466938018799,0.014878764748573303
3.0,-11.990982596762478,-11.851618182845414,0.19797979797979798,0.23603776097297668,0.0269094817340374
4.0,-12.15325263980776,-11.927026797086,0.196969696969697,0.17865556478500366,0.020380891859531403
5.0,-13.552582270465791,-12.252137891761958,0.19595959595959597,0.1213310956954956,0.011814817786216736
6.0,-12.482856857590377,-12.290591052733362,0.19494949494949496,0.08149361610412598,0.013091779313981533
7.0,-12.158709748648107,-12.271750866435468,0.19393939393939394,0.05842155963182449,0.011992642655968666
8.0,-12.688395279459655,-12.323831418063492,0.19292929292929295,0.07348331809043884,0.014236208982765675
9.0,-42.012077138759196,-15.62252538702968,0.19191919191919193,0.11877773702144623,0.048067595809698105
10.0,-12.347658527083695,-15.295038701035082,0.19090909090909092,0.16509142518043518,0.0937255322933197
11.0,-12.886778608895838,-15.076105965386061,0.1898989898989899,0.21638594567775726,0.04222148284316063
12.0,-33.89753627870232,-16.644558491495747,0.1888888888888889,0.24045678973197937,0.04003139212727547
13.0,-12.239665835164487,-16.305720594854883,0.1878787878787879,0.2584925889968872,0.0954403281211853
14.0,-42.44875224772841,-18.17307999863156,0.18686868686868688,0.2938060164451599,0.14422385394573212
15.0,-79.8302749702707,-22.283559663407505,0.18585858585858586,0.2757824659347534,0.4345153272151947
16.0,-11.510550410486758,-21.610246585099958,0.18484848484848487,0.2732236683368683,0.36561816930770874
17.0,-28.08031199593097,-21.990838668090017,0.18383838383838386,0.2789468467235565,0.0718899518251419
18.0,-11.68885654490441,-21.41850632791304,0.18282828282828284,0.28119346499443054,0.18415702879428864
19.0,-11.940174619667232,-20.919646764321154,0.18181818181818182,0.2727600634098053,0.5051978230476379
20.0,-33.159119608812034,-21.5316204065457,0.1808080808080808,0.27069932222366333,0.12477817386388779
21.0,-11.865050621330738,-21.0713075596307,0.17979797979797982,0.24357086420059204,0.11116796731948853
22.0,-11.475881230086088,-20.635151817378674,0.1787878787878788,0.27715373039245605,0.16099442541599274
23.0,-11.623015413060784,-20.243319799799632,0.17777777777777778,0.2018936574459076,0.045810434967279434
24.0,-11.759062341414392,-19.889809072366916,0.17676767676767677,0.245921328663826,0.11700910329818726
25.0,-11.71369775570929,-19.562764619700612,0.17575757575757578,0.2273034155368805,0.10795535147190094
26.0,-11.868652023375034,-19.26683721214963,0.17474747474747476,0.2162676751613617,0.20525901019573212
27.0,-11.815738537348807,-18.990870594564413,0.17373737373737375,0.2011539787054062,0.17313171923160553
28.0,-11.668411766178906,-18.72935420783636,0.17272727272727273,0.24362897872924805,0.16181108355522156
29.0,-11.925818574614823,-18.49474953082872,0.1717171717171717,0.23873430490493774,0.04757919907569885
30.0,-12.091290472075343,-18.28130089553694,0.17070707070707072,0.2507140636444092,0.05501479655504227
31.0,-12.019591416232288,-18.07931026717227,0.1696969696969697,0.23891735076904297,0.12933501601219177
32.0,-11.871861153282225,-17.88532748236321,0.1686868686868687,0.20480407774448395,0.04609071835875511
