controller,stage,start,stop,velocity,rmse,mae
pid_pos_att,0,0,5,0.0,0.0,0.0
pid_pos_att,1,5,125,0.6,0.041809321092603956,0.02343078252568489
pid_pos_att,2,125,264,0.0,0.21568450232035688,0.20882608650399626
pid_pos_att,3,264,384,-0.6,1.0682710981814314,0.9765850017235304
ladrc_x_pos_pid_att_default,0,0,5,0.0,0.0,0.0
ladrc_x_pos_pid_att_default,1,5,125,0.6,0.2112020427435811,0.20372103758387444
ladrc_x_pos_pid_att_default,2,125,264,0.0,0.1409134879657143,0.13626464751126954
ladrc_x_pos_pid_att_default,3,264,384,-0.6,0.9927033349932513,0.8932954311138019
ladrc_x_pos_pid_att_tuned,0,0,5,0.0,0.0,0.0
ladrc_x_pos_pid_att_tuned,1,5,125,0.6,0.2744265404747392,0.21632014466302393
ladrc_x_pos_pid_att_tuned,2,125,264,0.0,0.29799604415930364,0.29799604415893555
ladrc_x_pos_pid_att_tuned,3,264,384,-0.6,0.6214353291935021,0.5074512392049655
