mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,b0,omega_c,k,score
0.7071768306743857,0.8208852960234694,42.43060984046315,0.0,59.0,0.9771832384479542,1795949176.7189696,59.0,22.033898305084747,1.8416312625184523,-0.9289659329738157,0.84,2.6,2.2,179594934.6952961
0.7071805470904413,0.8208887100464217,42.43083282542648,0.0,59.0,0.977182259162267,1795884117.9705637,59.0,22.033898305084747,1.841661524811204,-0.9289756635991313,0.84,2.6,2.6,179588428.82050115
0.7071928413148271,0.8209035097047122,42.431570478889626,0.0,59.0,0.9771839482709765,1795822729.804993,59.0,22.033898305084747,1.8416931818804358,-0.9289917614319323,0.84,2.6,3.0,179582290.00409704
0.7071959647534337,0.8209062872888795,42.431757885206025,0.0,59.0,0.9771839482709765,1795764814.2321613,59.0,22.033898305084747,1.8417179752563944,-0.9289985941035751,0.84,2.6,3.4,179576498.44685233
0.7071988002426224,0.8209087692194812,42.43192801455734,0.0,59.0,0.9771827183042963,1795710142.1222284,59.0,22.033898305084747,1.8417420543061764,-0.9290052071212365,0.84,2.6,3.8,179571031.23589376
0.7055293469379346,0.8191401268919157,42.33176081627607,0.0,59.0,0.9771780978577833,1811655913.2236006,59.0,22.033898305084747,1.8343980396680661,-0.9251760628422296,0.84,3.3,2.2,181165608.32537782
0.7055315808393061,0.8191420132971478,42.33189485035837,0.0,59.0,0.9771780983234446,1811618376.6435382,59.0,22.033898305084747,1.8344140641660112,-0.9251805381986778,0.84,3.3,2.6,181161854.66739908
0.7055336909523855,0.8191437909130153,42.33202145714313,0.0,59.0,0.9771780987891059,1811582998.3106763,59.0,22.033898305084747,1.8344291985706636,-0.9251847798054077,0.84,3.3,3.0,181158316.8341388
0.7055356999859214,0.8191454889050048,42.33214199915528,0.0,59.0,0.9771781396120787,1811549570.618236,59.0,22.033898305084747,1.8344434826475906,-0.925184364418247,0.84,3.3,3.4,181154974.06491947
0.7055375784169883,0.819147067371605,42.332254705019295,0.0,59.0,0.9771780919594069,1811518045.214737,59.0,22.033898305084747,1.834457023061075,-0.925192622683108,0.84,3.3,3.8,181151821.52459267
0.705989260703791,0.8200888795073997,42.359355642227456,0.0,59.0,0.9771817439856629,1822151340.9659352,59.0,22.033898305084747,1.8319837082044685,-0.9282685509347939,0.84,4.0,2.2,182215151.10546285
0.705991068133153,0.8200903766562501,42.35946408798918,0.0,59.0,0.9771817438304424,1822122913.094746,59.0,22.033898305084747,1.831997422318624,-0.9282730328272835,0.84,4.0,2.6,182212308.31836617
0.7059927739591028,0.8200917887733301,42.359566437546164,0.0,59.0,0.9771817433647811,1822096161.4454415,59.0,22.033898305084747,1.8320103365172131,-0.9282772549663398,0.84,4.0,3.0,182209633.15345666
0.7059943794816111,0.8200931176650508,42.35966276889667,0.0,59.0,0.9771817430543404,1822071001.8639667,59.0,22.033898305084747,1.8320224633275188,-0.9282812283111076,0.84,4.0,3.4,182207117.19532892
0.7059958947085154,0.8200943719504308,42.35975368251093,0.0,59.0,0.9771817422782381,1822047280.757503,59.0,22.033898305084747,1.832033918477388,-0.928284987152884,0.84,4.0,3.8,182204745.08470118
0.7054927692593386,0.8196946589855518,42.329566155560315,0.0,59.0,0.9771826916063826,1829541575.5910306,59.0,22.033898305084747,1.8284126553954083,-0.9270876561127177,0.84,4.7,2.2,182954174.56187665
0.7054941068500435,0.8196957415369872,42.329646411002614,0.0,59.0,0.9771826911407213,1829521721.4482307,59.0,22.033898305084747,1.8284221737284936,-0.9270908981649555,0.84,4.7,2.6,182952189.1476131
0.7054953654354904,0.8196967579459774,42.32972192612942,0.0,59.0,0.9771826908302803,1829503084.39471,59.0,22.033898305084747,1.828431122117291,-0.9270939471431582,0.84,4.7,3.0,182950325.44227648
0.7054964830827278,0.8196976366287008,42.32978898496367,0.0,59.0,0.977182062342763,1829485493.433887,59.0,22.033898305084747,1.8284393312566443,-0.9270966130901168,0.84,4.7,3.4,182948566.34620783
0.7054976071192263,0.8196985428623584,42.32985642715357,0.0,59.0,0.9771820620323222,1829468932.5646527,59.0,22.033898305084747,1.8284472749721048,-0.9270990625742317,0.84,4.7,3.8,182946910.2592982
