mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,b0,omega_c,k,score,factor,scale
0.7096238565514795,0.8229184919095722,42.57743139308877,0.0,59.0,0.9771821438334882,1510309648.6915152,59.0,42.040513895325745,1.8490050157786686,-0.9530866625109821,1.716,2.25,3.2,151030983.923288,k,0.8
0.7096289784278875,0.8229237329433057,42.577738705673255,0.0,59.0,0.9771818479833503,1509250478.5465665,59.0,42.04965572033898,1.8490641757431199,-0.9531453908520122,1.716,2.25,3.6,150925066.90977058,k,0.9
0.7096341680221182,0.8229291189408376,42.57805008132709,0.0,59.0,0.9771842027548701,1508425209.0808702,59.0,42.07390116028867,1.8491200950500772,-0.953204619851741,1.716,2.25,4.0,150842539.96568996,k,1.0
0.70963814711237,0.822933098797421,42.57828882674221,0.0,59.0,0.977181510378917,1507771873.3466554,59.0,42.108230849443856,1.8491685759083585,-0.9532576410473146,1.716,2.25,4.4,150777206.3957502,k,1.1
0.7096422844711925,0.8229373205985563,42.578537068271544,0.0,59.0,0.9771818624188502,1507246717.787205,59.0,42.146973690744176,1.8492145347961193,-0.9533091490360257,1.716,2.25,4.8,150724690.84373063,k,1.2
