mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,b0,omega_c,k,score
0.7088734463904984,0.8221538193402378,42.532406783429906,0.0,59.0,0.9771802054407697,1568825440.068874,59.0,39.90260444253178,1.833557861687526,-0.9494084824591829,1.404,2.25,3.6,156882562.83796006
0.7088765311986208,0.8221571369651028,42.53259187191725,0.0,59.0,0.9771802069153637,1570976730.9927702,59.0,36.57505048331568,1.8335680069837723,-0.9467535724099159,1.404,2.25,3.8,157097691.59763247
0.7082602236885578,0.8213386563388284,42.495613421313465,0.0,59.0,0.9771783966571093,1571829381.1359801,59.0,34.45366500595868,1.8039533255757556,-0.9395729936975737,1.404,2.25,4.0,157182956.3921325
0.7089160155286662,0.8224216359797101,42.53496093171998,0.0,59.0,0.9771813755699743,1687073014.6853285,59.0,36.44898909229343,1.8576361234979535,-0.9476838691730605,1.404,2.6,3.6,168707319.95484874
0.7089178990960743,0.8224234206866537,42.53507394576445,0.0,59.0,0.977181375414754,1686712189.3892298,59.0,36.49977654925848,1.8576561888641812,-0.9477453756159115,1.404,2.6,3.8,168671237.43034086
0.7089196891645164,0.8224251031402239,42.53518134987098,0.0,59.0,0.9771813664119691,1686400618.6570685,59.0,36.5500922768803,1.8576757325353586,-0.9478041877138754,1.404,2.6,4.0,168640080.36217836
0.70839617035017,0.8219493625328231,42.5037702210102,0.0,59.0,0.977181698118026,1766940822.854598,59.0,27.24170956369174,1.852405445402295,-0.9363194798781086,1.404,2.95,3.6,176694099.84464434
0.7083982648371603,0.8219513839444959,42.503895890229614,0.0,59.0,0.9771840099710971,1766892173.2905307,59.0,27.262871176509535,1.852424846109403,-0.9363414459143284,1.404,2.95,3.8,176689234.89037997
0.7083998504923026,0.8219528166914096,42.503991029538156,0.0,59.0,0.9771821269920717,1766846262.8864398,59.0,27.28172379833157,1.8524425392077917,-0.9363603839603734,1.404,2.95,4.0,176684643.85187536
0.7090027757571079,0.8221988992317565,42.54016654542647,0.0,59.0,0.9771822774006675,1539508585.4748316,59.0,38.522872666181144,1.805388334840184,-0.9474449026485757,1.56,2.25,3.6,153950877.2421507
0.709005253125603,0.8222013964726771,42.54031518753618,0.0,59.0,0.9771824025859436,1539035110.8023217,59.0,38.52658856925318,1.8054117720114808,-0.9474660922552971,1.56,2.25,3.8,153903529.7753019
0.7089856260960612,0.822174773015603,42.53913756576367,0.0,59.0,0.9771818835288286,1536483442.648841,59.0,41.964867543366,1.8054705680010272,-0.9512334927849277,1.56,2.25,4.0,153648363.3035368
0.7092648561335713,0.8227528436635778,42.55589136801427,0.0,59.0,0.9771819030866027,1645112679.430584,59.0,37.06407450013242,1.8608867632882573,-0.9514400094361557,1.56,2.6,3.6,164511286.4951849
0.7092767070130018,0.8227677593480069,42.55660242078011,0.0,59.0,0.9771840570804973,1644784614.6993322,59.0,37.30133987685382,1.8608970192434273,-0.9517193388566375,1.56,2.6,3.8,164478480.04593405
0.7092783521322417,0.8227692984648478,42.5567011279345,0.0,59.0,0.9771840561491748,1644485761.4688292,59.0,37.32541462526483,1.8609157866791535,-0.9517512988491394,1.56,2.6,4.0,164448594.72531146
0.7087453647943525,0.8222638209618653,42.524721887661144,0.0,59.0,0.9771818569861352,1742433498.5180917,59.0,31.19663044557733,1.8558537884784718,-0.9403073332164087,1.56,2.95,3.6,174243367.81078622
