mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,axis,search_factor
4.282529662673673,5.642840150954141,616.6842714250088,12.015016824007034,143.0,11.09728218615055,40215902221.187416,143.0,7609.280587576486,4.520130803987184,-11.051541824869044,0.0,1000000000000.0,165.6,8.280000000000001,4.722666666666666,z,local_refine
4.878918713786536,6.330962710694672,702.5642947852612,13.17445495724678,143.0,12.200323835015297,40596217897.89914,143.0,7865.773191652098,4.871881818788355,-11.917785209924872,0.0,1000000000000.0,165.6,8.280000000000001,5.133333333333333,z,local_refine
6.605767828515834,8.351151312274109,951.2305673062801,15.599553376436234,143.0,14.854233109525271,40215902221.187416,143.0,8122.26579572771,5.5990410131025214,-13.984096487092536,0.0,1000000000000.0,165.6,8.280000000000001,5.544,z,local_refine
4.704891624343064,6.119096470858265,677.5043939054012,12.79298809170723,143.0,11.848246010286466,40976533574.61087,143.0,7951.270726343969,4.74856363674337,-11.790628024838927,0.0,1000000000000.0,165.6,9.0,4.722666666666666,z,local_refine
7.472776070858041,9.776624074832934,1076.079754203558,20.384127885103226,143.0,18.922180633459774,48963162785.55711,143.0,8122.26579572771,7.571679537145156,-15.13194374862071,0.0,1000000000000.0,165.6,9.0,5.133333333333333,z,local_refine
3.3490309949136443,4.665970850872337,482.2604632675648,10.294851571321487,143.0,9.467476008193835,39455270867.76396,143.0,8293.260865111451,4.090792326238563,-10.563735691647395,0.0,1000000000000.0,165.6,9.0,5.544,z,local_refine
7.422662114724517,9.68011804812124,1068.8633445203304,19.628695756196976,143.0,18.46417159480708,45920637371.86331,143.0,8122.26579572771,7.2299760117470715,-15.035080257284207,0.0,1000000000000.0,165.6,9.72,4.722666666666666,z,local_refine
3.2373852119263677,4.519918900999275,466.1834705173969,10.12008312344551,143.0,9.232473422374044,39835586544.47569,143.0,8293.260865111451,4.046770748060602,-10.442811785744956,0.0,1000000000000.0,165.6,9.72,5.133333333333333,z,local_refine
3.8879243957085743,5.209569624641015,559.8611129820347,11.229740411043167,143.0,10.366096341184207,39835586544.47569,143.0,8464.255934495191,4.294924460260836,-11.291780637916034,0.0,1000000000000.0,165.6,9.72,5.544,z,local_refine
4.282529662673673,5.642840150954141,616.6842714250088,12.015016824007034,143.0,11.09728218615055,40215902221.187416,143.0,7609.280587576486,4.520130803987184,-11.051541824869044,0.0,1000000000000.0,180.0,8.280000000000001,4.722666666666666,z,local_refine
4.878918713786536,6.330962710694672,702.5642947852612,13.17445495724678,143.0,12.200323835015297,40596217897.89914,143.0,7865.773191652098,4.871881818788355,-11.917785209924872,0.0,1000000000000.0,180.0,8.280000000000001,5.133333333333333,z,local_refine
6.605767828515834,8.351151312274109,951.2305673062801,15.599553376436234,143.0,14.854233109525271,40215902221.187416,143.0,8122.26579572771,5.5990410131025214,-13.984096487092536,0.0,1000000000000.0,180.0,8.280000000000001,5.544,z,local_refine
4.704891624343064,6.119096470858265,677.5043939054012,12.79298809170723,143.0,11.848246010286466,40976533574.61087,143.0,7951.270726343969,4.74856363674337,-11.790628024838927,0.0,1000000000000.0,180.0,9.0,4.722666666666666,z,local_refine
7.472776070858041,9.776624074832934,1076.079754203558,20.384127885103226,143.0,18.922180633459774,48963162785.55711,143.0,8122.26579572771,7.571679537145156,-15.13194374862071,0.0,1000000000000.0,180.0,9.0,5.133333333333333,z,local_refine
3.3490309949136443,4.665970850872337,482.2604632675648,10.294851571321487,143.0,9.467476008193835,39455270867.76396,143.0,8293.260865111451,4.090792326238563,-10.563735691647395,0.0,1000000000000.0,180.0,9.0,5.544,z,local_refine
7.422662114724517,9.68011804812124,1068.8633445203304,19.628695756196976,143.0,18.46417159480708,45920637371.86331,143.0,8122.26579572771,7.2299760117470715,-15.035080257284207,0.0,1000000000000.0,180.0,9.72,4.722666666666666,z,local_refine
3.2373852119263677,4.519918900999275,466.1834705173969,10.12008312344551,143.0,9.232473422374044,39835586544.47569,143.0,8293.260865111451,4.046770748060602,-10.442811785744956,0.0,1000000000000.0,180.0,9.72,5.133333333333333,z,local_refine
3.8879243957085743,5.209569624641015,559.8611129820347,11.229740411043167,143.0,10.366096341184207,39835586544.47569,143.0,8464.255934495191,4.294924460260836,-11.291780637916034,0.0,1000000000000.0,180.0,9.72,5.544,z,local_refine
4.282529662673673,5.642840150954141,616.6842714250088,12.015016824007034,143.0,11.09728218615055,40215902221.187416,143.0,7609.280587576486,4.520130803987184,-11.051541824869044,0.0,1000000000000.0,194.4,8.280000000000001,4.722666666666666,z,local_refine
4.878918713786536,6.330962710694672,702.5642947852612,13.17445495724678,143.0,12.200323835015297,40596217897.89914,143.0,7865.773191652098,4.871881818788355,-11.917785209924872,0.0,1000000000000.0,194.4,8.280000000000001,5.133333333333333,z,local_refine
6.605767828515834,8.351151312274109,951.2305673062801,15.599553376436234,143.0,14.854233109525271,40215902221.187416,143.0,8122.26579572771,5.5990410131025214,-13.984096487092536,0.0,1000000000000.0,194.4,8.280000000000001,5.544,z,local_refine
4.704891624343064,6.119096470858265,677.5043939054012,12.79298809170723,143.0,11.848246010286466,40976533574.61087,143.0,7951.270726343969,4.74856363674337,-11.790628024838927,0.0,1000000000000.0,194.4,9.0,4.722666666666666,z,local_refine
7.472776070858041,9.776624074832934,1076.079754203558,20.384127885103226,143.0,18.922180633459774,48963162785.55711,143.0,8122.26579572771,7.571679537145156,-15.13194374862071,0.0,1000000000000.0,194.4,9.0,5.133333333333333,z,local_refine
3.3490309949136443,4.665970850872337,482.2604632675648,10.294851571321487,143.0,9.467476008193835,39455270867.76396,143.0,8293.260865111451,4.090792326238563,-10.563735691647395,0.0,1000000000000.0,194.4,9.0,5.544,z,local_refine
7.422662114724517,9.68011804812124,1068.8633445203304,19.628695756196976,143.0,18.46417159480708,45920637371.86331,143.0,8122.26579572771,7.2299760117470715,-15.035080257284207,0.0,1000000000000.0,194.4,9.72,4.722666666666666,z,local_refine
3.2373852119263677,4.519918900999275,466.1834705173969,10.12008312344551,143.0,9.232473422374044,39835586544.47569,143.0,8293.260865111451,4.046770748060602,-10.442811785744956,0.0,1000000000000.0,194.4,9.72,5.133333333333333,z,local_refine
3.8879243957085743,5.209569624641015,559.8611129820347,11.229740411043167,143.0,10.366096341184207,39835586544.47569,143.0,8464.255934495191,4.294924460260836,-11.291780637916034,0.0,1000000000000.0,194.4,9.72,5.544,z,local_refine
