time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,y_b0,y_omega_c,y_k,z_b0,z_omega_c,z_k
3.9375,x,gym_env,0.12974049150943756,7.891761500338585e-16,1.0000996589660645,-0.004273457918316126,3.5972739645731815e-15,0.0001710313226794824,-6.749339577014741e-16,0.03074639104306698,-3.393834372160142e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14891.2568359375,14032.056640625,14032.056640625,14891.2568359375,-0.6974476745392196,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
3.958333333333333,x,gym_env,0.12973101437091827,8.658020326951532e-16,1.0001018047332764,0.002376674907281995,3.732009377910555e-15,5.0621987611521035e-05,-6.793817277075064e-16,0.03714859485626221,-3.822220292617269e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14890.458984375,14031.2587890625,14031.2587890625,14890.458984375,-0.011977772529795767,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
3.9791666666666665,x,gym_env,0.12987402081489563,9.452419705654634e-16,1.0001007318496704,0.009769785217940807,3.867150943546137e-15,-0.00011714727588696405,-6.770644043824962e-16,0.029916638508439064,-3.326870131107034e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14084.400390625,14842.3310546875,14842.3310546875,14084.400390625,-0.6593370137613267,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.0,x,gym_env,0.1301528513431549,1.0274910932053425e-15,1.0000971555709839,0.015545439906418324,4.001728385238847e-15,-0.00020251695241313428,-6.731982813134316e-16,0.024458853527903557,-2.9533762469711707e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14330.7373046875,14598.43359375,14598.43359375,14330.7373046875,-0.20971769308671356,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.020833333333333,x,gym_env,0.13053925335407257,1.1125326717140822e-15,1.0000910758972168,0.020564580336213112,4.135403736842732e-15,-0.00035538829979486763,-6.694651424170859e-16,0.026363525539636612,-3.077123459225839e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14894.875,14035.6748046875,14035.6748046875,14894.875,-0.46567065784409645,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.041666666666666,x,gym_env,0.1310339719057083,1.2003489183997902e-15,1.0000839233398438,0.025853930041193962,4.2681943625332095e-15,-0.000333126779878512,-6.634748195349851e-16,0.021784860640764236,-2.7676730414001584e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14621.546875,14309.4013671875,14309.4013671875,14621.546875,-0.23491548625156283,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.0625,x,gym_env,0.13162566721439362,1.2909135752411016e-15,1.0000756978988647,0.029786275699734688,4.399495904302414e-15,-0.0004318640276324004,-6.558135653457475e-16,0.00878963153809309,-1.9044682168620788e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14040.2666015625,14899.466796875,14899.466796875,14040.2666015625,-0.485480670466274,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.083333333333333,x,gym_env,0.13226719200611115,1.38419583141456e-15,1.000069260597229,0.03116796351969242,4.529366383907232e-15,-0.00021683136583305895,-6.4772233605666e-16,0.0020134667865931988,-1.4545906551657213e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14164.501953125,14772.4931640625,14772.4931640625,14164.501953125,-0.11815413035005332,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.104166666666666,x,gym_env,0.13292209804058075,1.4801603232946175e-15,1.0000659227371216,0.03165623918175697,4.657296734546365e-15,-0.00012529610830824822,-6.37785051398591e-16,0.006487294565886259,-1.735385716775217e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14895.7490234375,14036.548828125,14036.548828125,14895.7490234375,-0.6054351034402847,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
4.125,x,gym_env,0.13359785079956055,1.5787641698383195e-15,1.000064730644226,0.03307124972343445,4.783191665013245e-15,-1.4839025425317232e-05,-6.289115871827141e-16,0.0066342707723379135,-1.7398571242944337e-17,0.11999999731779099,0.0,1.0,0.0,0.0,0.0,14894.115234375,14034.9150390625,14034.9150390625,14894.115234375,-0.020701811945438384,0.0,0.0,0.0,30.5,1.5,11.0,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
