method,success_rate,collision_rate,occupancy_error,formation_error,episode,reward,actor_loss,critic_loss,stage_index,recovery_score,target_reward,avoidance_reward,collaboration_reward,recovery_reward,smoothness_penalty,consistency_penalty,success_bonus
task_decomposed,0.0,0.0,0.7254892551898956,0.31229467928409577,0.0,32.47736254632968,-0.8341601610183715,0.1134484232354321,0.0,0.8549021489620209,0.16658924317359922,0.9606495805978779,1.3353073666393758,4.43219089776278,0.019539368355664985,0.017419060536942966,0.0
task_decomposed,0.0,0.0,0.7683851277828216,0.645696385383606,1.0,31.47723021758527,-0.9596124490102133,0.014344162332188142,0.0,0.8463229744434356,0.1379008179306984,0.9601343600749973,1.0513148258447647,4.431246326804164,0.01542766267219734,0.006483269028027274,0.0
task_decomposed,0.0,0.0,1.2532463812828063,0.4210833106040955,2.0,26.510091841979737,-1.2210136604309083,0.021638117246329785,0.0,0.7999999999999998,0.00122925591468811,0.9603782916069035,1.2425205261945722,4.431693534612657,0.01691863764204,0.028324014028401304,0.0
task_decomposed,0.0,0.0,1.0289440727233887,0.4126138678789139,3.0,26.364169309930368,-1.506147403717041,0.03666148014366627,0.0,0.7999999999999998,0.0007950053215026855,0.9602556102275852,1.2495764242351055,4.431468618750576,0.019345747536612744,0.08793980200035426,0.0
single_stream_mlp,0.0,0.0,1.3201653337478638,0.401806740283966,0.0,26.319760762911226,-0.739715987443924,0.0440213124169723,0.0,0.7999999999999998,0.0008654873371124267,0.9602952253818512,1.2588087003707884,4.431541246533396,0.021612861783570927,0.10709640664545368,0.0
single_stream_mlp,0.0,0.0,1.424168174266815,0.23265853488445282,1.0,26.50498189728357,-0.853453172577752,0.005469059424572869,0.0,0.7999999999999998,0.0024841873645782466,0.9605578787326816,1.4028911038696774,4.4320227776765835,0.017629414571555615,0.05303392780726291,0.0
single_stream_mlp,0.0,0.0,1.1273877716064453,0.3833362717628479,2.0,26.528057954722232,-1.0151782870292663,0.01155805136077106,0.0,0.7999999999999998,0.0013150755167007444,0.9603520510196688,1.2745748951911928,4.431645426869397,0.01562578631874566,0.023327089910182806,0.0
single_stream_mlp,0.0,0.0,0.6974170410633087,0.6407745395898821,3.0,32.88351964737527,-1.2964295959472656,0.025265128733590245,0.0,0.8605165917873383,0.1803078832626343,0.960052651762963,1.05540306840539,4.431096528232102,0.019881630030655083,0.057308399674768695,0.0
without_curriculum,0.0,0.0,1.5726000368595123,0.7446748356819153,0.0,38.70274519151962,-0.7309747368097306,0.14134813173012317,1.0,0.8001060168743132,-0.011319826304912564,0.9495369136476524,0.967026389670372,2.2150648481249795,0.016470267967192493,0.0,0.0
without_curriculum,0.0,0.0,1.3253081035614014,0.47103463172912596,1.0,38.80662071338705,-0.9015740619765388,0.009256099657106557,1.0,0.8012016220092772,-0.0050508660078048715,0.948898256077767,1.1996205630302428,2.2201581782698616,0.018240629338793814,0.0,0.0
