0.000000000000000000e+00,0.000000000000000000e+00
2.083333333333333218e-02,-1.842572205470714292e-19
4.166666666666666435e-02,1.761008771820541502e-04
6.250000000000000000e-02,1.696453574143277302e-03
8.333333333333332871e-02,4.020132020389996161e-03
1.041666666666666574e-01,7.694495440272286491e-03
1.250000000000000000e-01,1.459576465635611248e-02
1.458333333333333148e-01,2.286413621094457102e-02
1.666666666666666574e-01,3.071712136175638180e-02
1.875000000000000000e-01,3.998585724375711831e-02
2.083333333333333148e-01,5.194837582705941897e-02
2.291666666666666574e-01,6.433644791791751083e-02
2.500000000000000000e-01,7.689954684221544934e-02
2.708333333333333148e-01,9.123655056546797759e-02
2.916666666666666297e-01,1.057909021805213401e-01
3.125000000000000000e-01,1.184495884167185431e-01
3.333333333333333148e-01,1.310000225559910803e-01
3.541666666666666297e-01,1.463786791749103755e-01
3.750000000000000000e-01,1.639816289903655855e-01
3.958333333333333148e-01,1.818950571908446168e-01
4.166666666666666297e-01,2.018853449750417639e-01
4.375000000000000000e-01,2.274325613502356236e-01
4.583333333333333148e-01,2.577337592831299706e-01
4.791666666666666297e-01,2.893991572613740515e-01
5.000000000000000000e-01,3.224375934721308012e-01
5.208333333333332593e-01,3.564212550564678783e-01
5.416666666666666297e-01,3.886609470816396739e-01
5.625000000000000000e-01,4.196985819677870322e-01
5.833333333333332593e-01,4.523286146512555672e-01
6.041666666666666297e-01,4.847701885253000720e-01
6.250000000000000000e-01,5.137300890802661835e-01
6.458333333333332593e-01,5.369227410832491110e-01
6.666666666666666297e-01,5.564509265224693024e-01
6.875000000000000000e-01,5.753480258905093736e-01
7.083333333333332593e-01,5.920490835901618398e-01
7.291666666666666297e-01,6.036163765540408788e-01
7.500000000000000000e-01,6.117733092973332010e-01
7.708333333333332593e-01,6.194621210023665281e-01
7.916666666666666297e-01,6.250673185179287383e-01
8.125000000000000000e-01,6.258185260425059848e-01
8.333333333333332593e-01,6.232115473601573807e-01
8.541666666666666297e-01,6.199905790169780717e-01
8.750000000000000000e-01,6.145767308796783457e-01
8.958333333333332593e-01,6.042700107566899570e-01
9.166666666666666297e-01,5.904453566644433105e-01
9.375000000000000000e-01,5.758204502117553192e-01
9.583333333333332593e-01,5.592924659013548405e-01
9.791666666666666297e-01,5.381563644801016233e-01
1.000000000000000000e+00,5.137945781873618500e-01
1.020833333333333259e+00,4.891376537194987439e-01
1.041666666666666519e+00,4.635601276812703064e-01
1.062500000000000000e+00,4.361310256114066530e-01
1.083333333333333259e+00,4.089084380331547419e-01
1.104166666666666519e+00,3.846960286529212958e-01
1.125000000000000000e+00,3.620158814824709914e-01
1.145833333333333259e+00,3.381360231097689795e-01
1.166666666666666519e+00,3.144733052678234109e-01
1.187500000000000000e+00,2.934976652241744199e-01
1.208333333333333259e+00,2.741974733966477396e-01
1.229166666666666519e+00,2.556798225484097076e-01
1.250000000000000000e+00,2.395353554738207658e-01
1.270833333333333259e+00,2.257271239036556798e-01
1.291666666666666519e+00,2.124087986953595020e-01
1.312500000000000000e+00,2.006900321500991735e-01
1.333333333333333259e+00,1.915139518814794883e-01
1.354166666666666519e+00,1.832255532358257333e-01
1.375000000000000000e+00,1.753878360016147275e-01
1.395833333333333259e+00,1.696367135318274932e-01
1.416666666666666519e+00,1.646930880374621320e-01
1.437500000000000000e+00,1.581710703116297190e-01
1.458333333333333259e+00,1.511973122600634989e-01
1.479166666666666519e+00,1.461535472763605126e-01
1.500000000000000000e+00,1.418000828042684236e-01
1.520833333333333259e+00,1.357983935759147220e-01
1.541666666666666519e+00,1.292935343999204456e-01
1.562500000000000000e+00,1.246329774231293569e-01
1.583333333333333259e+00,1.205529363127779696e-01
1.604166666666666519e+00,1.145949064618529273e-01
1.625000000000000000e+00,1.069823977650387753e-01
1.645833333333333259e+00,9.963842251823955276e-02
1.666666666666666519e+00,9.128318334964119485e-02
1.687500000000000000e+00,7.959088482140744270e-02
1.708333333333333259e+00,6.574432298739350811e-02
1.729166666666666519e+00,5.204594193874484409e-02
1.750000000000000000e+00,3.730222304837391145e-02
1.770833333333333259e+00,1.970363081309507020e-02
1.791666666666666519e+00,7.070582073125004918e-04
1.812500000000000000e+00,-1.738106463022747253e-02
1.833333333333333259e+00,-3.579872756681375806e-02
1.854166666666666519e+00,-5.664632525389370898e-02
1.875000000000000000e+00,-7.865695669197102224e-02
1.895833333333333259e+00,-9.949701574250513492e-02
1.916666666666666519e+00,-1.202211055552986213e-01
1.937500000000000000e+00,-1.416984771985251024e-01
1.958333333333333259e+00,-1.623163868811922650e-01
