mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,omega_o,r,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,hold_steady_state_error,name
0.06746212323417353,0.07193657813812734,8.095454788100824,0.060294389724731445,119.0,0.056191861629486084,25173013057.52491,119.0,8.001095555409664,0.17863438656933678,-0.48078847509607514,1.0,0.09408253279186704,27.45,1.62,12.100000000000001,19.602000000000004,70.0,0.023683891457039863,0.0,0.12039878219366074,0.0,0.0,0.0,0.04012034088373184,refine_r_scan_r70_b0.90_wc1.08_k1.10_r1.00
0.06763270387732329,0.07311260791731204,8.115924465278795,0.06636661291122437,119.0,0.05615086853504181,25150190565.09128,119.0,2.954179523371849,0.17502470654391247,-0.49345414626303125,1.0,0.09433661462655601,30.5,1.62,9.68,15.681600000000001,59.5,0.08390390360727906,0.0,0.10739016532897949,0.0,0.0,0.0,0.038755262891451515,refine_r_scan_r70_b1.00_wc1.08_k0.88_r0.85
0.06911953581558426,0.07357332143673431,8.294344297870111,0.06383007764816284,119.0,0.05855595568815867,25163358235.597755,119.0,4.763511850052521,0.1770961525749517,-0.4859150892664291,1.0,0.09574346937515604,27.45,1.62,12.100000000000001,19.602000000000004,59.5,0.03815058240434155,0.0,0.12556572258472443,0.0,0.0,0.0,0.04135710746049881,refine_r_scan_r70_b0.90_wc1.08_k1.10_r0.85
0.0675090643479488,0.07298880443874044,8.101087721753856,0.07097858190536499,119.0,0.05963138242562612,25155591206.083412,119.0,3.4173491662289917,0.18114224790700148,-0.4832759143139111,1.0,0.09584457162499298,32.940000000000005,1.62,11.0,17.82,66.5,0.09353147423826158,0.0,0.11818068474531174,0.0,0.0,0.0,0.040932426850001015,refine_r_scan_r70_b1.08_wc1.08_k1.00_r0.95
0.06868389676866589,0.07308356661736826,8.242067612239907,0.0643964409828186,119.0,0.05982425312201182,25167654422.451267,119.0,4.963042443539916,0.18049853084102704,-0.5117005371638186,1.0,0.09608686598409685,27.45,1.62,12.100000000000001,19.602000000000004,66.5,0.027104251959826797,0.0,0.13112260401248932,0.0,0.0,0.0,0.04239381353060404,refine_r_scan_r70_b0.90_wc1.08_k1.10_r0.95
0.06805799347090631,0.07317053766153371,8.166959216508758,0.07154184579849243,119.0,0.059414212902386986,25154212716.29364,119.0,4.407152704831932,0.18248561750841247,-0.49641431033085404,1.0,0.09632289020164658,32.940000000000005,1.62,11.0,17.82,70.0,0.10059795388951898,0.0,0.11153104156255722,0.0,0.0,0.0,0.04125148802995682,refine_r_scan_r70_b1.08_wc1.08_k1.00_r1.00
0.0676280926180406,0.07277415652114066,8.115371114164873,0.07428222894668579,119.0,0.06284625331560771,25157197408.069134,119.0,3.4792008600315127,0.18267703346662728,-0.5045458809284975,1.0,0.09654540137107978,30.5,1.62,9.68,15.681600000000001,66.5,0.09384843450970948,0.0,0.12839366495609283,0.0,0.0,0.0,0.04276299228270849,refine_r_scan_r70_b1.00_wc1.08_k0.88_r0.95
0.06782930113396522,0.07221748871604343,8.139516136075827,0.06787443161010742,119.0,0.06277277568976085,25172051052.486374,119.0,6.210818507090337,0.18549361444237816,-0.4902213581468848,1.0,0.0966478466344833,30.5,1.62,12.100000000000001,19.602000000000004,70.0,0.028071497566998005,0.0,0.1456049680709839,0.0,0.0,0.0,0.04430830478668213,refine_r_scan_r70_b1.00_wc1.08_k1.10_r1.00
0.06688702907738957,0.07583407277351358,8.026443489286748,0.0520930290222168,116.0,0.048924977580706276,25183968202.533478,116.0,99.68544429490547,0.18988000127890498,-0.5850450382020246,1.0,0.09689305422181513,32.940000000000005,1.62,11.0,17.82,85.5,-0.04404800321208313,0.0,0.15952810645103455,0.0,0.0,0.0,0.03516041239102682,refine_r_scan_r90_b1.08_wc1.08_k1.00_r0.95
0.06734391736240279,0.07207964900645442,8.081270083488334,0.06819891929626465,119.0,0.06313047806421916,25184452723.13775,119.0,16.903439305409663,0.19036502580777867,-0.5079359977763549,1.0,0.0972590710606353,27.45,1.62,10.559999999999999,17.1072,76.5,0.025784218101762235,0.0,0.14399372041225433,0.0,0.0,0.0,0.04425500084956487,refine_r_scan_r90_b0.90_wc1.08_k0.96_r0.85
