step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.4000000059604645,0.0,0.0
1.0,0.008333333767950535,0.0,1.0,0.4000000059604645,0.0,0.0
2.0,0.01666666753590107,0.0,1.0,0.4000000059604645,0.0,0.0
3.0,0.02500000037252903,0.0,1.0,0.4000000059604645,0.0,0.0
4.0,0.03333333507180214,0.0,1.0,0.4000000059604645,0.0,0.0
5.0,0.0416666679084301,0.0,1.0,0.4000000059604645,0.0,0.0
6.0,0.05000000074505806,0.0,1.0,0.4000000059604645,0.0,0.0
7.0,0.05833333358168602,0.0,1.0,0.4000000059604645,0.0,0.0
8.0,0.06666667014360428,0.0,1.0,0.4000000059604645,0.0,0.0
9.0,0.07500000298023224,0.0,1.0,0.4000000059604645,0.0,0.0
10.0,0.0833333358168602,0.0,1.0,0.4000000059604645,0.0,0.0
11.0,0.09166666865348816,0.0,1.0,0.4000000059604645,0.0,0.0
12.0,0.10000000149011612,0.0,1.0,0.4000000059604645,0.0,0.0
13.0,0.10833333432674408,0.0,1.0,0.4000000059604645,0.0,0.0
14.0,0.11666666716337204,0.0,1.0,0.4000000059604645,0.0,0.0
15.0,0.125,0.0,1.0,0.4000000059604645,0.0,0.0
16.0,0.13333334028720856,0.0,1.0,0.4000000059604645,0.0,0.0
17.0,0.14166666567325592,0.0,1.0,0.4000000059604645,0.0,0.0
18.0,0.15000000596046448,0.0,1.0,0.4000000059604645,0.0,0.0
19.0,0.15833333134651184,0.0,1.0,0.4000000059604645,0.0,0.0
20.0,0.1666666716337204,0.0,1.0,0.4000000059604645,0.0,0.0
21.0,0.17499999701976776,0.0,1.0,0.4000000059604645,0.0,0.0
22.0,0.18333333730697632,0.0,1.0,0.4000000059604645,0.0,0.0
23.0,0.19166666269302368,0.0,1.0,0.4000000059604645,0.0,0.0
24.0,0.20000000298023224,0.0,1.0,0.4000000059604645,0.0,0.0
25.0,0.2083333432674408,0.0,1.0,0.4000000059604645,0.0,0.0
26.0,0.21666666865348816,0.0,1.0,0.4000000059604645,0.0,0.0
27.0,0.22500000894069672,0.0,1.0,0.4000000059604645,0.0,0.0
28.0,0.23333333432674408,0.0,1.0,0.4000000059604645,0.0,0.0
29.0,0.24166667461395264,0.0,1.0,0.4000000059604645,0.0,0.0
30.0,0.25,0.0,1.0,0.4000000059604645,0.0,0.0
31.0,0.25833332538604736,0.0,1.0,0.4000000059604645,0.0,0.0
32.0,0.2666666805744171,0.0,1.0,0.4000000059604645,0.0,0.0
33.0,0.2750000059604645,0.0,1.0,0.4000000059604645,0.0,0.0
34.0,0.28333333134651184,0.0,1.0,0.4000000059604645,0.0,0.0
35.0,0.2916666567325592,0.0,1.0,0.4000000059604645,0.0,0.0
36.0,0.30000001192092896,0.0,1.0,0.4000000059604645,0.0,0.0
37.0,0.3083333373069763,0.0,1.0,0.4000000059604645,0.0,0.0
38.0,0.3166666626930237,0.0,1.0,0.4000000059604645,0.0,0.0
39.0,0.32500001788139343,0.0,1.0,0.4000000059604645,0.0,0.0
40.0,0.3333333432674408,0.0,1.0,0.4000000059604645,0.0,0.0
41.0,0.34166666865348816,0.0,1.0,0.4000000059604645,0.0,0.0
42.0,0.3499999940395355,0.0,1.0,0.4000000059604645,0.0,0.0
43.0,0.3583333492279053,0.0,1.0,0.4000000059604645,0.0,0.0
44.0,0.36666667461395264,0.0,1.0,0.4000000059604645,0.0,0.0
45.0,0.375,0.0,1.0,0.4000000059604645,0.0,0.0
46.0,0.38333332538604736,0.0,1.0,0.4000000059604645,0.0,0.0
47.0,0.3916666805744171,0.0,1.0,0.4000000059604645,0.0,0.0
48.0,0.4000000059604645,0.0,1.0,0.4000000059604645,0.0,0.0
49.0,0.40833333134651184,0.0,1.0,0.4000000059604645,0.0,0.0
50.0,0.4166666865348816,0.0,1.0,0.4000000059604645,0.0,0.0
