"speed_mps","pid_rmse","pid_mae","pid_velocity_rmse","ladrc_r63_td_rmse","ladrc_r63_td_mae","ladrc_r63_td_velocity_rmse","ladrc_r63_no_td_rmse","ladrc_r63_no_td_mae","ladrc_r63_no_td_velocity_rmse","ladrc_no_r_td_rmse","ladrc_no_r_td_mae","ladrc_no_r_td_velocity_rmse","ladrc_no_r_no_td_rmse","ladrc_no_r_no_td_mae","ladrc_no_r_no_td_velocity_rmse"
"0.1","0.00640784120238555","0.00489811623107765","0.0375452264499089","0.0101581123251128","0.00866693763113583","0.0439222791660493","0.0556399816707344","0.0520695227728393","0.0502132640394515","0.0208886884558319","0.0200467747377745","0.0570177443111838","0.0300709915826616","0.0289330208064194","0.0504152610249461"
"0.2","0.0132115360088696","0.00785385801594648","0.0705856566594251","0.0197158743400028","0.017374493787635","0.0757996783179637","0.110692443011482","0.103585634457393","0.0969650434052132","0.0409598005419336","0.0397632138017752","0.0878650449730745","0.0596035430389889","0.0575406731609078","0.0791414832943287"
"0.3","0.0215103287042133","0.0137187989496563","0.103423669193941","0.0296023138462312","0.026085008587394","0.109292314842955","0.166468835573928","0.155869053978531","0.145545663143242","0.0612747157833974","0.0594512954684584","0.132865430756201","0.0892327631209302","0.0862034030677492","0.117244691343263"
"0.4","0.0292569234984668","0.0169501146762604","0.139979711985813","0.0397305996279802","0.03474818742315","0.153334705067732","0.22183878073457","0.207630811439129","0.192448632847996","0.087466352666497","0.0820774716705136","0.283362046289896","0.11897933288835","0.114959911817586","0.1551619271469"
"0.5","0.0392608737594442","0.0239187834899681","0.183608680993026","0.0500245277864771","0.0437000215133381","0.189954209982307","0.277393639420746","0.259487135956006","0.240819259243731","0.095420761619664","0.0882881448034307","0.426508494773672","0.149733194916235","0.144428746990701","0.209320073650698"
"0.6","0.0465837553406249","0.0276243583653937","0.222522074559396","0.060997778445548","0.052626000610168","0.252474862558508","0.333147031413149","0.311713534231184","0.288029732195039","0.443166144651957","0.278700129481779","1.22530048846017","0.178348863251019","0.172290310470371","0.232816588865351"
"0.7","0.0583714122847413","0.0347786338775009","0.2649344286263","0.0725304018917104","0.0611265767656519","0.321333186568075","0.388243663761039","0.363350197990638","0.336203204751578","0.381301720111087","0.294487345263005","1.05840651993198","0.208879898818238","0.201683319225914","0.27587250681195"
"0.8","0.0689027240106259","0.0412001570129495","0.305621022132837","0.359579811565361","0.250853914815913","1.34775056203722","0.444035680063307","0.415584037930229","0.384717821891612","0.313417373045716","0.25770709521318","0.894762616001861","0.240764897171318","0.231368935207435","0.399748233602694"
