step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.5,0.0,0.0
1.0,0.010416666977107525,0.0,1.0,0.5,0.0,0.0
2.0,0.02083333395421505,0.0,1.0,0.5,0.0,0.0
3.0,0.03125,0.0,1.0,0.5,0.0,0.0
4.0,0.0416666679084301,0.0,1.0,0.5,0.0,0.0
5.0,0.0520833320915699,0.0,1.0,0.5,0.0,0.0
6.0,0.0625,0.0,1.0,0.5,0.0,0.0
7.0,0.0729166641831398,0.0,1.0,0.5,0.0,0.0
8.0,0.0833333358168602,0.0,1.0,0.5,0.0,0.0
9.0,0.09375,0.0,1.0,0.5,0.0,0.0
10.0,0.1041666641831398,0.0,1.0,0.5,0.0,0.0
11.0,0.1145833358168602,0.0,1.0,0.5,0.0,0.0
12.0,0.125,0.0,1.0,0.5,0.0,0.0
13.0,0.1354166716337204,0.0,1.0,0.5,0.0,0.0
14.0,0.1458333283662796,0.0,1.0,0.5,0.0,0.0
15.0,0.15625,0.0,1.0,0.5,0.0,0.0
16.0,0.1666666716337204,0.0,1.0,0.5,0.0,0.0
17.0,0.1770833283662796,0.0,1.0,0.5,0.0,0.0
18.0,0.1875,0.0,1.0,0.5,0.0,0.0
19.0,0.1979166716337204,0.0,1.0,0.5,0.0,0.0
20.0,0.2083333283662796,0.0,1.0,0.5,0.0,0.0
21.0,0.21875,0.0,1.0,0.5,0.0,0.0
22.0,0.2291666716337204,0.0,1.0,0.5,0.0,0.0
23.0,0.2395833283662796,0.0,1.0,0.5,0.0,0.0
24.0,0.25,0.0,1.0,0.5,0.0,0.0
25.0,0.2604166567325592,0.0,1.0,0.5,0.0,0.0
26.0,0.2708333432674408,0.0,1.0,0.5,0.0,0.0
27.0,0.28125,0.0,1.0,0.5,0.0,0.0
28.0,0.2916666567325592,0.0,1.0,0.5,0.0,0.0
29.0,0.3020833432674408,0.0,1.0,0.5,0.0,0.0
30.0,0.3125,0.0,1.0,0.5,0.0,0.0
