mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,omega_o,r,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,hold_steady_state_error,name
0.19947818405824477,0.21933949044885268,23.937382086989373,0.25437378883361816,119.0,0.23315451542536417,26176197748.13139,119.0,35.708914620535715,0.6526706931867153,-0.6215423478828868,1.0,0.29986344628013195,24.0,2.0,5.0,10.0,50.0,0.1210784250870347,0.0,0.4673424959182739,0.0,0.0,0.0,0.15531912446022034,coarse_b24_wc2_k5_r50
0.20701863714625499,0.22732059096644008,24.842236457550598,0.2859015464782715,119.0,0.26389026641845703,26013592416.613037,119.0,29.142812007615547,0.6561941388614192,-0.646338894837598,1.0,0.3130867642839908,30.5,2.0,6.5,13.0,50.0,0.12616144213825464,0.0,0.49422264099121094,0.0,0.0,0.0,0.17652411262194315,coarse_b30.5_wc2_k6.5_r50
0.2046080876187394,0.2233247142834628,24.552970514248727,0.3117339611053467,119.0,0.28017524878184,26503389215.368244,119.0,81.22803555015756,0.7105629715436441,-0.6315692848709102,1.0,0.3215340420758092,24.0,2.0,6.5,13.0,50.0,0.17723905900493264,0.0,0.701767086982727,0.0,0.0,0.0,0.18421615163485208,coarse_b24_wc2_k6.5_r50
0.20933695881565767,0.22860570269125755,25.12043505787892,0.31862688064575195,119.0,0.28777505954106647,26080956316.936584,119.0,40.454901687237395,0.6750205300139885,-0.6302083130371616,1.0,0.32178498076392104,30.5,2.0,8.0,16.0,50.0,0.19852374523179606,0.0,0.6219266057014465,0.0,0.0,0.0,0.18885872761408487,coarse_b30.5_wc2_k8_r50
0.21435218940988723,0.23658572308455708,25.72226272918647,0.3290119171142578,119.0,0.30154367287953693,25941271756.48104,119.0,23.713284532563026,0.6779910817961327,-0.6631527599173412,0.0,0.33122652449565176,37.5,2.0,8.0,16.0,50.0,0.18409421714022756,0.0,0.5218689441680908,0.0,0.0,0.0,0.20044452945391336,coarse_b37.5_wc2_k8_r50
0.21527479676210343,0.23651799869684617,25.83297561145241,0.30883264541625977,119.0,0.2902010480562846,26081026446.192215,119.0,25.97598394826681,0.6971144797672245,-0.6741067872903651,1.0,0.3325895950436282,30.5,2.0,5.0,10.0,50.0,0.056609259569086134,0.0,0.5105366110801697,0.0,0.0,0.0,0.1983027458190918,coarse_b30.5_wc2_k5_r50
0.20635489920518732,0.24530666509622281,24.762587904622478,0.33522796630859375,119.0,0.2557513316472371,25651202949.7175,119.0,24.996303013392858,0.7349796168957923,-0.6722899824250489,1.0,0.33662463088839345,30.5,2.0,2.0,4.0,50.0,0.6796276085078716,0.0,0.34682637453079224,0.0,0.0,0.0,0.1695877512296041,coarse_b30.5_wc2_k2_r50
0.21976311199573312,0.24333108598985087,26.371573439487975,0.3385632038116455,119.0,0.31265807151794434,25956421731.541153,119.0,22.285029050682773,0.7008366417772404,-0.6606510712156599,0.0,0.3427103125222876,37.5,2.0,6.5,13.0,50.0,0.16759064642246813,0.0,0.515173077583313,0.0,0.0,0.0,0.21010907491048178,coarse_b37.5_wc2_k6.5_r50
0.2197345856165896,0.24623650750563966,26.36815027399075,0.3492729663848877,119.0,0.31675557295481366,25884069701.278564,119.0,17.7546161042542,0.7063805800570224,-0.6895726984853607,0.0,0.34620174028609646,45.0,2.0,8.0,16.0,50.0,0.2528309456538409,0.0,0.4812750518321991,0.0,0.0,0.0,0.210883229970932,coarse_b45_wc2_k8_r50
0.18397919132259138,0.22333655072800287,22.077502958710966,0.4224834442138672,119.0,0.32340602080027264,26310944700.38568,119.0,51.97096162683823,0.9038287436400532,-0.7031612734935434,0.0,0.35601521897273175,45.0,3.5,2.0,7.0,50.0,0.8466787673532963,0.0,0.597617506980896,0.0,0.0,0.0,0.20941463112831116,coarse_b45_wc3.5_k2_r50
