difficulty,method,mae,mae_std,rmse,rmse_std,iae,iae_std,overshoot,overshoot_std,settling_time,settling_time_std,steady_state_error,steady_state_error_std,control_energy,control_energy_std,disturbance_recovery_time,disturbance_recovery_time_std,control_variation,control_variation_std,velocity_rmse,velocity_rmse_std,reward,reward_std
easy,pid,0.018288202467815796,0.008337861513744129,0.023989721469211384,0.009471732022200712,1.8288202467815797,0.8337861513744129,0.019054976136734087,0.02132142650798006,26.666666666666668,37.71236166328253,0.022813191299792382,0.014160558644514144,0.1887311432823957,0.08830618723706027,26.666666666666668,37.71236166328253,0.002085573133828237,0.0003259871349785104,0.12549301579342154,0.02579953542285213,-3.1719306904216147,0.9857003899326039
easy,ladrc,0.00903265901203857,0.0008219393873070885,0.012128044522798304,0.0006976501593377215,0.903265901203857,0.08219393873070882,0.021906067617237568,0.0034091296414317422,0.0,0.0,0.018074263418869422,0.0019139762691396725,70.75182873162946,30.314107663568095,0.0,0.0,0.05371923964807393,0.01656651288203208,0.09174926545825902,0.008085318754813347,-1.868983821207083,0.10920899290968165
easy,ddpg_ladrc,0.012364557410558821,0.009312721221262348,0.016240612740086383,0.011594652698042359,1.236455741055882,0.9312721221262348,0.02839111944194883,0.01662932545961298,18.0,25.45584412271571,0.023055779875721785,0.015695962373375283,81.69537425160969,69.36041692992036,18.0,25.45584412271571,0.10748832721898223,0.10549685808282597,0.11799707852974468,0.05576554021536897,-2.6704333526283635,1.7470854466490209
easy,mddpg_ladrc,0.015370219357525153,0.004798159835390588,0.0204137194833601,0.005821689989308238,1.5370219357525154,0.47981598353905874,0.042585999239236116,0.011710266258264776,66.0,46.66904755831214,0.039459158154204484,0.010616425406884145,27.358461644429884,15.303659043758412,66.0,46.66904755831214,0.025730734012842246,0.005484170543936948,0.12699361495640765,0.03108878370735149,-3.0808486702134057,0.931353724030552
medium,pid,0.044753260018295195,0.02099386992995309,0.05650652365674643,0.025730508474453725,4.47532600182952,2.0993869929953086,0.01756010390818119,0.02483373710363063,90.0,7.788880963698615,0.02921440880745649,0.01077430953717668,0.8887098441733041,0.609792016964509,90.0,7.788880963698615,0.004394488632844363,0.0011961349918198332,0.2581894947838271,0.06548682773681314,-7.416731507734798,3.011143669246506
medium,ladrc,0.020639770211758637,0.0061501452118981215,0.025979457812712825,0.0070707429899531035,2.0639770211758637,0.6150145211898123,0.04568249639123678,0.010760612098118813,29.0,41.012193308819754,0.032418620027601715,0.00762514218453125,309.0207479794249,209.23019909409436,29.0,41.012193308819754,0.11260902382508627,0.046357218019541575,0.19100890666840323,0.05444602811053953,-4.186607827210296,1.222741411184267
medium,ddpg_ladrc,0.01742819576053686,0.016106294712577945,0.021912476625650504,0.019641383571371605,1.7428195760536862,1.6106294712577947,0.036453635742266975,0.030881252016562614,33.0,46.66904755831214,0.02783380196002933,0.03559263878064269,579.1502707962163,376.69886165967625,33.0,46.66904755831214,0.3522148229704462,0.30779514271751623,0.18292878868362508,0.09236924827872296,-3.704124657443996,2.8543848305340673
medium,mddpg_ladrc,0.0030246907249481107,0.0012254254500033504,0.00442779115719975,0.0019288246442643112,0.3024690724948111,0.12254254500033503,0.009348012506961823,0.0027907741424689743,0.0,0.0,0.002405811039110025,7.6769388326167e-05,1003.2541896382373,462.6770150957124,0.0,0.0,0.6531265225691663,0.2118942204289528,0.10081726703624504,0.025920879231731617,-1.2045823624047143,0.41120703316705515
