mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,speed_mps,controller
0.004898116231077647,0.00640784120238555,0.47021915818345406,0.004298202693462372,0.0,0.0013972173134485881,20086755267.97692,0.0,1.3596628289473685,0.03754522644990892,-0.43752029882947574,gym_env,0.1,pid_pos_att
0.008666937631135832,0.010158112325112812,0.83202601258904,0.0009503811597824097,0.0,0.0005874120526843601,20095312846.899647,0.0,2.8728310032894737,0.043922279166049294,-0.46217614078517855,gym_env,0.1,ladrc_retuned_r63
0.02004677473777446,0.020888688455831857,1.9244903748263482,0.0,0.0,0.027141691909896,20116329967.655,0.0,10.013908305921053,0.057017744311183775,-0.44742833918459946,gym_env,0.1,ladrc_retuned_no_r_search
0.007853858015946477,0.013211536008869592,0.7539703695308617,0.005675837397575378,0.0,0.0033278531498379177,20100132995.291588,0.0,2.1296206825657893,0.07058565665942505,-0.4345397752434354,gym_env,0.2,pid_pos_att
0.017374493787635004,0.019715874340002843,1.6679514036129603,0.0,0.0,0.0037345820003085667,20119863920.131725,0.0,5.967074424342106,0.07579967831796368,-0.45882708383783855,gym_env,0.2,ladrc_retuned_r63
0.039763213801775166,0.04095980054193356,3.817268524970416,0.0,94.0,0.04904303616947598,20140511071.653526,94.0,15.32744654605263,0.08786504497307446,-0.46889564548827867,gym_env,0.2,ladrc_retuned_no_r_search
0.013718798949656255,0.021510328704213252,1.3170046991670006,0.009496331214904785,17.0,0.007126086288028293,20116558959.411163,17.0,3.1869140625,0.10342366919394119,-0.44029349879179586,gym_env,0.3,pid_pos_att
0.026085008587394043,0.02960231384623123,2.504160824389828,0.0,17.0,0.007370822959476047,20151756320.628143,17.0,10.748442639802631,0.10929231484295496,-0.43990026363743623,gym_env,0.3,ladrc_retuned_r63
0.05945129546845843,0.06127471578339742,5.70732436497201,0.0,95.0,0.0728231171766917,20219672745.238,95.0,34.436117393092104,0.13286543075620075,-0.4398459283298579,gym_env,0.3,ladrc_retuned_no_r_search
0.01695011467626036,0.029256923498466775,1.6272110089209946,0.005889207124710083,23.0,0.0028126041094462075,20143881575.283615,23.0,4.582319078947369,0.13997971198581297,-0.45452634216518567,gym_env,0.4,pid_pos_att
0.034748187423150036,0.03973059962798024,3.3358259926224036,0.0,46.0,0.009073336919148764,20222094726.623993,46.0,20.793570106907893,0.15333470506773206,-0.43822785928418556,gym_env,0.4,ladrc_retuned_r63
0.08207747167051356,0.08746635266649704,7.879437280369302,0.0,95.0,0.14074379867977566,20934354387.35458,95.0,149.7911287006579,0.2833620462898959,-0.4890740378887237,gym_env,0.4,ladrc_retuned_no_r_search
0.02391878348996812,0.03926087375944421,2.2962032150369396,0.01129227876663208,26.0,0.009602295027838813,20182421932.715767,26.0,6.8686266447368425,0.18360868099302605,-0.4544030165471397,gym_env,0.5,pid_pos_att
0.04370002151333807,0.05002452778647709,4.195202065280455,0.0,50.0,0.011945691373613145,20286215587.44391,50.0,31.018179481907893,0.18995420998230728,-0.45503394374693745,gym_env,0.5,ladrc_retuned_r63
0.08828814480343065,0.095420761619664,8.475661901129342,0.050634026527404785,95.0,0.043042507436540395,21078181260.865036,95.0,279.27057976973686,0.4265084947736717,-0.5702626391328095,gym_env,0.5,ladrc_retuned_no_r_search
0.027624358365393675,0.04658375534062491,2.651938403077793,0.01408541202545166,27.0,0.003563563028971354,20235134436.517258,27.0,9.739751233552632,0.22252207455939588,-0.4587375267989418,gym_env,0.6,pid_pos_att
0.05262600061016798,0.06099777844554801,5.052096058576126,0.0,54.0,0.01351932684580485,20470601111.912895,54.0,57.828531044407896,0.25247486255850815,-0.42792941563429004,gym_env,0.6,ladrc_retuned_r63
0.2787001294817794,0.4431661446519571,26.755212430250822,0.0,95.0,1.1792679557369814,16937464340.660696,95.0,197.80635279605264,1.2253004884601706,-0.7286094023049033,gym_env,0.6,ladrc_retuned_no_r_search
0.03477863387750091,0.05837141228474131,3.338748852240087,0.01389378309249878,29.0,0.004088454776340061,20283500120.05073,29.0,11.804923930921053,0.2649344286263002,-0.46843035986598397,gym_env,0.7,pid_pos_att
0.06112657676565192,0.07253040189171045,5.868151369502584,0.0,85.0,0.018433491388956707,20729343674.78586,85.0,96.0246247944079,0.32133318656807464,-0.3923354801818884,gym_env,0.7,ladrc_retuned_r63
0.2944873452630053,0.3813017201110874,28.27078514524851,0.7931007146835327,95.0,0.6212442583507962,17742417201.693733,95.0,455.93298725328947,1.058406519931979,-0.9193033711716998,gym_env,0.7,ladrc_retuned_no_r_search
0.04120015701294951,0.06890272401062592,3.955215073243153,0.01381140947341919,31.0,0.006842414538065593,20342286165.081306,31.0,14.317614103618421,0.30562102213283726,-0.4817035270716945,gym_env,0.8,pid_pos_att
0.250853914815913,0.359579811565361,24.08197582232765,1.0386103391647339,95.0,0.9006157318751017,19430757977.733673,95.0,446.55331003289473,1.347750562037218,-0.9060872012036852,gym_env,0.8,ladrc_retuned_r63
0.2577070952131801,0.3134173730457161,24.739881140465286,0.6304502487182617,95.0,0.4786386357413398,15875412445.663347,95.0,424.5295435855263,0.8947626160018614,-0.8529097165847507,gym_env,0.8,ladrc_retuned_no_r_search
