time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r
0.0,x,gym_env,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,14468.4287109375,14468.4287109375,14468.4287109375,14468.4287109375,-0.0,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.020833333333333332,x,gym_env,0.0,0.0,1.0,0.0,0.0,-1.3332407178268113e-08,0.0,-0.0,0.0,0.010416666977107525,0.0,1.0,0.5,0.0,0.0,14038.8291015625,14898.029296875,14898.029296875,14038.8291015625,-0.0104152737185359,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.041666666666666664,x,gym_env,1.393427965012961e-06,-2.2894487798747387e-22,1.0000022649765015,0.00022294015798252076,-4.3957043372967054e-20,0.00017964669677894562,2.1512492394521185e-18,0.008181506767868996,1.0172525001509352e-20,0.02083333395421505,0.0,1.0,0.5,0.0,0.0,14049.2744140625,14908.474609375,14908.474609375,14049.2744140625,-0.020802656188607216,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.0625,x,gym_env,3.067863144678995e-05,-6.920945868223023e-21,1.0000118017196655,0.0026774683501571417,-5.940354142067409e-19,0.0006369167240336537,5.379837947437695e-18,0.02998875267803669,9.740568700694747e-20,0.03125,0.0,1.0,0.5,0.0,0.0,14119.91015625,14979.109375,14979.109375,14119.91015625,-0.031080037355422974,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.08333333333333333,x,gym_env,0.0001699631247902289,-3.298988214612981e-20,1.0000545978546143,0.010220152325928211,-1.7151778184876385e-18,0.002964268671348691,5.927638721691244e-18,0.06543182581663132,3.0627440099511583e-19,0.0416666679084301,0.0,1.0,0.5,0.0,0.0,14181.7705078125,15040.970703125,15040.970703125,14181.7705078125,-0.041105106472969055,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.10416666666666666,x,gym_env,0.0005615628324449062,-8.380679896248448e-20,1.0001628398895264,0.02575961872935295,-2.9213066200586123e-18,0.0065964460372924805,5.684417843098602e-18,0.1145235225558281,5.931801094533611e-19,0.0520833320915699,0.0,1.0,0.5,0.0,0.0,14336.599609375,15195.7998046875,15195.7998046875,14336.599609375,-0.050670407712459564,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.125,x,gym_env,0.001412923913449049,-1.5975782487346164e-19,1.000389575958252,0.052584197372198105,-4.1463764100909785e-18,0.013527864590287209,6.008436483154505e-18,0.17731083929538727,9.707726528449094e-19,0.0625,0.0,1.0,0.5,0.0,0.0,15303.47265625,14444.2724609375,14444.2724609375,15303.47265625,-0.059505634009838104,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.14583333333333331,x,gym_env,0.0029943666886538267,-2.6052890912727817e-19,1.0007739067077637,0.09326380491256714,-5.179264433276756e-18,0.02138189971446991,4.09980955372427e-19,0.23703697323799133,1.2136162336806507e-18,0.0729166641831398,0.0,1.0,0.5,0.0,0.0,15349.740234375,14490.5400390625,14490.5400390625,15349.740234375,-0.06733475625514984,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.16666666666666666,x,gym_env,0.005581905134022236,-3.6777468500236816e-19,1.001305103302002,0.14621859788894653,-4.95371171897794e-18,0.027886535972356796,-6.333153677237709e-18,0.2825525104999542,1.1372599151189167e-18,0.0833333358168602,0.0,1.0,0.5,0.0,0.0,15297.580078125,14438.3798828125,14438.3798828125,15297.580078125,-0.07394978404045105,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.1875,x,gym_env,0.00938355177640915,-4.503194002205528e-19,1.0019222497940063,0.2076255977153778,-2.967565868635028e-18,0.030486928299069405,-1.853112377659479e-17,0.3139342963695526,8.084267220064371e-19,0.09375,0.0,1.0,0.5,0.0,0.0,15204.923828125,14345.7236328125,14345.7236328125,15204.923828125,-0.0792182981967926,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.20833333333333331,x,gym_env,0.014531699009239674,-4.59941423599711e-19,1.002537488937378,0.27400580048561096,1.5522838287945615e-18,0.028703512623906136,-3.021345347032408e-17,0.33130282163619995,4.319271426980128e-19,0.1041666641831398,0.0,1.0,0.5,0.0,0.0,14801.6123046875,14525.8779296875,14525.8779296875,14801.6123046875,-0.08307617902755737,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.22916666666666666,x,gym_env,0.021090487018227577,-3.4618718386990067e-19,1.0030616521835327,0.3422966003417969,8.331551726813757e-18,0.022699661552906036,-3.8915466306275835e-17,0.34041914343833923,1.3706146228047267e-19,0.1145833358168602,0.0,1.0,0.5,0.0,0.0,14991.4052734375,14132.205078125,14132.205078125,14991.4052734375,-0.08550305664539337,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.25,x,gym_env,0.029080282896757126,-7.079484726141615e-20,1.0034210681915283,0.41105639934539795,1.666122906235947e-17,0.01359792985022068,-4.453511962972429e-17,0.33951738476753235,2.1860855890582713e-19,0.125,0.0,1.0,0.5,0.0,0.0,14904.939453125,14045.7392578125,14045.7392578125,14904.939453125,-0.08651329576969147,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.2708333333333333,x,gym_env,0.03848670795559883,3.9076849657375237e-19,1.0035637617111206,0.478192538022995,2.5925868644273867e-17,0.0024460023269057274,-4.8326058598552766e-17,0.3249446749687195,9.623999306846477e-19,0.1354166716337204,0.0,1.0,0.5,0.0,0.0,14735.6328125,14102.177734375,14102.177734375,14735.6328125,-0.08616992831230164,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.29166666666666663,x,gym_env,0.04924674332141876,1.05463087917704e-18,1.0034672021865845,0.5414025783538818,3.5949769038644565e-17,-0.009160173125565052,-5.300393701610755e-17,0.2989327013492584,2.368210235523499e-18,0.1458333283662796,0.0,1.0,0.5,0.0,0.0,14473.03125,14329.294921875,14329.294921875,14473.03125,-0.08457683771848679,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.3125,x,gym_env,0.061256490647792816,1.9396268670541552e-18,1.0031423568725586,0.5990390181541443,4.6973899538436833e-17,-0.01964523456990719,-5.867964340658505e-17,0.2676067054271698,4.190576392532443e-18,0.15625,0.0,1.0,0.5,0.0,0.0,14845.8310546875,13986.630859375,13986.630859375,14845.8310546875,-0.08185987174510956,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.3333333333333333,x,gym_env,0.07439012825489044,3.070082084261481e-18,1.0026286840438843,0.6503704786300659,5.932084073021165e-17,-0.027737969532608986,-6.584465540273977e-17,0.22729316353797913,6.779171531477833e-18,0.1666666716337204,0.0,1.0,0.5,0.0,0.0,14562.6142578125,14366.86328125,14366.86328125,14562.6142578125,-0.0781717300415039,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.35416666666666663,x,gym_env,0.08849494159221649,4.478647831118323e-18,1.0019861459732056,0.6935555338859558,7.339300936453117e-17,-0.03263464570045471,-7.56428810736713e-17,0.17979426681995392,1.0195967196671528e-17,0.1770833283662796,0.0,1.0,0.5,0.0,0.0,14229.0205078125,14848.33984375,14848.33984375,14229.0205078125,-0.0736980140209198,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.375,x,gym_env,0.1033853143453598,6.2073515001872755e-18,1.0012924671173096,0.7276121973991394,8.962438409541011e-17,-0.03352656960487366,-8.477803876558033e-17,0.13710610568523407,1.3660466781381463e-17,0.1875,0.0,1.0,0.5,0.0,0.0,15025.3935546875,14166.193359375,14166.193359375,15025.3935546875,-0.0686221718788147,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.3958333333333333,x,gym_env,0.1188778281211853,8.300023737766298e-18,1.000618577003479,0.7531422972679138,1.0795651964948792e-16,-0.03141241893172264,-9.746957678309984e-17,0.0902218148112297,1.7952100656530122e-17,0.1979166716337204,0.0,1.0,0.5,0.0,0.0,15047.927734375,14274.32421875,14274.32421875,15047.927734375,-0.06313641369342804,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.41666666666666663,x,gym_env,0.13478025794029236,1.0809251310527531e-17,1.0000249147415161,0.7685328722000122,1.2914670318627935e-16,-0.026425451040267944,-1.1188585255224141e-16,0.030520685017108917,2.420722225068264e-17,0.2083333283662796,0.0,1.0,0.5,0.0,0.0,14318.7177734375,15177.91796875,15177.91796875,14318.7177734375,-0.05748511850833893,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.4375,x,gym_env,0.15084820985794067,1.379855796720229e-17,0.9995754957199097,0.7713713049888611,1.5341702939153243e-16,-0.018303900957107544,-1.2639408433571929e-16,-0.02561972849071026,3.085430668681586e-17,0.21875,0.0,1.0,0.5,0.0,0.0,14365.08203125,15224.28125,15224.28125,14365.08203125,-0.05192163586616516,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.4583333333333333,x,gym_env,0.16682836413383484,1.7329617467081917e-17,0.9993118643760681,0.7628486752510071,1.805808466143858e-16,-0.008937214501202106,-1.4144780533722893e-16,-0.06768550723791122,3.647254056833318e-17,0.2291666716337204,0.0,1.0,0.5,0.0,0.0,14841.7001953125,14724.01953125,14724.01953125,14841.7001953125,-0.046646371483802795,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.47916666666666663,x,gym_env,0.1825203001499176,2.1460200104147114e-17,0.9992312788963318,0.7457457780838013,2.1037752016999137e-16,-0.0005680473404936492,-1.5295499938858481e-16,-0.10522409528493881,4.204301304128168e-17,0.2395833283662796,0.0,1.0,0.5,0.0,0.0,14826.0634765625,14682.4716796875,14682.4716796875,14826.0634765625,-0.041825756430625916,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.5,x,gym_env,0.1977575719356537,2.6234484767733727e-17,0.999305784702301,0.720728874206543,2.4188566350019365e-16,0.0062122587114572525,-1.623470065868589e-16,-0.144830122590065,4.834590762453159e-17,0.25,0.0,1.0,0.5,0.0,0.0,14291.84375,15151.04296875,15151.04296875,14291.84375,-0.037627190351486206,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.5208333333333333,x,gym_env,0.2123728096485138,3.1680765997874744e-17,0.999498724937439,0.6877298951148987,2.7457975883567035e-16,0.011139433830976486,-1.6832224169458675e-16,-0.17694970965385437,5.3748555077360433e-17,0.2604166567325592,0.0,1.0,0.5,0.0,0.0,14234.16796875,15093.3671875,15093.3671875,14234.16796875,-0.03419296443462372,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.5416666666666666,x,gym_env,0.22622369229793549,3.7813843710089964e-17,0.999760627746582,0.6489781737327576,3.076674333240447e-16,0.013414072804152966,-1.7348331932132561e-16,-0.19517217576503754,5.693566212519255e-17,0.2708333432674408,0.0,1.0,0.5,0.0,0.0,14284.2021484375,14891.2021484375,14891.2021484375,14284.2021484375,-0.03160466253757477,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.5625,x,gym_env,0.23922868072986603,4.4640608318881954e-17,1.0000337362289429,0.6074915528297424,3.411400048776073e-16,0.012851949781179428,-1.7910899451963346e-16,-0.20201659202575684,5.819092524835402e-17,0.28125,0.0,1.0,0.5,0.0,0.0,14603.869140625,14424.947265625,14424.947265625,14603.869140625,-0.029891282320022583,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.5833333333333333,x,gym_env,0.2513587176799774,5.2172782627891816e-17,1.0002652406692505,0.5653162002563477,3.752844588467998e-16,0.009931468404829502,-1.852058185599617e-16,-0.20667912065982819,5.908300976049041e-17,0.2916666567325592,0.0,1.0,0.5,0.0,0.0,14028.1416015625,14887.341796875,14887.341796875,14028.1416015625,-0.029062509536743164,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.6041666666666666,x,gym_env,0.26260414719581604,6.042811131562004e-17,1.0004162788391113,0.5227224826812744,4.1044908459162126e-16,0.005453950725495815,-1.9425884052576666e-16,-0.20430029928684235,5.864394890879216e-17,0.3020833432674408,0.0,1.0,0.5,0.0,0.0,13987.3701171875,14846.5703125,14846.5703125,13987.3701171875,-0.029109090566635132,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.625,x,gym_env,0.27297425270080566,6.943722653451068e-17,1.0004618167877197,0.48145049810409546,4.474269431787182e-16,6.785710866097361e-05,-2.062691986175712e-16,-0.18832486867904663,5.5423473395049656e-17,0.3125,0.0,1.0,0.5,0.0,0.0,14022.0146484375,14781.7587890625,14781.7587890625,14022.0146484375,-0.02997174859046936,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.6458333333333333,x,gym_env,0.28252825140953064,7.925026866457426e-17,1.0003976821899414,0.44402560591697693,4.87182487497658e-16,-0.005050975829362869,-2.1945878539063134e-16,-0.15974624454975128,4.928466497555067e-17,0.3229166567325592,0.0,1.0,0.5,0.0,0.0,14845.8564453125,13986.65625,13986.65625,14845.8564453125,-0.0315435528755188,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.6666666666666666,x,gym_env,0.2913731038570404,8.993134751200609e-17,1.0002447366714478,0.4123595654964447,5.300689302874457e-16,-0.008745956234633923,-2.2965416363470673e-16,-0.13457877933979034,4.3624483110809564e-17,0.3333333432674408,0.0,1.0,0.5,0.0,0.0,14006.0712890625,14865.271484375,14865.271484375,14006.0712890625,-0.03371182084083557,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.6875,x,gym_env,0.2996215224266052,1.0153738633783961e-16,1.0000309944152832,0.3856115937232971,5.753808519216961e-16,-0.01118726097047329,-2.388183983795082e-16,-0.10672586411237717,3.709680715918205e-17,0.34375,0.0,1.0,0.5,0.0,0.0,14039.638671875,14898.8388671875,14898.8388671875,14039.638671875,-0.03636547923088074,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.7083333333333333,x,gym_env,0.30738452076911926,1.141178240729259e-16,0.9997866749763489,0.3649837076663971,6.231594393774694e-16,-0.011982917785644531,-2.4924720037500117e-16,-0.06531847268342972,2.7011564704945643e-17,0.3541666567325592,0.0,1.0,0.5,0.0,0.0,14959.716796875,14100.517578125,14100.517578125,14959.716796875,-0.039344966411590576,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.7291666666666666,x,gym_env,0.31482169032096863,1.2773165523855223e-16,0.9995560050010681,0.35282427072525024,6.740960303584028e-16,-0.010395736433565617,-2.654656578534345e-16,-0.026781387627124786,1.711893787378711e-17,0.3645833432674408,0.0,1.0,0.5,0.0,0.0,14695.4404296875,14453.94921875,14453.94921875,14695.4404296875,-0.042480140924453735,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
