time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,y_b0,y_omega_c,y_k,z_b0,z_omega_c,z_k
3.708333333333333,x,gym_env,0.38540107011795044,-3.192377392709049e-15,1.0001245737075806,0.19820594787597656,-5.680220308462757e-15,-0.00013554345059674233,8.749667174262079e-16,-0.009398337453603745,-1.611987409302924e-17,0.38351064920425415,0.0,1.0,0.20453901588916779,0.0,0.0,14894.7607421875,14035.560546875,14035.560546875,14894.7607421875,-0.6945380485773087,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.7291666666666665,x,gym_env,0.3895058035850525,-3.312880746708419e-15,1.0001226663589478,0.19665409624576569,-5.853966247702401e-15,-5.4075775551609695e-05,8.94289762414565e-16,0.001694676117040217,-6.265457215906369e-18,0.387771874666214,0.0,1.0,0.20453901588916779,0.0,0.0,14894.4091796875,14035.208984375,14035.208984375,14894.4091796875,-0.007272725820541382,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.75,x,gym_env,0.39360418915748596,-3.4370506945782158e-15,1.0001225471496582,0.1968112736940384,-6.031417109053335e-15,2.344516178709455e-05,9.098851212811744e-16,-0.0008559119887650013,-8.490013062399315e-18,0.39203310012817383,0.0,1.0,0.20453901588916779,0.0,0.0,14034.044921875,14893.244140625,14893.244140625,14034.044921875,-0.6942569014489651,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.770833333333333,x,gym_env,0.39769983291625977,-3.564953728404799e-15,1.0001236200332642,0.19633632898330688,-6.211620403966372e-15,6.805433804402128e-05,9.214474386485508e-16,-0.000675942050293088,-8.219323997205625e-18,0.39629435539245605,0.0,1.0,0.20453901588916779,0.0,0.0,14345.6904296875,14580.3095703125,14580.3095703125,14345.6904296875,-0.2565618613064289,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.7916666666666665,x,gym_env,0.40178734064102173,-3.696636435000268e-15,1.0001232624053955,0.19629338383674622,-6.393795591580617e-15,-7.21620162948966e-05,9.324963481707727e-16,0.007187648676335812,-8.550999227806472e-19,0.4005555808544159,0.0,1.0,0.20453901588916779,0.0,0.0,14894.7431640625,14035.54296875,14035.54296875,14894.7431640625,-0.443887260144949,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.8125,x,gym_env,0.40589287877082825,-3.8321430718361166e-15,1.0001227855682373,0.19772416353225708,-6.578251838921818e-15,8.417669960181229e-06,9.432612898974276e-16,0.008350932039320469,2.9596597280390343e-19,0.40481680631637573,0.0,1.0,0.20453901588916779,0.0,0.0,14653.6240234375,14274.369140625,14274.369140625,14653.6240234375,-0.19802824380397796,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.833333333333333,x,gym_env,0.4100296199321747,-3.971515567043234e-15,1.0001217126846313,0.19895698130130768,-6.764610522262552e-15,-8.688431262271479e-05,9.550603529735616e-16,0.000451533094746992,-7.120858749417869e-18,0.40907803177833557,0.0,1.0,0.20453901588916779,0.0,0.0,14035.6259765625,14894.826171875,14894.826171875,14035.6259765625,-0.5013598250329495,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.8541666666666665,x,gym_env,0.41417285799980164,-4.114800507433718e-15,1.000120997428894,0.19865256547927856,-6.953357838514543e-15,2.4131454665621277e-06,9.666241526485957e-16,-0.0016649733297526836,-9.05609411459998e-18,0.4133392572402954,0.0,1.0,0.20453901588916779,0.0,0.0,14049.0458984375,14878.8095703125,14878.8095703125,14049.0458984375,-0.017652986335754395,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.875,x,gym_env,0.4183066487312317,-4.262044056303196e-15,1.0001215934753418,0.19846577942371368,-7.144157092081257e-15,4.279564745957032e-05,9.77154678007098e-16,0.009570414200425148,1.941621613101327e-18,0.41760048270225525,0.0,1.0,0.20453901588916779,0.0,0.0,14893.1328125,14033.9326171875,14033.9326171875,14893.1328125,-0.681029857480526,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
3.895833333333333,x,gym_env,0.4224646985530853,-4.413286871233135e-15,1.0001229047775269,0.2006717175245285,-7.336917226920866e-15,6.913360266480595e-05,9.880236989071468e-16,0.01787550188601017,1.0166148989950216e-17,0.4218617081642151,0.0,1.0,0.20453901588916779,0.0,0.0,14892.078125,14032.8779296875,14032.8779296875,14892.078125,-0.005748558104038238,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
