method,mae,mae_std,rmse,rmse_std,iae,iae_std,overshoot,overshoot_std,settling_time,settling_time_std,steady_state_error,steady_state_error_std,control_energy,control_energy_std,disturbance_recovery_time,disturbance_recovery_time_std,control_variation,control_variation_std,velocity_rmse,velocity_rmse_std,reward,reward_std
pid,0.044753260018295195,0.02099386992995309,0.05650652365674643,0.025730508474453725,4.47532600182952,2.0993869929953086,0.01756010390818119,0.02483373710363063,90.0,7.788880963698615,0.02921440880745649,0.01077430953717668,0.8887098441733041,0.609792016964509,90.0,7.788880963698615,0.004394488632844363,0.0011961349918198332,0.2581894947838271,0.06548682773681314,-7.416731507734798,3.011143669246506
ladrc,0.020639770211758637,0.0061501452118981215,0.025979457812712825,0.0070707429899531035,2.0639770211758637,0.6150145211898123,0.04568249639123678,0.010760612098118813,29.0,41.012193308819754,0.032418620027601715,0.00762514218453125,309.0207479794249,209.23019909409436,29.0,41.012193308819754,0.11260902382508627,0.046357218019541575,0.19100890666840323,0.05444602811053953,-4.186607827210296,1.222741411184267
ddpg_ladrc,0.01742819576053686,0.016106294712577945,0.021912476625650504,0.019641383571371605,1.7428195760536862,1.6106294712577947,0.036453635742266975,0.030881252016562614,33.0,46.66904755831214,0.02783380196002933,0.03559263878064269,579.1502707962163,376.69886165967625,33.0,46.66904755831214,0.3522148229704462,0.30779514271751623,0.18292878868362508,0.09236924827872296,-3.704124657443996,2.8543848305340673
mddpg_ladrc,0.0030246907249481107,0.0012254254500033504,0.00442779115719975,0.0019288246442643112,0.3024690724948111,0.12254254500033503,0.009348012506961823,0.0027907741424689743,0.0,0.0,0.002405811039110025,7.6769388326167e-05,1003.2541896382373,462.6770150957124,0.0,0.0,0.6531265225691663,0.2118942204289528,0.10081726703624504,0.025920879231731617,-1.2045823624047143,0.41120703316705515
