axis,b0,omega_c,k,omega_o,rmse,iae,settling_time,control_variation
x,0.8,6.5,2.5,16.25,0.03364600982764812,2.7637909993645735,87.0,0.17718123703824176
y,0.8,6.5,2.7,17.55,0.033660557594379595,2.76490385553916,87.0,0.1771219100605887
z,0.96,5.5,3.3,18.15,0.03291553137221736,2.632030749708065,96.0,0.07620422578815055
