0.000000000000000000e+00,1.836970198721029749e-17
2.083333333333333218e-02,1.836970198721029749e-17
4.166666666666666435e-02,6.108503371459458932e-07
6.250000000000000000e-02,1.190504062635135873e-05
8.333333333333332871e-02,5.254456770664882510e-05
1.041666666666666574e-01,1.439283386404147905e-04
1.250000000000000000e-01,3.254860036064200065e-04
1.458333333333333148e-01,6.383044204635333679e-04
1.666666666666666574e-01,1.121849394626098142e-03
1.875000000000000000e-01,1.846779338087840708e-03
2.083333333333333148e-01,2.878610157681295301e-03
2.291666666666666574e-01,4.251387863876168217e-03
2.500000000000000000e-01,6.014351771550624851e-03
2.708333333333333148e-01,8.250856800681823783e-03
2.916666666666666297e-01,1.102986664418073755e-02
3.125000000000000000e-01,1.438045121695588797e-02
3.333333333333333148e-01,1.833812889313567868e-02
3.541666666666666297e-01,2.298222063577626262e-02
3.750000000000000000e-01,2.839084946271233992e-02
3.958333333333333148e-01,3.459138197248400742e-02
4.166666666666666297e-01,4.160115804708770099e-02
4.375000000000000000e-01,4.946602024121215385e-02
4.583333333333333148e-01,5.821351755836499942e-02
4.791666666666666297e-01,6.782845939757865816e-02
5.000000000000000000e-01,7.829856734337645174e-02
5.208333333333332593e-01,8.965683928719102302e-02
5.416666666666666297e-01,1.019384419450570511e-01
5.625000000000000000e-01,1.151284449243910185e-01
5.833333333333332593e-01,1.291947184450147335e-01
6.041666666666666297e-01,1.441309706794913492e-01
6.250000000000000000e-01,1.599217566733578677e-01
6.458333333333332593e-01,1.765010779409739716e-01
6.666666666666666297e-01,1.937947712903337616e-01
6.875000000000000000e-01,2.117771990976251018e-01
7.083333333333332593e-01,2.304309547452507712e-01
7.291666666666666297e-01,2.496907083634041791e-01
7.500000000000000000e-01,2.694836147563242634e-01
7.708333333333332593e-01,2.897855880459331290e-01
7.916666666666666297e-01,3.105807675721014016e-01
8.125000000000000000e-01,3.318053877770765214e-01
8.333333333333332593e-01,3.533857095854877617e-01
8.541666666666666297e-01,3.752752093039589121e-01
8.750000000000000000e-01,3.974108891762783147e-01
8.958333333333332593e-01,4.197030050552571501e-01
9.166666666666666297e-01,4.420820484148110796e-01
9.375000000000000000e-01,4.644851974430138641e-01
9.583333333333332593e-01,4.868179005999856979e-01
9.791666666666666297e-01,5.089972892034501095e-01
1.000000000000000000e+00,5.309774645251595926e-01
1.020833333333333259e+00,5.527023315316484942e-01
1.041666666666666519e+00,5.740675265543679906e-01
1.062500000000000000e+00,5.949646965275595667e-01
1.083333333333333259e+00,6.153360817156502405e-01
1.104166666666666519e+00,6.351322767457608931e-01
1.125000000000000000e+00,6.542544280852858885e-01
1.145833333333333259e+00,6.725960599571593201e-01
1.166666666666666519e+00,6.901009855823713179e-01
1.187500000000000000e+00,7.067223739420215312e-01
1.208333333333333259e+00,7.223747020001032304e-01
1.229166666666666519e+00,7.369790873747377180e-01
1.250000000000000000e+00,7.505090521496581291e-01
1.270833333333333259e+00,7.629467573077051146e-01
1.291666666666666519e+00,7.742241376299776601e-01
1.312500000000000000e+00,7.842647293854421164e-01
1.333333333333333259e+00,7.930425873607450660e-01
1.354166666666666519e+00,8.005405967029518566e-01
1.375000000000000000e+00,8.066912838945629050e-01
