mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,speed_mps,controller
0.004898116231077647,0.00640784120238555,0.47021915818345406,0.004298202693462372,0.0,0.0013972173134485881,20086755267.97692,0.0,1.3596628289473685,0.03754522644990892,-0.43752029882947574,gym_env,0.1,pid_pos_att
0.052069522772839306,0.05563998167073439,4.998674186192574,0.0,95.0,0.0665814694431093,20085036282.116425,95.0,1.1623098273026315,0.050213264039451484,-0.47296356138124834,gym_env,0.1,ladrc_retuned_r63_no_td
0.028933020806419425,0.030070991582661633,2.777569997416265,0.0,0.0,0.037864282727241516,20101528662.216946,0.0,6.891359991776316,0.05041526102494609,-0.4457041898787992,gym_env,0.1,ladrc_retuned_no_r_search_no_td
0.007853858015946477,0.013211536008869592,0.7539703695308617,0.005675837397575378,0.0,0.0033278531498379177,20100132995.291588,0.0,2.1296206825657893,0.07058565665942505,-0.4345397752434354,gym_env,0.2,pid_pos_att
0.1035856344573934,0.1106924430114819,9.944220907909767,0.0,95.0,0.13760289549827576,20086564602.633778,95.0,1.3368061266447369,0.0969650434052132,-0.5240303887840438,gym_env,0.2,ladrc_retuned_r63_no_td
0.05754067316090783,0.059603543038988946,5.523904623447152,0.0,95.0,0.07086930010053846,20109567794.70485,95.0,7.599079975328947,0.07914148329432866,-0.4899826550680911,gym_env,0.2,ladrc_retuned_no_r_search_no_td
0.013718798949656255,0.021510328704213252,1.3170046991670006,0.009496331214904785,17.0,0.007126086288028293,20116558959.411163,17.0,3.1869140625,0.10342366919394119,-0.44029349879179586,gym_env,0.3,pid_pos_att
0.155869053978531,0.16646883557392836,14.963429181938977,0.0,95.0,0.20354172587394714,20090248548.811493,95.0,1.6727796052631578,0.14554566314324238,-0.593433327124035,gym_env,0.3,ladrc_retuned_r63_no_td
0.0862034030677492,0.08923276312093022,8.275526694503924,0.0,95.0,0.10439235634273952,20137805157.31054,95.0,14.73749486019737,0.1172446913432628,-0.5105409252430545,gym_env,0.3,ladrc_retuned_no_r_search_no_td
0.01695011467626036,0.029256923498466775,1.6272110089209946,0.005889207124710083,23.0,0.0028126041094462075,20143881575.283615,23.0,4.582319078947369,0.13997971198581297,-0.45452634216518567,gym_env,0.4,pid_pos_att
0.20763081143912862,0.22183878073456964,19.932557898156347,0.0,95.0,0.276105844312244,20091399022.031174,95.0,1.52294921875,0.19244863284799624,-0.6518572910618502,gym_env,0.4,ladrc_retuned_r63_no_td
0.11495991181758569,0.11897933288835041,11.036151534488226,0.0,95.0,0.1397828592194451,20171906854.162395,95.0,22.49312808388158,0.15516192714690033,-0.516661707541331,gym_env,0.4,ladrc_retuned_no_r_search_no_td
0.02391878348996812,0.03926087375944421,2.2962032150369396,0.01129227876663208,26.0,0.009602295027838813,20182421932.715767,26.0,6.8686266447368425,0.18360868099302605,-0.4544030165471397,gym_env,0.5,pid_pos_att
0.2594871359560062,0.2773936394207461,24.910765051776593,0.0,95.0,0.3440512352519565,20102044120.166527,95.0,2.698571134868421,0.2408192592437306,-0.6983482635322492,gym_env,0.5,ladrc_retuned_r63_no_td
0.14442874699070055,0.14973319491623538,13.865159711107253,0.0,95.0,0.1857716573609246,20296840929.394684,95.0,60.146335320723686,0.20932007365069788,-0.5029219705780502,gym_env,0.5,ladrc_retuned_no_r_search_no_td
0.027624358365393675,0.04658375534062491,2.651938403077793,0.01408541202545166,27.0,0.003563563028971354,20235134436.517258,27.0,9.739751233552632,0.22252207455939588,-0.4587375267989418,gym_env,0.6,pid_pos_att
0.3117135342311836,0.3331470314131487,29.924499286193623,0.0,95.0,0.41699816783269245,20102021987.212975,95.0,1.7494603207236843,0.288029732195039,-0.7557345766376394,gym_env,0.6,ladrc_retuned_r63_no_td
0.17229031047037088,0.17834886325101904,16.539869805155604,0.0,95.0,0.20938199758529663,20296359587.93473,95.0,49.56020250822368,0.2328165888653513,-0.5350836058934064,gym_env,0.6,ladrc_retuned_no_r_search_no_td
0.03477863387750091,0.05837141228474131,3.338748852240087,0.01389378309249878,29.0,0.004088454776340061,20283500120.05073,29.0,11.804923930921053,0.2649344286263002,-0.46843035986598397,gym_env,0.7,pid_pos_att
0.3633501979906377,0.3882436637610387,34.88161900710122,0.0,95.0,0.48371432224909466,20111353643.205128,95.0,2.3083881578947367,0.33620320475157833,-0.8239447207761308,gym_env,0.7,ladrc_retuned_r63_no_td
0.2016833192259142,0.20887989881823796,19.361598645687764,0.0,95.0,0.25324012173546684,20453176849.38187,95.0,77.83008326480264,0.2758725068119496,-0.5770658471863562,gym_env,0.7,ladrc_retuned_no_r_search_no_td
0.04120015701294951,0.06890272401062592,3.955215073243153,0.01381140947341919,31.0,0.006842414538065593,20342286165.081306,31.0,14.317614103618421,0.30562102213283726,-0.4817035270716945,gym_env,0.8,pid_pos_att
0.4155840379302293,0.4440356800633065,39.89606764130201,0.0,95.0,0.5521876944435967,20120459090.022083,95.0,2.9204769736842104,0.38471782189161235,-0.8868908352592029,gym_env,0.8,ladrc_retuned_r63_no_td
0.23136893520743484,0.24076489717131805,22.211417779913745,0.0,95.0,0.3198841412862142,20893420115.722294,95.0,184.84281455592105,0.39974823360269374,-0.6516261165731587,gym_env,0.8,ladrc_retuned_no_r_search_no_td
