shared_value,train_episodes,average_reward,best_reward,checkpoint_path,best_checkpoint_path,output_dir
1,300,-588.5741410412259,-344.07922772432,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_1\train\ladrc_x_pos_pid_att\x\20260412_100348\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_1\train\ladrc_x_pos_pid_att\x\20260412_100348\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_1\train\ladrc_x_pos_pid_att\x\20260412_100348
3,300,-478.1232685628902,-257.85654466026534,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_3\train\ladrc_x_pos_pid_att\x\20260412_100546\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_3\train\ladrc_x_pos_pid_att\x\20260412_100546\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_3\train\ladrc_x_pos_pid_att\x\20260412_100546
5,300,-461.46388891529386,-244.983990503937,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_5\train\ladrc_x_pos_pid_att\x\20260412_100703\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_5\train\ladrc_x_pos_pid_att\x\20260412_100703\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_5\train\ladrc_x_pos_pid_att\x\20260412_100703
7,300,-464.10165492308164,-281.5888634778013,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_7\train\ladrc_x_pos_pid_att\x\20260412_100921\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_7\train\ladrc_x_pos_pid_att\x\20260412_100921\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_7\train\ladrc_x_pos_pid_att\x\20260412_100921
9,300,-612.9221578844342,-295.51372353704494,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_9\train\ladrc_x_pos_pid_att\x\20260412_101138\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_9\train\ladrc_x_pos_pid_att\x\20260412_101138\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_sine_disturbance_mddpg_v_sweep\20260412_4d_retuned_net_vsweep\v_9\train\ladrc_x_pos_pid_att\x\20260412_101138
