time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,applied_r,applied_b0,applied_omega_c,applied_k
0.0,x,gym_env,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,14468.4287109375,14468.4287109375,14468.4287109375,14468.4287109375,-0.1,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.020833333333333332,x,gym_env,0.0,0.0,1.0,0.0,0.0,-1.3332407178268113e-08,0.0,-0.0,0.0,0.010416666977107525,0.0,1.0,0.5,0.0,0.0,14038.8291015625,14898.029296875,14898.029296875,14038.8291015625,-0.11037068348377943,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.041666666666666664,x,gym_env,1.393427965012961e-06,-2.2894487798747387e-22,1.0000022649765015,0.00022294015798252076,-4.3957043372967054e-20,0.00017964669677894562,2.1512492394521185e-18,0.008181506767868996,1.0172525001509352e-20,0.02083333395421505,0.0,1.0,0.5,0.0,0.0,14097.4599609375,14956.66015625,14956.66015625,14097.4599609375,-0.12026357129216195,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.0625,x,gym_env,3.0847459129290655e-05,-7.374840226728757e-21,1.0000288486480713,0.0026945676654577255,-6.530858735829468e-19,0.0019994894973933697,6.186735677780616e-18,0.030015990138053894,1.0681005202507915e-19,0.03125,0.0,1.0,0.5,0.0,0.0,14342.4892578125,15201.689453125,15201.689453125,14342.4892578125,-0.12898064740002158,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.08333333333333333,x,gym_env,0.00017316378944087774,-3.7862932381650406e-20,1.000179409980774,0.010480930097401142,-2.1064642335224256e-18,0.01068382803350687,9.696338526160924e-18,0.06563013792037964,3.8852859487253534e-19,0.0416666679084301,0.0,1.0,0.5,0.0,0.0,14834.3232421875,15693.5234375,15693.5234375,14834.3232421875,-0.13557824343442917,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.10416666666666666,x,gym_env,0.000587184214964509,-1.1032552439198977e-19,1.0006855726242065,0.027506209909915924,-4.497737918885128e-18,0.033256687223911285,1.1902559914376632e-17,0.11534454673528671,9.907641606842441e-19,0.0520833320915699,0.0,1.0,0.5,0.0,0.0,15587.1630859375,16446.36328125,16446.36328125,15587.1630859375,-0.13868313208222388,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.125,x,gym_env,0.0015333431074395776,-2.4168919859213526e-19,1.0019328594207764,0.059334274381399155,-7.534851892652696e-18,0.07735514640808105,1.2837278969645228e-17,0.1797027438879013,1.859280539410195e-18,0.0625,0.0,1.0,0.5,0.0,0.0,16586.095703125,17445.294921875,17445.294921875,16586.095703125,-0.13628061786293982,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.14583333333333331,x,gym_env,0.003418293548747897,-4.421218335549991e-19,1.0044623613357544,0.1140054389834404,-1.1005103691342324e-17,0.15023286640644073,1.3343217373868387e-17,0.25946518778800964,2.9460953618604483e-18,0.0729166641831398,0.0,1.0,0.5,0.0,0.0,17802.78515625,18661.986328125,18661.986328125,17802.78515625,-0.12548936158418655,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.16666666666666666,x,gym_env,0.006856828462332487,-7.240084427008199e-19,1.0089492797851562,0.20285235345363617,-1.535232162211271e-17,0.25769636034965515,1.7350604693583612e-17,0.35558366775512695,4.623804380141272e-18,0.0833333358168602,0.0,1.0,0.5,0.0,0.0,19206.615234375,20065.81640625,20065.81640625,19206.615234375,-0.1023443505167961,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
0.1875,x,gym_env,0.012749521061778069,-1.1178691471994486e-18,1.0161563158035278,0.34119731187820435,-2.1314391323211167e-17,0.4027296304702759,1.971491849483168e-17,0.46916842460632324,7.160183742919252e-18,0.09375,0.0,1.0,0.5,0.0,0.0,20768.986328125,21628.185546875,21628.185546875,20768.986328125,-0.08112231791019439,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
