time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,stage_index,active_param_set,switched_r,switched_b0,switched_omega_c,switched_k
0.0,x,gym_env,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,14468.4287109375,14468.4287109375,14468.4287109375,14468.4287109375,-8.20974296875,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.020833333333333332,x,gym_env,0.0,0.0,1.0,0.0,0.0,-1.3332407178268113e-08,0.0,-0.0,0.0,0.010416666977107525,0.0,1.0,0.5,0.0,0.0,14038.8291015625,14898.029296875,14898.029296875,14038.8291015625,-0.42906190916746856,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.041666666666666664,x,gym_env,1.393427965012961e-06,-2.2894487798747387e-22,1.0000022649765015,0.00022294015798252076,-4.3957043372967054e-20,0.00017964669677894562,2.1512492394521185e-18,0.008181506767868996,1.0172525001509352e-20,0.02083333395421505,0.0,1.0,0.5,0.0,0.0,14129.322265625,14988.5224609375,14988.5224609375,14129.322265625,-0.16779102090001108,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.0625,x,gym_env,3.095942520303652e-05,-7.912142502195965e-21,1.000040054321289,0.00270590977743268,-7.33642615295225e-19,0.002902965759858489,8.33820143175807e-18,0.030034000054001808,1.191432438724109e-19,0.03125,0.0,1.0,0.5,0.0,0.0,14501.791015625,15360.9912109375,15360.9912109375,14501.791015625,-0.4024492278754711,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.08333333333333333,x,gym_env,0.00017545030277688056,-4.634245454498526e-20,1.0002671480178833,0.010668827220797539,-2.7214955596272937e-18,0.01619635708630085,1.2657558265136445e-17,0.06576810777187347,4.629327671886442e-19,0.0416666679084301,0.0,1.0,0.5,0.0,0.0,15240.994140625,16100.193359375,16100.193359375,15240.994140625,-0.7031250830411911,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.10416666666666666,x,gym_env,0.0006044383626431227,-1.4233070618001202e-19,1.0010409355163574,0.02866169437766075,-6.078318769254516e-18,0.050990138202905655,2.1875105627597587e-17,0.11589161306619644,1.268339401079862e-18,0.0520833320915699,0.0,1.0,0.5,0.0,0.0,16351.4892578125,17210.689453125,17210.689453125,16351.4892578125,-1.0042976170480251,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.125,x,gym_env,0.001613201224245131,-3.4780468385895983e-19,1.0029605627059937,0.06379332393407822,-1.29528567807342e-17,0.1192832887172699,3.938647618195333e-17,0.18124115467071533,3.2639502655819124e-18,0.0625,0.0,1.0,0.5,0.0,0.0,17782.998046875,18642.197265625,18642.197265625,17782.998046875,-1.2599618173778058,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.14583333333333331,x,gym_env,0.0036921093706041574,-7.794131552259866e-19,1.0068668127059937,0.12701809406280518,-2.6690903177405786e-17,0.23231156170368195,5.91405947660139e-17,0.2629510760307312,7.439616107187628e-18,0.0729166641831398,0.0,1.0,0.5,0.0,0.0,19449.48828125,20308.689453125,20308.689453125,19449.48828125,-1.4383698169231416,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.16666666666666666,x,gym_env,0.007619554176926613,-1.614770086242583e-18,1.0137954950332642,0.23413509130477905,-4.9847088235082624e-17,0.3980351984500885,7.697844027325452e-17,0.36237990856170654,1.4677105668614248e-17,0.0833333358168602,0.0,1.0,0.5,0.0,0.0,21231.779296875,21666.447265625,21666.447265625,21231.779296875,-1.3395348445177078,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
0.1875,x,gym_env,0.014520000666379929,-3.0608251060264e-18,1.0247565507888794,0.40198683738708496,-8.33097865608538e-17,0.6090181469917297,9.806740999029396e-17,0.4749067723751068,2.5479880982126102e-17,0.09375,0.0,1.0,0.5,0.0,0.0,21666.447265625,21666.447265625,21666.447265625,21666.447265625,-0.26005650222301485,0.0,0.0,0.0,24.3,2.95,7.415254237288136,63.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,0.0,0.0,63.0,24.3,2.95,7.415254237288136
