axis,b0,omega_c,k,omega_o,rmse,iae,settling_time,control_variation
x,0.8,6.5,2.5,16.25,0.012431597131828608,1.0152778023621067,0.0,0.06676051739865127
y,0.8,6.5,2.7,17.55,0.012436731229390471,1.0156631284189643,0.0,0.06673578531492003
z,0.96,5.5,3.3,18.15,0.011740336744367875,0.9211575465960777,0.0,0.02836079245604483
