variant,mae,mae_std,rmse,rmse_std,iae,iae_std,overshoot,overshoot_std,settling_time,settling_time_std,steady_state_error,steady_state_error_std,control_energy,control_energy_std,disturbance_recovery_time,disturbance_recovery_time_std,control_variation,control_variation_std,velocity_rmse,velocity_rmse_std,reward,reward_std
no_state_stack,0.03995528769323073,0.0071664687856036816,0.04863918567177516,0.008667114679482911,3.995528769323073,0.7166468785603684,0.0,0.0,86.5,7.5,0.03691937101539224,0.011753723793663086,0.0720056284326808,0.025914191241154308,86.5,7.5,0.0011929591428009975,0.0001771372162721242,0.16004892073671362,0.0202102795013389,-5.738676659560816,0.9193181835894402
no_action_hold,0.026732029620455934,0.00020176592112079554,0.03452556449969601,0.0006472642411464863,2.6732029620455933,0.02017659211207956,0.0,0.0,75.5,6.5,0.017549104942008852,0.0021579962223768233,0.0501511413063324,0.006137029289480452,75.5,6.5,0.0011459871768009892,6.599121420703606e-05,0.14634864797162658,0.005709132885323431,-4.252126804267368,0.052746310307226096
no_n_step,0.016500036933360888,0.002420747624604473,0.022332615787905113,0.0032064951571765844,1.6500036933360889,0.24207476246044735,0.020301079959608614,0.018359217676334083,0.0,0.0,0.016286469355691224,0.011280300456564873,0.03163531568682926,0.005761273717638422,0.0,0.0,0.0009588021221059238,2.3458695542385695e-05,0.13901978807515042,0.011318312938999181,-3.072749696639561,0.1335232665998547
