mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,name
0.08875259439232035,0.09610759446095009,8.520249061662753,0.038810551166534424,95.0,0.07676258352067736,20929709013.961605,95.0,308.0978001644737,0.4503085324937206,-0.5717985868240861,1.0,0.7793727217209294,18.75,6.0,6.8999999999999995,refine_coarse_b25_w6_k6_b0.75_w1.00_k1.15
0.09034564426955427,0.09848177249934639,8.67318184987721,0.02092796564102173,83.0,0.015387409263186984,20959016015.730587,83.0,209.6677220394737,0.33145228788828823,-0.5318860415379673,1.0,0.7858356790011668,35.0,6.0,5.699999999999999,refine_coarse_b35_w6_k6_b1.00_w1.00_k0.95
0.09226766200355681,0.10813555970856219,8.857695552341454,0.02897745370864868,95.0,0.02491005924012926,20832099511.98404,95.0,39.232648026315786,0.42312294306740017,-0.5421278022725601,1.0,0.8096852545420246,71.5,6.0,4.800000000000001,refine_coarse_b55_w6_k6_b1.30_w1.00_k0.80
0.092622257600663,0.10789490629835384,8.891736729663648,0.009741127490997314,95.0,0.03071492248111301,20742644165.98239,95.0,36.713255550986844,0.40093270637915773,-0.5310429331862523,1.0,0.8107434814622566,80.0,5.4,6.8999999999999995,refine_coarse_b80_w6_k6_b1.00_w0.90_k1.15
0.0935279601075217,0.10842685889370643,8.978684170322083,0.0011449456214904785,81.0,0.015164328946007622,20620772536.840225,81.0,25.400436883223684,0.3638943543454526,-0.5502157613808133,1.0,0.8136378641089497,71.5,5.4,5.699999999999999,refine_coarse_b55_w6_k6_b1.30_w0.90_k0.95
0.09359243693012094,0.09881763539455285,8.98487394529161,0.0,95.0,0.0590986344549391,20215709530.994507,95.0,159.4656712582237,0.30148530636918064,-0.49671150707933115,1.0,0.8143434409425491,35.0,6.0,6.0,refine_coarse_b35_w6_k6_b1.00_w1.00_k1.00
0.09322949288428539,0.10691031455644058,8.950031316891398,0.0,95.0,0.0396369563208686,20643136796.790154,95.0,29.369690583881578,0.3738306070208659,-0.5353180702969897,1.0,0.8145385503333135,71.5,5.4,6.0,refine_coarse_b55_w6_k6_b1.30_w0.90_k1.00
0.09342700219670104,0.10798231653750445,8.9689922108833,0.0,95.0,0.017877890004052058,20607966533.38467,95.0,23.964751233552633,0.36064410959216325,-0.5376645578689252,1.0,0.8155528468554608,72.0,5.4,5.699999999999999,refine_coarse_b80_w6_k6_b0.90_w0.90_k0.95
0.09342414282787637,0.10658507941414709,8.968717711476131,0.0,95.0,0.036007980505625405,20600798472.023182,95.0,25.87217824835526,0.36094822135096233,-0.5315800486769217,1.0,0.8157380580240812,72.0,5.4,6.0,refine_coarse_b80_w6_k6_b0.90_w0.90_k1.00
0.09322233831002968,0.10790211277596781,8.94934447776285,0.020290374755859375,95.0,0.08822464942932129,20991598201.24378,95.0,63.58220600328947,0.4718873378606651,-0.5251231298624693,1.0,0.8194361358002379,71.5,6.0,5.699999999999999,refine_coarse_b55_w6_k6_b1.30_w1.00_k0.95
0.09343189663866269,0.10821787673821812,8.969462077311618,0.020222127437591553,95.0,0.08488214015960693,21001828963.314007,95.0,67.44631990131579,0.47814081891677956,-0.5311901004624398,1.0,0.8210818651321103,72.0,6.0,5.699999999999999,refine_coarse_b80_w6_k6_b0.90_w1.00_k0.95
0.09406064042318955,0.11060191561659767,9.029821480626197,0.04086679220199585,79.0,0.026644859049055312,20914919309.623825,79.0,41.15423005756579,0.4375074642843517,-0.5095384286121621,1.0,0.8230790918701777,72.0,6.0,4.800000000000001,refine_coarse_b80_w6_k6_b0.90_w1.00_k0.80
0.0940051622208724,0.10918183474287993,9.024495573203751,0.04546600580215454,95.0,0.05013236072328356,21082484153.233482,95.0,70.1798159950658,0.5052173325646966,-0.5430127312136194,1.0,0.8268967390660045,80.0,6.0,6.0,refine_coarse_b80_w6_k6_b1.00_w1.00_k1.00
0.09487467884731575,0.10575929762159632,9.107969169342311,0.0,95.0,0.04577554596794976,20495843317.679398,95.0,20.63109066611842,0.32964705434144653,-0.5551840412890382,1.0,0.8273162960350762,60.0,5.4,4.800000000000001,refine_coarse_b80_w6_k6_b0.75_w0.90_k0.80
0.09465550279143287,0.10648875482718312,9.086928267977555,0.0,95.0,0.11313176155090332,20780617205.0226,95.0,46.81166221217105,0.39914892556675363,-0.523423594140727,1.0,0.829310769293866,60.0,6.0,4.800000000000001,refine_coarse_b80_w6_k6_b0.75_w1.00_k0.80
0.0949449083736577,0.10615906917267291,9.114711203871138,0.0,95.0,0.11402895053227742,20750061301.957783,95.0,44.85833675986842,0.39107869511335797,-0.544702554429959,1.0,0.8314857721827225,60.50000000000001,6.0,4.800000000000001,refine_coarse_b55_w6_k6_b1.10_w1.00_k0.80
0.09541335103929487,0.10544477205955188,9.159681699772307,0.0,95.0,0.048752274778154164,20458688354.68715,95.0,18.344680304276316,0.31723813229457537,-0.5389291071978554,1.0,0.8315795401769586,60.50000000000001,5.4,4.800000000000001,refine_coarse_b55_w6_k6_b1.10_w0.90_k0.80
0.0946903175844606,0.1092615168932107,9.090270488108217,0.013487040996551514,95.0,0.1190378467241923,21057653553.683056,95.0,69.63461657072368,0.4761937001568168,-0.521497236471856,1.0,0.8326172399939094,72.0,6.0,6.0,refine_coarse_b80_w6_k6_b0.90_w1.00_k1.00
