mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,name
0.08828814480343065,0.095420761619664,8.475661901129342,0.050634026527404785,95.0,0.043042507436540395,21078181260.865036,95.0,279.27057976973686,0.4265084947736717,-0.5702626391328095,1.0,0.7748425637922713,29.75,6.6000000000000005,4.800000000000001,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k1.00_b0.85_w1.10_k0.80
0.08858940324241142,0.0955109684256729,8.504582711271496,0.06454199552536011,95.0,0.04636665847566393,20991138982.759914,95.0,278.42468133223684,0.4445250734150775,-0.5728528524952785,1.0,0.778833651068145,24.5,6.6000000000000005,3.7049999999999996,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k0.95_b0.70_w1.10_k0.65
0.09034564426955427,0.09848177249934639,8.67318184987721,0.02092796564102173,83.0,0.015387409263186984,20959016015.730587,83.0,209.6677220394737,0.33145228788828823,-0.5318860415379673,1.0,0.7858356790011668,35.0,6.0,5.699999999999999,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k1.00_b1.00_w1.00_k0.95
0.08985067113123317,0.09653977665708273,8.625664428598384,0.08157849311828613,95.0,0.048763930797576904,21458060523.963135,95.0,310.32793996710524,0.46885208368547676,-0.6017887674778856,1.0,0.7911734229175945,24.5,7.5,3.0,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k1.00_b0.70_w1.25_k0.50
0.09091454627831652,0.10548922812604787,8.727796442718386,0.0,81.0,0.013802905877431234,20568434179.761345,81.0,19.126094777960525,0.34950141929566403,-0.5556206930441782,1.0,0.7912621113439454,50.05,6.6000000000000005,2.4000000000000004,deep_refine_coarse_b55_w6_k6_b1.30_w1.00_k0.80_b0.70_w1.10_k0.50
0.09096941996625436,0.09911135716759986,8.73306431676042,0.0003019571304321289,95.0,0.025236546993255615,20428593037.909813,95.0,170.97578638980264,0.3205469206843112,-0.5183653927612895,1.0,0.7920268686455697,19.25,5.4,2.8499999999999996,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k0.95_b0.55_w0.90_k0.50
0.09011029965468491,0.10443725180364088,8.65058876684975,0.01660090684890747,95.0,0.0836631457010905,20878932255.13459,95.0,49.962484580592104,0.4465076832759351,-0.5386719513359325,1.0,0.7924282168000836,50.05,7.5,2.4000000000000004,deep_refine_coarse_b55_w6_k6_b1.30_w1.00_k0.80_b0.70_w1.25_k0.50
0.09141855244151269,0.09710564972729958,8.776181034385218,0.0,95.0,0.04578320185343424,20442765900.05528,95.0,128.90388055098686,0.2969826273787682,-0.479634096520037,1.0,0.7955827724841837,24.5,6.6000000000000005,2.8499999999999996,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k0.95_b0.70_w1.10_k0.50
0.09163487036397318,0.0974331347983975,8.796947554941426,0.0,95.0,0.0343625545501709,20584904094.995335,95.0,146.02484066611842,0.2857469553992993,-0.5084260125388546,1.0,0.7968908837796813,35.0,6.6000000000000005,4.800000000000001,deep_refine_coarse_b35_w6_k6_b1.00_w1.00_k1.00_b1.00_w1.10_k0.80
0.09098941559524339,0.10310550112778015,8.734983897143366,0.0,95.0,0.08057169119517009,20680223673.495453,95.0,35.91354337993421,0.3872943918489743,-0.5481248112783612,1.0,0.7969190674605954,50.05,6.75,2.8499999999999996,deep_refine_coarse_b55_w6_k6_b1.30_w0.90_k0.95_b0.70_w1.25_k0.50
