controller,mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,score
pid_pos_att,0.02391878348996812,0.03926087375944421,2.2962032150369396,0.01129227876663208,26.0,0.009602295027838813,20182421932.715767,26.0,6.8686266447368425,0.18360868099302605,-0.4544030165471397,gym_env,0.21633239924989112
ladrc_x_pos_pid_att_default,0.1749952696396632,0.18211150949248722,16.799545885407667,0.0,95.0,0.16552721129523384,20113959162.05103,95.0,2.1278011924342106,0.2159836686279414,-0.6070750100546672,gym_env,1.5068362702202014
ladrc_x_pos_pid_att_retuned,0.08828814480343065,0.095420761619664,8.475661901129342,0.050634026527404785,95.0,0.043042507436540395,21078181260.865036,95.0,279.27057976973686,0.4265084947736717,-0.5702626391328095,gym_env,0.7748425637922713
