mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,name
0.09359243693012094,0.09881763539455285,8.98487394529161,0.0,95.0,0.0590986344549391,20215709530.994507,95.0,159.4656712582237,0.30148530636918064,-0.49671150707933115,1.0,0.8143434409425491,35.0,6.0,6.0,coarse_b35_w6_k6
0.0940051622208724,0.10918183474287993,9.024495573203751,0.04546600580215454,95.0,0.05013236072328356,21082484153.233482,95.0,70.1798159950658,0.5052173325646966,-0.5430127312136194,1.0,0.8268967390660045,80.0,6.0,6.0,coarse_b80_w6_k6
0.09791791429997214,0.10073381111061107,9.400119772797325,0.0,95.0,0.07671393950780232,20498436836.128983,95.0,87.4531095805921,0.19902839171556871,-0.44941090928373545,1.0,0.8504833295961413,25.0,6.0,6.0,coarse_b25_w6_k6
0.10435406000723546,0.11243058176214532,10.017989760694604,0.0,95.0,0.17020068566004434,20711982322.350025,95.0,66.68935546875,0.3278621405746667,-0.4972340179450189,1.0,0.9120446876881187,55.0,6.0,6.0,coarse_b55_w6_k6
0.10625451734522251,0.11278896064513101,10.200433665141361,0.0,95.0,0.06458789772457546,20247834992.427082,95.0,7.012659333881579,0.24995972920251378,-0.5447884711487374,1.0,0.9220138644230755,55.0,4.0,6.0,coarse_b55_w4_k6
0.10637083561827805,0.11342085621859932,10.211600219354693,0.0,95.0,0.06256144576602513,20272952225.37324,95.0,7.793446751644737,0.26036580738224907,-0.551835198723323,1.0,0.9231508935172126,80.0,4.0,10.0,coarse_b80_w4_k10
0.10783171585120262,0.11093007008009317,10.351844721715452,0.0,95.0,0.096761597527398,20170597420.955452,95.0,12.0984375,0.18262017214941273,-0.540985236928193,1.0,0.9352002882831199,25.0,4.0,6.0,coarse_b25_w4_k6
0.10785178073078328,0.11108571978779062,10.353770950155194,0.0,95.0,0.09690591361787584,20178961069.666718,95.0,14.757478412828947,0.1885707058703535,-0.5193459343026703,1.0,0.9354444434365671,35.0,4.0,10.0,coarse_b35_w4_k10
0.10803692710765962,0.11101751521383159,10.371545002335324,0.0,95.0,0.10024720430374146,20163329247.02908,95.0,23.81155427631579,0.16862436841401823,-0.5007550304637756,1.0,0.9370456164525104,15.0,4.0,6.0,coarse_b15_w4_k6
0.10806067425079154,0.11112999212646545,10.373824728075988,0.0,95.0,0.1008828944630093,20125511315.283363,95.0,12.629219777960527,0.1668063258981657,-0.5021087078443572,1.0,0.9373219542618269,15.0,4.0,10.0,coarse_b15_w4_k10
0.10813447311731039,0.11118194013957172,10.380909419261798,0.0,95.0,0.0996057324939304,20152715040.902702,95.0,15.39032689144737,0.1754551462864486,-0.49948803556609594,1.0,0.9378692951814205,25.0,4.0,10.0,coarse_b25_w4_k10
0.10854340132067068,0.1126375279666571,10.420166526784385,0.0,95.0,0.11717630094952053,20227353745.73796,95.0,11.250889185855263,0.21891181739132864,-0.5391574094859418,1.0,0.9427184181703897,55.0,4.0,10.0,coarse_b55_w4_k10
0.10885236445277731,0.11220397559795921,10.449826987466622,0.0,95.0,0.11178341839048597,20187807566.682465,95.0,8.890553042763157,0.19874303176276945,-0.5388179929484304,1.0,0.9446820754956946,35.0,4.0,6.0,coarse_b35_w4_k6
0.11689073002155166,0.12998415854930234,11.22151008206896,0.0,95.0,0.15468410650889078,20308036194.99021,95.0,6.023324424342105,0.32206290980486446,-0.5737495291885765,1.0,1.0194614403376672,80.0,4.0,6.0,coarse_b80_w4_k6
0.11982578961038588,0.13758618118876415,11.503275802597045,0.43183332681655884,95.0,0.2701244221793281,18356465773.942062,95.0,261.4290912828947,0.7155166639803049,-0.5669312690663617,1.0,1.0954928226620313,15.0,6.0,6.0,coarse_b15_w6_k6
0.12750906033025977,0.14506042830713345,12.240869791704938,0.0,95.0,0.07190894418292576,20139350000.630043,95.0,2.108763363486842,0.27120538196170635,-0.5746703155378191,1.0,1.1070641764483398,80.0,2.5,6.0,coarse_b80_w2.5_k6
0.12826268223009407,0.1324986489932767,12.31321749408903,0.0,95.0,0.11946168873045179,20192965390.805206,95.0,17.62587890625,0.1898910758477728,-0.5472790653045445,1.0,1.1091371456844736,15.0,2.5,6.0,coarse_b15_w2.5_k6
0.12894025559455477,0.13324120115139995,12.378264537077257,0.0,95.0,0.1258085634973314,20151862393.313633,95.0,5.419294819078948,0.1979111222763319,-0.5531532854829604,1.0,1.1151989222820524,25.0,2.5,6.0,coarse_b25_w2.5_k6
0.12940752462162428,0.1337966997477445,12.42312236367593,0.0,95.0,0.11414519283506605,20124667256.62342,95.0,9.190280633223685,0.18069666053098943,-0.5506568276626834,1.0,1.1185989464317727,15.0,2.5,10.0,coarse_b15_w2.5_k10
0.12960176740242524,0.13458394116141828,12.441769670632823,0.0,95.0,0.10449520084593031,20141718332.36685,95.0,3.1219880756578946,0.20976184829416683,-0.5654778787645977,1.0,1.1200504127909046,35.0,2.5,6.0,coarse_b35_w2.5_k6
0.12957151688235768,0.13410861254535833,12.438865620706338,0.0,95.0,0.1155147287580702,20109314758.14944,95.0,7.967038445723684,0.1781691000255868,-0.5295408032764525,1.0,1.1201238382543457,8.0,2.5,14.0,coarse_b8_w2.5_k14
0.12970029560018995,0.1342984157665823,12.451228377618236,0.0,95.0,0.1138131750954522,20114822899.06453,95.0,10.42730777138158,0.1834332876337487,-0.5207508045939263,1.0,1.1211548774142368,15.0,2.5,18.0,coarse_b15_w2.5_k18
0.12972269155299188,0.13412334762622993,12.45337838908722,0.0,95.0,0.11233732435438368,20127220247.823708,95.0,4.34544099506579,0.18859835458614851,-0.5656442892667527,1.0,1.1211711507127264,25.0,2.5,10.0,coarse_b25_w2.5_k10
0.12973033378085339,0.13422093331346538,12.454112042961924,0.0,95.0,0.11515939235687256,20114748277.422714,95.0,5.774300986842105,0.18208720442984322,-0.5606093043607815,1.0,1.1214216498234102,15.0,2.5,14.0,coarse_b15_w2.5_k14
0.1300232929088884,0.1345882209302768,12.482236119253287,0.0,95.0,0.11798153320948283,20133595141.720997,95.0,3.5388209292763158,0.1984291491518352,-0.567429097444859,1.0,1.1240695665597642,35.0,2.5,10.0,coarse_b35_w2.5_k10
0.13006802063976153,0.13464341653697873,12.486529981417107,0.0,95.0,0.1155512465371026,20119048001.176582,95.0,4.411826685855263,0.18761856345201533,-0.5629832979141113,1.0,1.12433034093532,25.0,2.5,14.0,coarse_b25_w2.5_k14
0.13010232054765503,0.13481818088154485,12.489822772574882,0.0,95.0,0.11260808176464504,20119724051.739395,95.0,4.099681332236842,0.1920423757279327,-0.5491928068488681,1.0,1.1245425631385757,35.0,2.5,18.0,coarse_b35_w2.5_k18
0.13014556275828268,0.13478858765222748,12.493974024795136,0.0,95.0,0.1136443018913269,20125734658.260845,95.0,4.019125205592105,0.19476635242706183,-0.5514839479937064,1.0,1.1249224882605282,35.0,2.5,14.0,coarse_b35_w2.5_k14
0.13019872777133656,0.13478843597625176,12.49907786604831,0.0,95.0,0.11467298534181383,20116697880.374313,95.0,5.036461759868421,0.1876540937536369,-0.5551923734110159,1.0,1.1253954451485824,25.0,2.5,18.0,coarse_b25_w2.5_k18
0.1304072002679598,0.13545109512042536,12.51909122572414,0.0,95.0,0.11214225159751044,20130739552.01886,95.0,3.8147974917763157,0.20430963255022164,-0.5576518418056114,1.0,1.127253424931676,55.0,2.5,18.0,coarse_b55_w2.5_k18
0.13051895142827816,0.13590418482215413,12.529819337114702,0.0,95.0,0.10800744427575006,20140191736.20008,95.0,3.524429481907895,0.21254351153139664,-0.5580910682841981,1.0,1.1281594161177768,55.0,2.5,14.0,coarse_b55_w2.5_k14
0.13063184948189685,0.13655170945212963,12.540657550262097,0.0,95.0,0.10223761532041761,20144564670.215584,95.0,3.934693667763158,0.22302492659217002,-0.5553663240156758,1.0,1.1290899685501943,80.0,2.5,18.0,coarse_b80_w2.5_k18
0.13114607227285724,0.1395306718872443,12.590022938194295,0.0,95.0,0.13305441538492838,20145976863.99482,95.0,2.771787623355263,0.24307681515467747,-0.5697467124448624,1.0,1.136198076503293,55.0,2.5,6.0,coarse_b55_w2.5_k6
0.13129179663410243,0.14109410299627861,12.604012476873834,0.0,95.0,0.13165500428941515,20155642915.973587,95.0,2.7589689555921053,0.2555440986671563,-0.5641756278625379,1.0,1.138065415687709,80.0,2.5,10.0,coarse_b80_w2.5_k10
0.13184339099486606,0.13792567740559392,12.65696553550714,0.0,95.0,0.10910175244013469,20144596838.33745,95.0,3.0137027138157895,0.22607137175840258,-0.5702994889797488,1.0,1.1397276835807582,55.0,2.5,10.0,coarse_b55_w2.5_k10
0.13252809076103786,0.13932919009868255,12.722696713059634,0.0,95.0,0.11926230457093981,20151044586.71742,95.0,3.139787212171053,0.2362219090200714,-0.5612351478391638,1.0,1.1463671366795851,80.0,2.5,14.0,coarse_b80_w2.5_k14
0.16390476795619927,0.170949056879708,15.73485772379513,0.0,95.0,0.1951404611269633,20200296482.47719,95.0,8.194834498355263,0.2194776051430803,-0.5905308530949677,1.0,1.4147880280555292,15.0,1.5,6.0,coarse_b15_w1.5_k6
0.16954861181825956,0.17643432817087049,16.27666673455292,0.0,95.0,0.16933149761623806,20124002480.73826,95.0,4.91559416118421,0.19954702630902194,-0.6120775192071374,1.0,1.4609958973517123,15.0,1.5,10.0,coarse_b15_w1.5_k10
0.1703587718483822,0.17758277765896308,16.35444209744469,0.0,95.0,0.17179314295450845,20123988106.94595,95.0,18.640347450657895,0.1947656024675836,-0.5847226809932384,1.0,1.4681177734015445,8.0,1.5,14.0,coarse_b8_w1.5_k14
0.17107772574167215,0.1777355694436768,16.423461671200528,0.0,95.0,0.16916239261627197,20124589469.014008,95.0,2.4963301809210527,0.215027216631147,-0.6138673404795584,1.0,1.473763936150779,25.0,1.5,6.0,coarse_b25_w1.5_k6
0.17143274213580106,0.17813582545205256,16.457543245036902,0.0,95.0,0.1716782980495029,20116569736.54859,95.0,2.463656455592105,0.20886581593996476,-0.604667986634296,1.0,1.4769051394320705,25.0,1.5,10.0,coarse_b25_w1.5_k10
0.17174055461735094,0.17900386477976044,16.48709324326569,0.0,95.0,0.17283256186379325,20105465649.49199,95.0,5.7353361430921055,0.19637854651384445,-0.6111188255814058,1.0,1.4798378252653295,8.0,1.5,18.0,coarse_b8_w1.5_k18
0.17180172147265912,0.1788423497852248,16.492965261375275,0.0,95.0,0.17312300867504543,20111625509.963913,95.0,3.775817228618421,0.1993682656456388,-0.6062169537379095,1.0,1.480256643271218,15.0,1.5,14.0,coarse_b15_w1.5_k14
0.1729259409345687,0.18011007466297416,16.600890329718595,0.0,95.0,0.17082717021306357,20107612607.959,95.0,3.541956208881579,0.2011999367724072,-0.6052045641596429,1.0,1.4896907741199366,15.0,1.5,18.0,coarse_b15_w1.5_k18
0.17295777839463491,0.1802743123775919,16.603946725884953,0.0,95.0,0.17108703984154594,20100234056.60499,95.0,4.279106702302632,0.19978612156926046,-0.6080802218956717,1.0,1.4900383575169946,8.0,1.5,24.0,coarse_b8_w1.5_k24
0.17371224464092686,0.1809807139917809,16.67637548552898,0.0,95.0,0.1702545682589213,20103835903.458374,95.0,3.4821134868421053,0.20277678592848014,-0.6010132121777473,1.0,1.4963328520780532,15.0,1.5,24.0,coarse_b15_w1.5_k24
0.1741679765733147,0.18118403263406496,16.72012575103821,0.0,95.0,0.17106688022613525,20111109521.8199,95.0,2.2741416529605263,0.2081986938952059,-0.6064029303125261,1.0,1.5000890812213916,25.0,1.5,14.0,coarse_b25_w1.5_k14
0.17455145663322882,0.18171265371593115,16.756939836789968,0.0,95.0,0.16973627275890774,20107146266.312393,95.0,2.062474300986842,0.2076728137283619,-0.6146574963948845,1.0,1.5033278582640823,25.0,1.5,18.0,coarse_b25_w1.5_k18
0.17486799486258478,0.18212314388298637,16.78732750680814,0.0,95.0,0.16938914193047416,20106245283.091583,95.0,2.7682360197368423,0.20797634594066652,-0.5984134508128123,1.0,1.506025894964981,25.0,1.5,24.0,coarse_b25_w1.5_k24
