mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,axis,search_factor
0.03450677005472251,0.04773630772212639,4.968974887880041,0.12337681744247675,143.0,0.10659219172105493,30128917323.312412,143.0,0.4437520487325175,0.10803398093730002,-0.3437411868968293,1.0,3012891747.7021084,283.36,1.1960000000000002,6.793846153846154,y,local_refine
0.03306223229493052,0.04569976984496936,4.7609614504699955,0.11758237425237894,143.0,0.10129759427945828,30128412464.526947,143.0,0.41177474868881114,0.10250578291009982,-0.34191222356786155,1.0,3012841261.777254,283.36,1.1960000000000002,7.384615384615384,y,local_refine
0.03509512157281741,0.05039679279798847,5.053697506485708,0.14282611850649118,143.0,0.11977201867037884,30128372899.52298,143.0,0.41213498415646854,0.11294667916706375,-0.34544414256244715,1.0,3012837305.3398557,283.36,1.1960000000000002,7.975384615384615,y,local_refine
0.03236497214611651,0.044956757177575024,4.660555989040777,0.12006810400635004,143.0,0.1013079060160505,30128247467.56674,143.0,0.41208205856643354,0.10170118776035825,-0.342213887316083,1.0,3012824762.060924,283.36,1.3,6.793846153846154,y,local_refine
0.03860511780271284,0.05640899455085244,5.55913696359065,0.15243346709758043,143.0,0.13461078045345076,30128952193.696323,143.0,0.38298834954108396,0.11636725219114169,-0.3501219171676694,1.0,3012895234.8596935,283.36,1.3,7.384615384615384,y,local_refine
0.03893369227819796,0.056943985135098796,5.606451688060506,0.1573156462982297,143.0,0.13609512263896512,30128238551.98503,143.0,0.36534705528846156,0.11769918579758404,-0.35079512187891976,1.0,3012823870.6966734,283.36,1.3,7.975384615384615,y,local_refine
0.04199024143971365,0.0629255502791029,6.046594767318766,0.1660693669691682,143.0,0.14882464181885421,30129465770.321083,143.0,0.5203114756337412,0.12227128925427924,-0.3550648169835072,1.0,3012946592.637806,283.36,1.4040000000000001,6.793846153846154,y,local_refine
0.044581396525551834,0.06823096205565383,6.419721099679464,0.1916571417823434,143.0,0.16746911599953557,30128756669.460518,143.0,0.452689644340035,0.13170523350238597,-0.35919020712829663,1.0,3012875682.6242666,283.36,1.4040000000000001,7.384615384615384,y,local_refine
0.04447188306477972,0.06728359905104637,6.40395116132828,0.17938964162021875,143.0,0.16046530627500033,30129530062.792473,143.0,0.5431275267701049,0.12806002174103573,-0.3583083095754057,1.0,3012953021.9619694,283.36,1.4040000000000001,7.975384615384615,y,local_refine
0.03897560237744134,0.05192086770685936,5.612486742351553,0.13564470503479242,143.0,0.10189982923267443,30128337446.593468,143.0,0.4796065750655595,0.13221279038876377,-0.3500535301811847,1.0,3012833760.1632624,308.0,1.1960000000000002,6.793846153846154,y,local_refine
