time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,x_b0,x_omega_c,x_k,y_b0,y_omega_c,y_k,z_b0,z_omega_c,z_k
5.416666666666666,z,gym_env,0.0,0.0,1.117112159729004,0.0,0.0,-0.0002785565156955272,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.99609375,14468.99609375,14468.99609375,14468.99609375,-0.00015824596618767829,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.4375,z,gym_env,0.0,0.0,1.117106556892395,0.0,0.0,-0.0002623298787511885,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.9638671875,14468.9638671875,14468.9638671875,14468.9638671875,-0.00014914267681306228,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.458333333333333,z,gym_env,0.0,0.0,1.1171013116836548,0.0,0.0,-0.00024702600785531104,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.9306640625,14468.9306640625,14468.9306640625,14468.9306640625,-0.00014276398507063277,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.479166666666666,z,gym_env,0.0,0.0,1.1170963048934937,0.0,0.0,-0.00023267166397999972,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.9033203125,14468.9033203125,14468.9033203125,14468.9033203125,-0.00013139168809866533,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.5,z,gym_env,0.0,0.0,1.1170916557312012,0.0,0.0,-0.00021910076611675322,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.875,14468.875,14468.875,14468.875,-0.00012584811039851047,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.520833333333333,z,gym_env,0.0,0.0,1.1170872449874878,0.0,0.0,-0.00020634020620491356,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.8486328125,14468.8486328125,14468.8486328125,14468.8486328125,-0.00011831238534650766,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.541666666666666,z,gym_env,0.0,0.0,1.1170830726623535,0.0,0.0,-0.0001943342067534104,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.8251953125,14468.8251953125,14468.8251953125,14468.8251953125,-0.00011033451866824181,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.5625,z,gym_env,0.0,0.0,1.1170791387557983,0.0,0.0,-0.00018299947259947658,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.802734375,14468.802734375,14468.802734375,14468.802734375,-0.00010425404103589244,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.583333333333333,z,gym_env,0.0,0.0,1.1170754432678223,0.0,0.0,-0.00017230787489097565,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.78125,14468.78125,14468.78125,14468.78125,-9.850424403557554e-05,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
5.604166666666666,z,gym_env,0.0,0.0,1.1170719861984253,0.0,0.0,-0.00016223135753534734,0.0,-0.0,0.0,0.0,0.0,1.11701500415802,0.0,0.0,0.0,14468.7607421875,14468.7607421875,14468.7607421875,14468.7607421875,-9.308091270504519e-05,220.0,1.1,8.727272727272727,220.0,1.3,7.384615384615384,300.0,15.0,7.333333333333333
