seed,controller,rmse,mae,velocity_rmse,reward,backend
7,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
7,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
7,DDPG-LADRC (v=1),1.5934251328108693,1.4792036540423577,1.1557416724857732,-1.6186421115671243,gym_env
8,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
8,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
8,DDPG-LADRC (v=1),2.073519851548226,1.9392139332822327,1.2169466750236901,-2.093172649095733,gym_env
9,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
9,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
9,DDPG-LADRC (v=1),1.6746057888266517,1.557968996737739,1.1554467697210293,-1.6962351496643007,gym_env
10,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
10,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
10,DDPG-LADRC (v=1),1.6385620457042849,1.5230680776333885,1.145208273014169,-1.6600085989293107,gym_env
11,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
11,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
11,DDPG-LADRC (v=1),1.5939008400979138,1.4796693743085916,1.1534210755272476,-1.6185718414913848,gym_env
12,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
12,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
12,DDPG-LADRC (v=1),1.6425163507258356,1.526900072363155,1.157476899770451,-1.6658993376802989,gym_env
13,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
13,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
13,DDPG-LADRC (v=1),1.614751927673761,1.4999427836843167,1.1520413310250104,-1.6406874908204456,gym_env
14,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
14,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
14,DDPG-LADRC (v=1),1.6668449468067414,1.5505131588937,1.1509345984000816,-1.687852626409378,gym_env
15,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
15,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
15,DDPG-LADRC (v=1),1.5897292420832887,1.4756059302118945,1.1522554294411378,-1.6144498681367772,gym_env
16,PID,0.0581679855540342,0.038969181332404755,0.24970742060378923,-0.07400978662857213,gym_env
16,LADRC(0.5-opt),0.0584265301676926,0.05103564097217775,0.21482284011168293,-0.07496723223611657,gym_env
16,DDPG-LADRC (v=1),1.2998917882894616,1.1886628033662572,1.2110072785521508,-1.3407889532187607,gym_env
