mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,axis,search_factor
0.037626743936635315,0.04874388466993803,5.418251126875486,0.013650762848556042,122.0,0.012675538055191282,30127194805.67272,122.0,0.4665971235795454,0.08235083657794784,-0.34829183191586716,1.0,3012719493.916544,161.92000000000002,1.0120000000000002,6.824727272727272,x,local_refine
0.036854916127607766,0.04773596063678423,5.307107922375518,0.013183165341615677,120.5,0.012940703619928433,30126898649.600452,120.5,0.4601658107517482,0.07989878956660493,-0.34723801703962887,1.0,3012689878.1361322,161.92000000000002,1.0120000000000002,7.418181818181817,x,local_refine
0.038715324203414093,0.04887184176705132,5.57500668529163,0.0,124.0,0.02383265031780216,30126767834.48423,124.0,0.5446982217001748,0.06832935270606329,-0.34812222313045116,1.0,3012676797.0385747,161.92000000000002,1.0120000000000002,8.011636363636363,x,local_refine
0.033088774818087106,0.04347921452359123,4.764783573804543,0.10438870545476675,143.0,0.07585733391065982,30127892033.61398,143.0,0.4964352054195804,0.10989365940411977,-0.3493507658748892,1.0,3012789218.6905947,161.92000000000002,1.1,6.824727272727272,x,local_refine
0.037592818097889696,0.05067870750157004,5.413365806096117,0.1414164388552308,143.0,0.10934556389215036,30128483729.812767,143.0,0.5636233883304196,0.12970540443370326,-0.3557847148138241,1.0,3012848388.454452,161.92000000000002,1.1,7.418181818181817,x,local_refine
0.03949714648000259,0.05451141671715673,5.687589093120373,0.1518462272360921,143.0,0.12515303872247127,30129453162.998234,143.0,0.5680725524475525,0.1315800017872299,-0.35801728676931366,1.0,3012945331.8320007,161.92000000000002,1.1,8.011636363636363,x,local_refine
0.03617579158518902,0.05234529723846035,5.209313988267219,0.13901246059685946,143.0,0.1223525727618835,30129515810.497475,143.0,0.43989530976835667,0.10817978660591088,-0.35114946512430906,1.0,3012951596.4722733,161.92000000000002,1.1880000000000002,6.824727272727272,x,local_refine
0.04419838678661042,0.06711225349586382,6.364567697271902,0.1835890645161271,143.0,0.16304794466642697,30129126833.10856,143.0,0.4853959517045454,0.12891497521811646,-0.36173169432889873,1.0,3012912698.9802556,161.92000000000002,1.1880000000000002,7.418181818181817,x,local_refine
0.0533287357235709,0.08377875153566462,7.679337944194209,0.22871760372072458,143.0,0.20523673382974394,30130878195.12534,143.0,0.6977846372377622,0.15173453501758644,-0.3734775576954552,1.0,3013087835.478288,161.92000000000002,1.1880000000000002,8.011636363636363,x,local_refine
0.03933898532977769,0.05034045556257734,5.664813887487988,0.032485365867614746,138.0,0.047347233342796766,30128675035.85699,138.0,0.5366432883522727,0.08865143030803153,-0.3499245370263674,1.0,3012867518.5970473,176.0,1.0120000000000002,6.824727272727272,x,local_refine
0.042803656598850055,0.054534639278547646,6.163726550234408,0.05468466132879257,143.0,0.07813429504312808,30127347577.95137,143.0,0.4935447852928322,0.08585970208818355,-0.3536024094567039,1.0,3012734773.4080443,176.0,1.0120000000000002,7.418181818181817,x,local_refine
0.041974540470343616,0.05326516312552436,6.044333827729481,0.04692678339779377,143.0,0.07309246480144793,30128075907.873386,143.0,0.5414185423951049,0.08189411543800645,-0.3521147397356703,1.0,3012807606.379954,176.0,1.0120000000000002,8.011636363636363,x,local_refine
0.038823128792681016,0.049208639079258196,5.590530546146066,0.05326294153928757,135.0,0.05302438131080375,30127191221.208046,135.0,0.4928738253933566,0.09426426796398776,-0.35041485039197223,1.0,3012719136.813375,176.0,1.1,6.824727272727272,x,local_refine
0.03801979764648114,0.04809301714907667,5.474850861093284,0.04947041533887386,134.5,0.04900807579126974,30127148741.08481,134.5,0.5298056435751748,0.091233364228452,-0.3492564839246688,1.0,3012714888.7306156,176.0,1.1,7.418181818181817,x,local_refine
0.03595657870803855,0.04621570912671641,5.1777473339575515,0.014427843037992716,119.0,0.01664235931301456,30126765901.511353,119.0,0.5011097301136364,0.07570057266025358,-0.34585038540952184,1.0,3012676603.1554675,176.0,1.1,8.011636363636363,x,local_refine
0.03548333098608368,0.049632177176302285,5.10959966199605,0.12996911723166704,143.0,0.11198542753222032,30128796797.424347,143.0,0.4800316870629371,0.11043796470781975,-0.35231121320579617,1.0,3012879695.1465273,176.0,1.1880000000000002,6.824727272727272,x,local_refine
0.030858513122097038,0.041158286181627673,4.443625889581973,0.09012334700673819,112.0,0.07016030223894631,30128191876.12243,112.0,0.5810683457167832,0.09866690339091735,-0.3457418715348868,1.0,3012819199.7840047,176.0,1.1880000000000002,7.418181818181817,x,local_refine
0.0322219161043342,0.04264398185851223,4.639955919024125,0.11110085714608431,143.0,0.0837365068946383,30127760182.49974,143.0,0.48576984538898604,0.10769507921220389,-0.3480836370979927,1.0,3012776033.5540285,176.0,1.1880000000000002,8.011636363636363,x,local_refine
0.03995932660701852,0.05039371840310369,5.754143031410667,0.010920761153101921,128.5,0.03221199760758152,30127150900.29079,128.5,0.4902224240603147,0.07113261878480276,-0.3481923651645338,1.0,3012715104.1014,190.08,1.0120000000000002,6.824727272727272,x,local_refine
0.03847675802200172,0.04852899073915323,5.540653155168247,0.03547840565443039,137.0,0.038912097369445425,30127391347.510178,137.0,0.4986205201048951,0.08687074951134885,-0.34808193003208604,1.0,3012739149.6318326,190.08,1.0120000000000002,7.418181818181817,x,local_refine
0.0394547175400443,0.049381471236676154,5.681479325766379,0.03638762608170509,141.5,0.048987876801610195,30127361317.136444,141.5,0.5525260871940559,0.08174740415488572,-0.3484635431488597,1.0,3012736147.0798244,190.08,1.0120000000000002,8.011636363636363,x,local_refine
0.037899762925928414,0.04790627074757449,5.457565861333691,0.03531932458281517,139.0,0.05082012690815775,30127336828.92202,139.0,0.4627711156031469,0.07835228742252554,-0.3477651837518322,1.0,3012733697.954383,190.08,1.1,6.824727272727272,x,local_refine
