episode,reward,average_reward,exploration_noise,actor_loss,critic_loss
1.0,-485.5683661460013,-485.5683661460013,0.15,0.15278209745883942,81.1033706665039
2.0,-440.0610807528079,-462.8147234494046,0.13999999999999999,0.37783724069595337,65.33586120605469
3.0,-447.6431173046792,-457.7575214011628,0.13,0.6041079163551331,68.70423889160156
4.0,-538.6327833216799,-477.97633688129207,0.12,0.8425801396369934,71.3924560546875
5.0,-490.840377963685,-480.54914509777063,0.11,1.0623178482055664,72.86770629882812
6.0,-530.4269411895316,-488.86211111306415,0.1,1.3183637857437134,70.45462036132812
7.0,-492.4557639122155,-489.37549008437145,0.1,1.6455636024475098,65.42896270751953
8.0,-447.38525133155946,-484.12671024027,0.1,1.8638728857040405,56.304752349853516
9.0,-448.05266081542925,-480.1184825263988,0.1,2.1813950538635254,57.30998992919922
10.0,-419.30376942253747,-474.03701121601273,0.1,2.4580681324005127,48.97981643676758
11.0,-444.69952071761094,-471.3699666252489,0.1,2.720205783843994,40.65781021118164
12.0,-446.93575625344045,-469.3337824275982,0.1,3.081651449203491,34.046878814697266
13.0,-510.47190892353177,-472.49825369651614,0.1,3.457738161087036,33.72031784057617
14.0,-460.2258387836427,-471.6216526313109,0.1,3.9495973587036133,33.097530364990234
15.0,-429.9018311215194,-468.8403311973248,0.08666666666666667,4.164839267730713,23.57648468017578
16.0,-434.98070222520863,-466.72410438656755,0.07333333333333333,4.693865776062012,24.03203773498535
17.0,-458.8073859352297,-466.25841506590064,0.060000000000000005,5.179789066314697,19.789859771728516
18.0,-466.2667649508056,-466.25887894839536,0.046666666666666676,5.626150608062744,17.73391342163086
19.0,-433.0902016470503,-464.5131590904298,0.03333333333333334,6.086389541625977,15.638235092163086
20.0,-450.13232536050987,-463.7941174039338,0.020000000000000004,6.655129432678223,13.971000671386719
