time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r
0.0,x,gym_env,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.4000000059604645,0.0,0.0,14038.8291015625,14898.029296875,14898.029296875,14038.8291015625,-8.194711701645968,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.020833333333333332,x,gym_env,1.393427965012961e-06,-2.2894487798747387e-22,1.0000022649765015,0.00022294015798252076,-4.3957043372967054e-20,0.00017966001178137958,2.1512492394521185e-18,0.008181506767868996,1.0172525001509352e-20,0.008333333767950535,0.0,1.0,0.4000000059604645,0.0,0.0,14054.6767578125,14913.876953125,14913.876953125,14054.6767578125,-0.08057885566949845,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.041666666666666664,x,gym_env,3.069753074669279e-05,-7.613536763412858e-21,1.0000137090682983,0.00267938245087862,-6.825412065092889e-19,0.000789470155723393,6.1869333739470166e-18,0.02999180555343628,1.1681332165609338e-19,0.01666666753590107,0.0,1.0,0.4000000059604645,0.0,0.0,14094.837890625,14954.0380859375,14954.0380859375,14094.837890625,-0.10709634870290757,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.0625,x,gym_env,0.00016974078607745469,-3.819967890149045e-20,1.0000507831573486,0.010196556337177753,-2.0654060898425904e-18,0.0024064830504357815,9.15819632632985e-18,0.0654257982969284,3.908783823482512e-19,0.02500000037252903,0.0,1.0,0.4000000059604645,0.0,0.0,14366.5166015625,14783.876953125,14783.876953125,14366.5166015625,-0.2573473758041859,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.08333333333333333,x,gym_env,0.0005590963992290199,-1.0490123582638501e-19,1.0001330375671387,0.025529764592647552,-4.010414800757169e-18,0.0048861028626561165,1.188826788775294e-17,0.1102442666888237,8.544293894965964e-19,0.03333333507180214,0.0,1.0,0.4000000059604645,0.0,0.0,15047.40234375,14188.2021484375,14188.2021484375,15047.40234375,-0.5950459912598133,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.10416666666666666,x,gym_env,0.0013842213666066527,-2.1881783560080304e-19,1.0002732276916504,0.050182271748781204,-6.475677310370902e-18,0.007816937752068043,1.16815265013545e-17,0.149349182844162,1.3342121359556755e-18,0.0416666679084301,0.0,1.0,0.4000000059604645,0.0,0.0,15052.4453125,14193.2451171875,14193.2451171875,15052.4453125,-0.09052857344150544,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.125,x,gym_env,0.0028215907514095306,-3.828077620573303e-19,1.0004632472991943,0.08233918249607086,-8.740779482539666e-18,0.009862524457275867,1.0921598981324483e-17,0.1745966225862503,1.6245683507910032e-18,0.05000000074505806,0.0,1.0,0.4000000059604645,0.0,0.0,15031.2421875,14172.0419921875,14172.0419921875,15031.2421875,-0.10412487917542458,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.14583333333333331,x,gym_env,0.004989809822291136,-5.927097538775481e-19,1.0006780624389648,0.11898541450500488,-1.100126970920314e-17,0.010540449060499668,1.2291197490294871e-17,0.18603751063346863,1.7644082998243445e-18,0.05833333358168602,0.0,1.0,0.4000000059604645,0.0,0.0,14142.5087890625,15001.708984375,15001.708984375,14142.5087890625,-0.7740951164782047,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.16666666666666666,x,gym_env,0.00794881023466587,-8.525304930029043e-19,1.0008913278579712,0.1576637476682663,-1.34580598213928e-17,0.009981590323150158,1.205790112469164e-17,0.20020146667957306,1.9499736557462748e-18,0.06666667014360428,0.0,1.0,0.4000000059604645,0.0,0.0,14982.4609375,14123.26171875,14123.26171875,14982.4609375,-0.7724022974133492,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
0.1875,x,gym_env,0.011747252196073532,-1.1620088488537736e-18,1.0010793209075928,0.1991792470216751,-1.5710906072015672e-17,0.008293869905173779,8.591317044838072e-18,0.21160636842250824,2.092425944551635e-18,0.07500000298023224,0.0,1.0,0.4000000059604645,0.0,0.0,14967.4755859375,14108.275390625,14108.275390625,14967.4755859375,-0.09420695827007293,0.0,0.0,0.0,30.5,1.5,11.0,10.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0
