episode,reward,average_reward,exploration_noise,actor_loss,critic_loss
1.0,-18.946437056176364,-18.946437056176364,0.15,0.2441345602273941,0.010102702304720879
2.0,-19.95617258782149,-19.451304821998928,0.1494949494949495,0.16436415910720825,0.019711796194314957
3.0,-20.190181527100503,-19.697597057032784,0.14898989898989898,0.06266006827354431,0.007219881284981966
4.0,-19.346515222685415,-19.60982659844594,0.14848484848484847,0.032956283539533615,0.0077447849325835705
5.0,-19.768272016104312,-19.641515681977616,0.14797979797979796,0.05497274547815323,0.009269297122955322
6.0,-19.43589408975095,-19.607245416606503,0.14747474747474748,0.10849501192569733,0.006473634857684374
7.0,-19.82047079075128,-19.63770618434147,0.14696969696969697,0.15612779557704926,0.003923008684068918
8.0,-19.42980313207954,-19.611718302808733,0.14646464646464646,0.18709440529346466,0.004774735774844885
9.0,-19.969689418561757,-19.651492871225734,0.14595959595959596,0.17295312881469727,0.007704320829361677
10.0,-19.698046351037917,-19.656148219206955,0.14545454545454545,0.1366066038608551,0.00590023398399353
11.0,-19.752999126334906,-19.66495284712768,0.14494949494949494,0.08931411802768707,0.003920870833098888
12.0,-19.73428736636415,-19.670730723730717,0.14444444444444443,0.0642612874507904,0.003638399066403508
13.0,-19.60267221145332,-19.665495453555533,0.14393939393939392,0.05534255504608154,0.005753075238317251
14.0,-19.476468570902945,-19.651993533366063,0.14343434343434344,0.06569105386734009,0.004258445929735899
15.0,-20.130552412569525,-19.683897458646292,0.14292929292929293,0.09362871944904327,0.004543839953839779
16.0,-19.28592561427504,-19.659024218373087,0.14242424242424243,0.11369919776916504,0.003105797339230776
17.0,-19.996138297959988,-19.678854458348788,0.14191919191919192,0.14264331758022308,0.0031544030643999577
18.0,-20.583349151909353,-19.729104163546598,0.1414141414141414,0.14218784868717194,0.004431856796145439
19.0,-19.71563931107521,-19.728395487100737,0.1409090909090909,0.12918613851070404,0.004645984619855881
20.0,-19.827268476679457,-19.733339136579673,0.1404040404040404,0.12021275609731674,0.003444490022957325
21.0,-20.19954505143687,-19.75553941823954,0.13989898989898988,0.11319436132907867,0.003056807443499565
22.0,-19.58301829146221,-19.74769754884057,0.1393939393939394,0.09331925958395004,0.0032834350131452084
23.0,-20.013056869897994,-19.759234910625675,0.1388888888888889,0.0901363268494606,0.002419339958578348
24.0,-20.102306751906873,-19.773529570679056,0.1383838383838384,0.09213807433843613,0.0032719261944293976
25.0,-19.76764321932569,-19.77329411662492,0.13787878787878788,0.0922594740986824,0.00279914028942585
26.0,-19.819799922779204,-19.77508280147701,0.13737373737373737,0.09247492253780365,0.003125980030745268
27.0,-20.081901564216246,-19.786446459356238,0.13686868686868686,0.10499228537082672,0.0030362182296812534
28.0,-20.101728255022316,-19.797706523487168,0.13636363636363635,0.1161806657910347,0.002750809071585536
29.0,-19.459161985153333,-19.78603257388945,0.13585858585858585,0.12444910407066345,0.0032728109508752823
30.0,-19.811501812329517,-19.78688154850412,0.13535353535353534,0.12361140549182892,0.00276785995811224
31.0,-20.021151341567748,-19.794438638602944,0.13484848484848486,0.11630132794380188,0.003173000179231167
32.0,-19.589475047402086,-19.788033526377923,0.13434343434343435,0.11401310563087463,0.002725194673985243
33.0,-19.59230972644873,-19.782102502137647,0.13383838383838384,0.11502868682146072,0.0018961799796670675
34.0,-19.61373333092779,-19.777150467690294,0.13333333333333333,0.11014822870492935,0.003871802007779479
35.0,-20.039664554037152,-19.78465087015735,0.13282828282828282,0.10414345562458038,0.002947597997263074
36.0,-19.832824306329712,-19.785989021162138,0.13232323232323231,0.10082336515188217,0.0028894771821796894
37.0,-19.576730663492345,-19.78033338987376,0.1318181818181818,0.1133650690317154,0.0025609759613871574
38.0,-20.083643155172467,-19.788315225802677,0.13131313131313133,0.11765627562999725,0.0027650233823806047
