mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,b0,omega_c,k,score
0.04210154459491274,0.055266524550393416,2.5260926756947644,0.035932305036112666,48.5,0.019897738597743835,1340041978.6500413,48.5,33.647657491393005,0.3158229818073822,-0.1565390838961192,168.3,0.95,6.784615,134004206.60731636
0.042101500648793345,0.055266489685841164,2.5260900389276006,0.035931508522480726,48.5,0.01989733541267924,1340041981.4350524,48.5,33.647665767346396,0.3158222619928099,-0.15652779248407722,168.3,0.95,6.984615,134004206.8858177
0.042101468153057944,0.0552664296109599,2.5260880891834763,0.035926579497754574,48.5,0.019896024498545252,1340042349.568492,48.5,33.64817266949153,0.31583658289659144,-0.15681350505362607,168.3,0.95,7.184615,134004243.69921175
0.042103340230816175,0.05526912386938043,2.5262004138489704,0.035924946423619986,48.5,0.019893081713235006,1340042037.1533287,48.5,33.64765335341632,0.3158218011601671,-0.15656366120505494,168.3,1.3,6.784615,134004212.45766644
0.04210333253596875,0.05526911248755127,2.526199952158125,0.03592497389763594,48.5,0.01989310045610182,1340042039.4104853,48.5,33.647657491393005,0.3158218092937846,-0.15656367836398477,168.3,1.3,6.984615,134004212.68338242
0.04210331210975064,0.055269102721565724,2.5261987265850383,0.035925258649513125,48.5,0.01989300146427316,1340042030.8945327,48.5,33.64763473252118,0.31582279448817663,-0.1565667055396831,168.3,1.3,7.184615,134004211.83178464
0.04210587423524564,0.05527247024221379,2.526352454114738,0.035916871624067426,48.5,0.01988815645260426,1340042135.1697545,48.5,33.64760369769597,0.3158398167947531,-0.15612489840779206,168.3,1.65,6.784615,134004222.2593349
0.04210586604381209,0.055272458135548666,2.526351962628725,0.03591690119355917,48.5,0.019888176437234506,1340042134.6110387,48.5,33.647601628707626,0.3158398259960645,-0.15612490728553977,168.3,1.65,6.984615,134004222.20346302
0.04210584851743612,0.055272447761932686,2.5263509110461673,0.03591715916991234,48.5,0.019888109808865313,1340042154.4798102,48.5,33.64758714578919,0.31584093743526853,-0.15612728126137382,168.3,1.65,7.184615,134004224.19033849
0.042101734841309274,0.05526639401462016,2.5261040904785563,0.03593250806443393,48.5,0.019898149505024776,1340042597.863558,48.5,33.64840025820975,0.31584358292601666,-0.1563311529473702,187.0,0.95,6.784615,134004268.52874461
