controller,rmse,mae,velocity_rmse,reward,disturbance_abs_mean
PID,0.062070849854467515,0.041972681561519364,0.2554569968288404,-0.04325211051012575,0.00019268607756010059
LADRC(0.5-opt),0.05800738690441423,0.0505992468213291,0.2172130274072904,-0.04244448596992614,0.00019268607756010059
"DDPG-LADRC (v=2, 0.004N, pos-only, multiseed, normfix, 300eps)",0.05406123128170396,0.046738407812547754,0.2334141718614815,-0.03871740170194759,0.00019268607756010059
