step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.699999988079071,0.0,0.0
1.0,0.014583333395421505,0.0,1.0,0.699999988079071,0.0,0.0
2.0,0.02916666679084301,0.0,1.0,0.699999988079071,0.0,0.0
3.0,0.04374999925494194,0.0,1.0,0.699999988079071,0.0,0.0
4.0,0.05833333358168602,0.0,1.0,0.699999988079071,0.0,0.0
5.0,0.0729166641831398,0.0,1.0,0.699999988079071,0.0,0.0
6.0,0.08749999850988388,0.0,1.0,0.699999988079071,0.0,0.0
7.0,0.10208333283662796,0.0,1.0,0.699999988079071,0.0,0.0
8.0,0.11666666716337204,0.0,1.0,0.699999988079071,0.0,0.0
9.0,0.13124999403953552,0.0,1.0,0.699999988079071,0.0,0.0
10.0,0.1458333283662796,0.0,1.0,0.699999988079071,0.0,0.0
11.0,0.16041666269302368,0.0,1.0,0.699999988079071,0.0,0.0
12.0,0.17499999701976776,0.0,1.0,0.699999988079071,0.0,0.0
13.0,0.18958333134651184,0.0,1.0,0.699999988079071,0.0,0.0
14.0,0.20416666567325592,0.0,1.0,0.699999988079071,0.0,0.0
15.0,0.21875,0.0,1.0,0.699999988079071,0.0,0.0
16.0,0.23333333432674408,0.0,1.0,0.699999988079071,0.0,0.0
17.0,0.24791666865348816,0.0,1.0,0.699999988079071,0.0,0.0
18.0,0.26249998807907104,0.0,1.0,0.699999988079071,0.0,0.0
19.0,0.2770833373069763,0.0,1.0,0.699999988079071,0.0,0.0
20.0,0.2916666567325592,0.0,1.0,0.699999988079071,0.0,0.0
21.0,0.3062500059604645,0.0,1.0,0.699999988079071,0.0,0.0
22.0,0.32083332538604736,0.0,1.0,0.699999988079071,0.0,0.0
23.0,0.33541667461395264,0.0,1.0,0.699999988079071,0.0,0.0
24.0,0.3499999940395355,0.0,1.0,0.699999988079071,0.0,0.0
25.0,0.3645833134651184,0.0,1.0,0.699999988079071,0.0,0.0
26.0,0.3791666626930237,0.0,1.0,0.699999988079071,0.0,0.0
27.0,0.39374998211860657,0.0,1.0,0.699999988079071,0.0,0.0
28.0,0.40833333134651184,0.0,1.0,0.699999988079071,0.0,0.0
29.0,0.4229166507720947,0.0,1.0,0.699999988079071,0.0,0.0
30.0,0.4375,0.0,1.0,0.699999988079071,0.0,0.0
31.0,0.4520833194255829,0.0,1.0,0.699999988079071,0.0,0.0
32.0,0.46666666865348816,0.0,1.0,0.699999988079071,0.0,0.0
33.0,0.48124998807907104,0.0,1.0,0.699999988079071,0.0,0.0
34.0,0.4958333373069763,0.0,1.0,0.699999988079071,0.0,0.0
35.0,0.5104166865348816,0.0,1.0,0.699999988079071,0.0,0.0
36.0,0.5249999761581421,0.0,1.0,0.699999988079071,0.0,0.0
37.0,0.5395833253860474,0.0,1.0,0.699999988079071,0.0,0.0
38.0,0.5541666746139526,0.0,1.0,0.699999988079071,0.0,0.0
39.0,0.5687499642372131,0.0,1.0,0.699999988079071,0.0,0.0
