mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,name,b0,omega_c,omega_o,k,score
0.12779403480769957,0.1319917248290493,12.26822734153916,0.0,95.0,0.1169949041472541,20226196542.922897,95.0,119.87339638157894,0.20010944485725185,-0.46323544107583975,gym_env,0.39926276728510857,0.0,0.5603501796722412,0.0,0.0,0.0,refine_coarse_b24_wc6.6_wo31.68_b0.90_wc1.12_wo0.93,21.6,7.392,29.462400000000002,3.9857142857142858,0.14229758457573918
0.12013201459810101,0.1254955398456403,11.532673401417696,0.0,95.0,0.08591807550854152,20539598382.677605,95.0,65.0588044819079,0.25182665885663347,-0.530442492721773,gym_env,0.6054945923388004,0.0,0.5316791534423828,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b0.90_wc1.06_wo0.85,26.775000000000002,7.95,15.299999999999999,1.9245283018867922,0.1441035095760941
0.11775841474928701,0.12346263492106918,11.304807815931554,0.0,95.0,0.07361745172076756,20566850813.84394,95.0,93.62882915296052,0.26766724745868353,-0.5258571142456651,gym_env,0.3789989077486098,0.0,0.6482333540916443,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b0.90_wc1.06_wo0.93,26.775000000000002,7.95,16.740000000000002,2.105660377358491,0.14440509089089484
0.12129293214333596,0.12640176181606716,11.644121485760252,0.0,95.0,0.09547785255644056,20491095288.889107,95.0,55.68017578125,0.24665079421008923,-0.5231996442788125,gym_env,0.6302409060299397,0.0,0.4475786089897156,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b0.97_wc1.06_wo0.93,28.857499999999998,7.95,16.740000000000002,2.105660377358491,0.14465308556512937
0.1199838471386722,0.12519905671350623,11.518449325312531,0.0,95.0,0.08811900350782606,20513879973.411865,95.0,74.20467722039474,0.2557149529187543,-0.512135723728547,gym_env,0.4532873434945941,0.0,0.5123371481895447,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b1.00_wc1.06_wo1.08,29.75,7.95,19.44,2.4452830188679244,0.14478677605052634
0.11861794526174425,0.12482127396988534,11.387322745127449,0.0,95.0,0.06775442759195964,20734283348.543186,95.0,91.78714021381579,0.2764169200118178,-0.5238693607040216,gym_env,0.6318939812481403,0.0,0.681192934513092,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b0.97_wc1.06_wo1.00,28.857499999999998,7.95,18.0,2.2641509433962264,0.14642654337973374
0.11363002285537267,0.12072279099669263,10.908482194115777,0.0,91.0,0.05496024423175388,20925676742.883846,91.0,99.05558696546052,0.30375114440163475,-0.5105445896404951,gym_env,0.7978390790522099,0.0,0.7215946316719055,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b0.97_wc1.12_wo0.93,28.857499999999998,8.4,16.740000000000002,1.992857142857143,0.14713019260294952
0.12750416626497696,0.13242692646678914,12.240399961437788,0.0,95.0,0.1101751724878947,20387834758.330864,95.0,45.352842310855266,0.2299435818814264,-0.5299468702023694,gym_env,0.5377146229147911,0.0,0.3622386157512665,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b0.97_wc1.00_wo1.00,28.857499999999998,7.5,18.0,2.4,0.1473136872867861
0.13578281355783162,0.14025235057535845,13.035150101551835,0.0,95.0,0.14446483055750528,20176173462.16344,95.0,46.57131476151316,0.18249115780875053,-0.4870383032405594,gym_env,0.415592223405838,0.0,0.2608068883419037,0.0,0.0,0.0,refine_coarse_b24_wc6.6_wo24_b0.90_wc1.06_wo1.16,21.6,6.9959999999999996,27.839999999999996,3.9794168096054885,0.14738781761278597
0.1201014491097278,0.12590357902102073,11.529739114533868,0.0,95.0,0.08116285668479072,20686110793.957558,95.0,73.28255037006579,0.2709716529973878,-0.5119103467711713,gym_env,0.7609620131552219,0.0,0.6150684356689453,0.0,0.0,0.0,refine_coarse_b29.75_wc7.5_wo18_b1.00_wc1.06_wo1.00,29.75,7.95,18.0,2.2641509433962264,0.14739219116583568
