controller,mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,score
pid_pos_att,0.02391878348996812,0.03926087375944421,2.2962032150369396,0.01129227876663208,26.0,0.009602295027838813,20182421932.715767,26.0,6.8686266447368425,0.18360868099302605,-0.4544030165471397,gym_env,0.5208882614970207,0.0,0.009013008326292038,0.0,0.0,0.0,0.06010921651445482
ladrc_x_pos_pid_att_no_td_baseline,0.14442874699070055,0.14973319491623538,13.865159711107253,0.0,95.0,0.1857716573609246,20296840929.394684,95.0,60.146335320723686,0.20932007365069788,-0.5029219705780502,gym_env,0.5198533907532692,0.0,0.3594890236854553,0.0,0.0,0.0,0.1623871094574175
ladrc_x_pos_pid_att_no_td_retuned,0.12779403480769957,0.1319917248290493,12.26822734153916,0.0,95.0,0.1169949041472541,20226196542.922897,95.0,119.87339638157894,0.20010944485725185,-0.46323544107583975,gym_env,0.39926276728510857,0.0,0.5603501796722412,0.0,0.0,0.0,0.14229758457573918
