mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,backend,end_vx_mean,negative_tail_velocity,max_tail_pitch_abs,tail_rpm_edge_fraction,tail_same_rpm_fraction,unstable_tail,name,b0,omega_c,omega_o,k,score
0.126905555978072,0.1324764884198022,12.182933373894912,0.0,95.0,0.09750711917877197,20544093389.507145,95.0,60.07801192434211,0.25592532991684225,-0.5263349549168875,gym_env,0.669897023588419,0.0,0.4896358549594879,0.0,0.0,0.0,coarse_b29.75_wc7.5_wo18,29.75,7.5,18.0,2.4,0.15089696251047555
0.12667603770207117,0.13249489463531364,12.160899619398833,0.0,95.0,0.09033122989866468,20646942539.45208,95.0,77.43315172697369,0.26866100830548967,-0.5319923597284437,gym_env,0.7061997056007385,0.0,0.6132741570472717,0.0,0.0,0.0,coarse_b35_wc7.5_wo24,35.0,7.5,24.0,3.2,0.15258430766902975
0.14283943740214747,0.147728498988978,13.712585990606158,0.0,95.0,0.1564212573899163,20172814637.641136,95.0,27.451408305921053,0.17922256258435112,-0.536133870485068,gym_env,0.5238013230264187,0.0,0.129219189286232,0.0,0.0,0.0,coarse_b24_wc6.6_wo31.68,24.0,6.6,31.68,4.8,0.15321282002259073
0.14225117797208733,0.14721153496219874,13.656113085320385,0.0,95.0,0.15600698524051243,20261507076.073364,95.0,33.11988589638158,0.20658995547540418,-0.5313225780223031,gym_env,0.3098534718155861,0.0,0.20312973856925964,0.0,0.0,0.0,coarse_b35_wc6.6_wo31.68,35.0,6.6,31.68,4.8,0.15771042241862077
0.14363909030462452,0.1487546441059672,13.789352669243954,0.0,95.0,0.1747226119041443,20224955522.081154,95.0,36.88509457236842,0.19289413611435383,-0.5258820301679429,gym_env,0.5278922356665134,0.0,0.2294449508190155,0.0,0.0,0.0,coarse_b24_wc6.6_wo24,24.0,6.6,24.0,3.6363636363636367,0.1578563904070893
0.14193257306011967,0.14701983795209625,13.625527013771489,0.0,95.0,0.15127608511182997,20276900210.810112,95.0,35.612119654605266,0.2119115906254788,-0.5557991258758586,gym_env,0.30477235838770866,0.0,0.24795450270175934,0.0,0.0,0.0,coarse_b29.75_wc6.6_wo24,29.75,6.6,24.0,3.6363636363636367,0.15812514552552803
0.1414839326437208,0.14687882568543056,13.582457533797196,0.0,95.0,0.13101067807939318,20336916492.160934,95.0,43.66389288651316,0.22850638271615595,-0.5339981889153674,gym_env,0.4842769894748926,0.0,0.3713787794113159,0.0,0.0,0.0,coarse_b40_wc6.6_wo31.68,40.0,6.6,31.68,4.8,0.1593312533949704
0.14252794454381265,0.14799447232344862,13.682682676206014,0.0,95.0,0.13837597105238172,20347721622.170017,95.0,32.38953536184211,0.2275643772588557,-0.5427297348783197,gym_env,0.6986192017793655,0.0,0.32774633169174194,0.0,0.0,0.0,coarse_b35_wc6.6_wo24,35.0,6.6,24.0,3.6363636363636367,0.16056360010980208
0.1425846579980785,0.1478379249079283,13.688127167815537,0.0,95.0,0.16434607240888807,20334940333.50276,95.0,42.900164473684214,0.21813630429383843,-0.5395997650215557,gym_env,0.2102799154818058,0.0,0.25495436787605286,0.0,0.0,0.0,coarse_b24_wc6.6_wo18,24.0,6.6,18.0,2.7272727272727275,0.16086669695369596
0.1433898522881781,0.14902521863270043,13.765425819665097,0.0,95.0,0.14437741041183472,20338427115.66134,95.0,27.945297080592105,0.22978398050236903,-0.5666213380422909,gym_env,0.7477863281965256,0.0,0.3008449375629425,0.0,0.0,0.0,coarse_b29.75_wc6.6_wo18,29.75,6.6,18.0,2.7272727272727275,0.1621756051695575
0.1384994358503088,0.14408130796351515,13.295945841629646,0.0,95.0,0.11856610907448663,20330946074.674644,95.0,84.83632298519737,0.26178978685178406,-0.5392895657095282,gym_env,0.18542651110328734,0.0,0.6039279103279114,0.0,0.0,0.0,coarse_b40_wc6.6_wo36,40.0,6.6,36.0,5.454545454545455,0.16222288127190415
0.14442874699070055,0.14973319491623538,13.865159711107253,0.0,95.0,0.1857716573609246,20296840929.394684,95.0,60.146335320723686,0.20932007365069788,-0.5029219705780502,gym_env,0.5198533907532692,0.0,0.3594890236854553,0.0,0.0,0.0,baseline_no_td,29.75,6.6,31.68,4.8,0.1623871094574175
