step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,0.0,0.0,1.0,0.0,0.0,0.0
9.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,0.0,0.0,1.0,0.0,0.0,0.0
14.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,0.0,1.0,0.0,0.0,0.0
16.0,0.0,0.0,1.0,0.0,0.0,0.0
17.0,0.0,0.0,1.0,0.4200665056705475,0.0,0.0
18.0,0.00700110848993063,0.0,1.0,0.4200665056705475,0.0,0.0
19.0,0.01400221697986126,0.0,1.0,0.4200665056705475,0.0,0.0
20.0,0.021003324538469315,0.0,1.0,0.4200665056705475,0.0,0.0
21.0,0.02800443395972252,0.0,1.0,0.4200665056705475,0.0,0.0
22.0,0.03500554338097572,0.0,1.0,0.4200665056705475,0.0,0.0
23.0,0.04200664907693863,0.0,1.0,0.4200665056705475,0.0,0.0
24.0,0.049007758498191833,0.0,1.0,0.4200665056705475,0.0,0.0
25.0,0.05600886791944504,0.0,1.0,0.4200665056705475,0.0,0.0
26.0,0.06300997734069824,0.0,1.0,0.4200665056705475,0.0,0.0
27.0,0.07001108676195145,0.0,1.0,0.4200665056705475,0.0,0.0
28.0,0.07701219618320465,0.0,1.0,0.4200665056705475,0.0,0.0
29.0,0.08401329815387726,0.0,1.0,0.4200665056705475,0.0,0.0
30.0,0.09101440757513046,0.0,1.0,0.4200665056705475,0.0,0.0
31.0,0.09801551699638367,0.0,1.0,0.4200665056705475,0.0,0.0
32.0,0.10501662641763687,0.0,1.0,0.4200665056705475,0.0,0.0
33.0,0.11201773583889008,0.0,1.0,0.4200665056705475,0.0,0.0
34.0,0.11901884526014328,0.0,1.0,0.4200665056705475,0.0,0.0
35.0,0.12601995468139648,0.0,1.0,0.4200665056705475,0.0,0.0
36.0,0.1330210566520691,0.0,1.0,0.4200665056705475,0.0,0.0
37.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
38.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
39.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
40.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
41.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
42.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
43.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
44.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
45.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
46.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
47.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
48.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
49.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
50.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
51.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
52.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
53.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
54.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
55.0,0.1400221735239029,0.0,1.0,0.0,0.0,0.0
56.0,0.1400221735239029,0.0,1.0,-0.2379339635372162,0.0,0.0
57.0,0.13605660200119019,0.0,1.0,-0.2379339635372162,0.0,0.0
58.0,0.13209103047847748,0.0,1.0,-0.2379339635372162,0.0,0.0
59.0,0.12812547385692596,0.0,1.0,-0.2379339635372162,0.0,0.0
60.0,0.12415990233421326,0.0,1.0,-0.2379339635372162,0.0,0.0
61.0,0.12019433826208115,0.0,1.0,-0.2379339635372162,0.0,0.0
62.0,0.11622877418994904,0.0,1.0,-0.2379339635372162,0.0,0.0
63.0,0.11226320266723633,0.0,1.0,-0.2379339635372162,0.0,0.0
64.0,0.10829763859510422,0.0,1.0,-0.2379339635372162,0.0,0.0
65.0,0.1043320745229721,0.0,1.0,-0.2379339635372162,0.0,0.0
66.0,0.10036651045084,0.0,1.0,-0.2379339635372162,0.0,0.0
67.0,0.09640093892812729,0.0,1.0,-0.2379339635372162,0.0,0.0
68.0,0.09243537485599518,0.0,1.0,-0.2379339635372162,0.0,0.0
69.0,0.08846981078386307,0.0,1.0,-0.2379339635372162,0.0,0.0
70.0,0.08450424671173096,0.0,1.0,-0.2379339635372162,0.0,0.0
71.0,0.08053867518901825,0.0,1.0,-0.2379339635372162,0.0,0.0
