mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,stable,score,b0,omega_c,k,name,difficulty
0.08415493551690173,0.11695940353381366,32.315495238490264,0.2339672123392423,383.0,0.21994914848096014,80353944391.6041,383.0,0.6804541313098346,0.11760749244420797,-0.3705524774592892,1.0,8035394484.065482,24.400000000000002,0.6400000000000001,5.6000000000000005,refine_b0.80_w0.80_k0.80,medium
0.07968926117648482,0.11083908584304147,30.60067629177017,0.2161306751271089,383.0,0.19997428204014633,80357781775.7751,383.0,0.6786034221333769,0.11429733646538426,-0.3662555918912583,1.0,8035778222.134296,24.400000000000002,0.6400000000000001,6.3,refine_b0.80_w0.80_k0.90,medium
0.07322902154074584,0.0989870368123043,28.1199442716464,0.2070351168513298,383.0,0.1845007492392732,80352726104.93208,383.0,0.6860670283942559,0.09849554674164045,-0.358991329278048,1.0,8035272654.548125,24.400000000000002,0.6400000000000001,7.0,refine_b0.80_w0.80_k1.00,medium
0.0770616203722025,0.10760315076607747,29.591662222925763,0.22719907015562057,383.0,0.20627857700578475,80350812879.79054,383.0,0.648899008648825,0.10767104333349271,-0.36370921948271967,1.0,8035081332.330879,24.400000000000002,0.6400000000000001,7.700000000000001,refine_b0.80_w0.80_k1.10,medium
0.07804738848430287,0.10850855681627815,29.9701971779723,0.214375099982135,383.0,0.2011575823519052,80352352260.55367,383.0,0.6683278428252829,0.10424320968417329,-0.3640248901681278,1.0,8035235270.48439,24.400000000000002,0.6400000000000001,8.4,refine_b0.80_w0.80_k1.20,medium
0.06545057467446314,0.09118062960943907,25.133020674993844,0.19460526605447134,383.0,0.16702596414650447,80353958373.6829,383.0,0.6287859857756745,0.1011311729089066,-0.35082836042183035,1.0,8035395880.814741,24.400000000000002,0.7200000000000001,5.6000000000000005,refine_b0.80_w0.90_k0.80,medium
0.07118479300481441,0.09836192440475695,27.33496051384874,0.2032218500971794,383.0,0.19126840788674984,80351409369.78955,383.0,0.628768987298738,0.09578657920972784,-0.35592172342908324,1.0,8035140980.871942,24.400000000000002,0.7200000000000001,6.3,refine_b0.80_w0.90_k0.90,medium
0.07500749206973764,0.10485195501253915,28.802876954779254,0.21373830238978067,383.0,0.20204906949871462,80354078184.06145,383.0,0.671435164409269,0.10427581867393465,-0.36045931774157247,1.0,8035407862.600869,24.400000000000002,0.7200000000000001,7.0,refine_b0.80_w0.90_k1.00,medium
0.07052428483714797,0.09764233955049689,27.08132537746482,0.2022944800555706,383.0,0.17997458188288043,80358162593.04733,383.0,0.7690195958442123,0.10320642791371416,-0.35509305892810344,1.0,8035816303.159071,24.400000000000002,0.7200000000000001,7.700000000000001,refine_b0.80_w0.90_k1.10,medium
0.07798128269145782,0.10783007504754595,29.944812553519807,0.2099258607874314,383.0,0.20328958915023687,80353468421.48898,383.0,0.6688611700391646,0.1016183003075406,-0.36238276742623254,1.0,8035346886.572982,24.400000000000002,0.7200000000000001,8.4,refine_b0.80_w0.90_k1.20,medium
0.06534717283676043,0.08797923082562854,25.093314369316005,0.17442631907761097,383.0,0.14912661283865178,80352607292.22853,383.0,0.6573587256581811,0.09155690542775574,-0.3500438079986525,1.0,8035260772.660414,24.400000000000002,0.8,5.6000000000000005,refine_b0.80_w1.00_k0.80,medium
0.06899660275451865,0.09413370018940298,26.494695457735162,0.19821468678613505,383.0,0.1759638661812795,80359547282.507,383.0,0.7520194190600522,0.0995101143976197,-0.3545266111344425,1.0,8035954771.984183,24.400000000000002,0.8,6.3,refine_b0.80_w1.00_k0.90,medium
0.07108069098685858,0.0956174883739247,27.294985338953694,0.19001740030944347,383.0,0.17907415848356067,80352364915.49533,383.0,0.665231995213229,0.09641614378798846,-0.3554795386759925,1.0,8035236535.435381,24.400000000000002,0.8,7.0,refine_b0.80_w1.00_k1.00,medium
0.06905947150133061,0.09574390447007397,26.51883705651095,0.188609649737676,383.0,0.180671482437327,80358502138.31361,383.0,0.7737693952621845,0.1020320879318108,-0.3541557743321104,1.0,8035850257.573117,24.400000000000002,0.8,7.700000000000001,refine_b0.80_w1.00_k1.10,medium
0.0707310993500403,0.09813006064380426,27.160742150415473,0.2021901955207189,383.0,0.19277363258675395,80356271125.87013,383.0,0.7674740093287641,0.09714114560283645,-0.35483171986842493,1.0,8035627156.45917,24.400000000000002,0.8,8.4,refine_b0.80_w1.00_k1.20,medium
0.06213582296706746,0.08499400857044871,23.860156019353905,0.17345762811601162,383.0,0.14028476815049848,80363973833.08977,383.0,0.8106909370920365,0.1050634306178635,-0.34824910103132695,1.0,8036397426.512868,24.400000000000002,0.8800000000000001,5.6000000000000005,refine_b0.80_w1.10_k0.80,medium
0.06491025804120783,0.08737662745957751,24.925539087823807,0.17320911256441227,383.0,0.15273096008847156,80354949488.43736,383.0,0.6796071821964752,0.09250569279899064,-0.3498723885431588,1.0,8035494992.250297,24.400000000000002,0.8800000000000001,6.3,refine_b0.80_w1.10_k0.90,medium
0.065441851350305,0.08704220185369634,25.12967091851712,0.1672087317953507,383.0,0.1539808365806382,80354583024.66875,383.0,0.7640194938533508,0.08915113482553173,-0.34970567215845466,1.0,8035458345.922773,24.400000000000002,0.8800000000000001,7.0,refine_b0.80_w1.10_k1.00,medium
0.06791750902322681,0.0930772736425024,26.080323464919093,0.172770358932515,383.0,0.16682599311586768,80360498803.75572,383.0,0.7881110102534813,0.09763491756203337,-0.35376163470004235,1.0,8036049924.0280485,24.400000000000002,0.8800000000000001,7.700000000000001,refine_b0.80_w1.10_k1.10,medium
0.06625556730835622,0.09151389615755769,25.442137846408787,0.18358109022180238,383.0,0.16780023707134095,80357335424.54974,383.0,0.8055769453057007,0.09482774503548515,-0.3515102966747281,1.0,8035733585.98116,24.400000000000002,0.8800000000000001,8.4,refine_b0.80_w1.10_k1.20,medium
0.06304269996511484,0.08534265066323071,24.2083967866041,0.15912914221795896,383.0,0.15005671083028507,80359757089.00221,383.0,0.726199157555483,0.09715019663679314,-0.34839925486745854,1.0,8035975752.1669,24.400000000000002,0.96,5.6000000000000005,refine_b0.80_w1.20_k0.80,medium
0.061394115517876574,0.08512256834812898,23.575340358864604,0.17179848439991474,383.0,0.15299354727878317,80365229134.2541,383.0,0.8722305231451263,0.09953877114900918,-0.34817952237552574,1.0,8036522956.580444,24.400000000000002,0.96,6.3,refine_b0.80_w1.20_k0.90,medium
0.05960332900280115,0.08159799024712246,22.88767833707564,0.15853885809580484,383.0,0.1458265661065908,80359678329.09831,383.0,0.810823525212141,0.09527776597446312,-0.34531066726936593,1.0,8035967875.918883,24.400000000000002,0.96,7.0,refine_b0.80_w1.20_k1.00,medium
0.06407506587465137,0.08649503738362264,24.604825295866124,0.16569835599511862,383.0,0.15597310718077464,80359832959.545,383.0,0.8162396649260226,0.09401779670865695,-0.3481251319344765,1.0,8035983339.310759,24.400000000000002,0.96,7.700000000000001,refine_b0.80_w1.20_k1.10,medium
0.06310033418632706,0.08534906310608072,24.230528327549592,0.16099372133612633,383.0,0.15197547246587642,80364328520.10231,383.0,0.8945894697835074,0.09863583337747907,-0.34993383160090225,1.0,8036432895.298464,24.400000000000002,0.96,8.4,refine_b0.80_w1.20_k1.20,medium
0.08366223494280779,0.11576423243954509,32.126298218038194,0.2253403142094612,383.0,0.20471626592048428,80353874141.10692,383.0,0.652182689431027,0.1203306813936821,-0.36996968145266323,1.0,8035387458.972395,27.45,0.6400000000000001,5.6000000000000005,refine_b0.90_w0.80_k0.80,medium
0.08378305842808638,0.11446989017623738,32.17269443638517,0.22281098365783691,383.0,0.20614160051602023,80351401609.5182,383.0,0.599366721741732,0.1091139761549366,-0.36889984333922593,1.0,8035140205.817282,27.45,0.6400000000000001,6.3,refine_b0.90_w0.80_k0.90,medium
0.0799572792752321,0.11410489237256975,30.70359524168912,0.23443119383106628,383.0,0.2215874317151151,80353342127.73987,383.0,0.70487881785792,0.1110006458374055,-0.3648516567060578,1.0,8035334257.358369,27.45,0.6400000000000001,7.0,refine_b0.90_w0.80_k1.00,medium
0.08598395745609815,0.11537577242272644,33.01783966314168,0.2313272257645925,383.0,0.20868947044864558,80350775956.51834,383.0,0.674559059508268,0.10708402735097695,-0.3715268210885126,1.0,8035077640.694543,27.45,0.6400000000000001,7.700000000000001,refine_b0.90_w0.80_k1.10,medium
0.08608547295356901,0.11655206733347813,33.0568216141705,0.23386882276584706,383.0,0.2209691704463279,80347426355.37944,383.0,0.609358426484987,0.10174874365261939,-0.37112842310326616,1.0,8034742680.584184,27.45,0.6400000000000001,8.4,refine_b0.90_w0.80_k1.20,medium
0.08027682184492335,0.10687737555924594,30.826299588450567,0.20375002330789962,383.0,0.18262570163668054,80349445184.07355,383.0,0.5864814512619669,0.10856397531120447,-0.3667002225166463,1.0,8034944562.996064,27.45,0.7200000000000001,5.6000000000000005,refine_b0.90_w0.90_k0.80,medium
0.0681753628263579,0.09771992638724279,26.179339325321436,0.20066711554924646,383.0,0.16883321532192272,80354293371.65834,383.0,0.6945675417482593,0.10836423898899022,-0.3540025475216513,1.0,8035429380.830686,27.45,0.7200000000000001,6.3,refine_b0.90_w0.90_k0.90,medium
0.0744318928176602,0.10015316767179243,28.581846841981516,0.2017060580352942,383.0,0.18240648316088737,80350185274.65623,383.0,0.6415416428687989,0.09240430938539423,-0.3591921673464946,1.0,8035018571.6085615,27.45,0.7200000000000001,7.0,refine_b0.90_w0.90_k1.00,medium
0.07407178387726789,0.09942602453787991,28.443565008870873,0.20220372701684633,383.0,0.18150437629287408,80350149960.31587,383.0,0.6388686323705396,0.09593948132091629,-0.3590464830760148,1.0,8035015040.146213,27.45,0.7200000000000001,7.700000000000001,refine_b0.90_w0.90_k1.10,medium
0.07863254875739145,0.10646646000918154,30.194898722838317,0.2070307508111,383.0,0.18649538435662785,80351897643.9769,383.0,0.719753335101175,0.10449393042337367,-0.36499832111151315,1.0,8035189808.873882,27.45,0.7200000000000001,8.4,refine_b0.90_w0.90_k1.20,medium
0.06911803886799402,0.09333027167756204,26.5413269253097,0.18439844021728882,383.0,0.17114604755892956,80351280468.02795,383.0,0.6263462793733682,0.09207165292198345,-0.3525002288722898,1.0,8035128090.532033,27.45,0.8,5.6000000000000005,refine_b0.90_w1.00_k0.80,medium
0.0707643047863361,0.0982609918329966,27.173493037953065,0.20250519985953966,383.0,0.18689335323870182,80353912283.27373,383.0,0.6771534520506962,0.10683990725547048,-0.35552064833236097,1.0,8035391272.192213,27.45,0.8,6.3,refine_b0.90_w1.00_k0.90,medium
0.0680025493936313,0.09100211160686904,26.112978967154422,0.19219140087564787,383.0,0.16603716142491434,80354022886.39795,383.0,0.7459433134791121,0.09560373433507359,-0.3523070939977669,1.0,8035402332.293742,27.45,0.8,7.0,refine_b0.90_w1.00_k1.00,medium
0.0732923391453255,0.10031089974418679,28.144258231804994,0.19070477535327277,383.0,0.1742319131388509,80354089434.18774,383.0,0.6784104894201479,0.1002488967419856,-0.3576381804422459,1.0,8035408987.476711,27.45,0.8,7.700000000000001,refine_b0.90_w1.00_k1.10,medium
0.07195733481901238,0.09835035908969943,27.631616570500753,0.18779894337058067,383.0,0.1830023215111476,80350907557.95361,383.0,0.6476083992874239,0.09533549603473578,-0.3562255729263694,1.0,8035090799.748319,27.45,0.8,8.4,refine_b0.90_w1.00_k1.20,medium
0.07076979325999813,0.09704962554382252,27.175600611839283,0.18624983231226602,383.0,0.1666277292094667,80356321218.47968,383.0,0.6713901184453873,0.10271158382858898,-0.35536777460833363,1.0,8035632165.709188,27.45,0.8800000000000001,5.6000000000000005,refine_b0.90_w1.10_k0.80,medium
0.06711145190793989,0.08981448710609326,25.770797532648917,0.16982382287581763,383.0,0.15082829494719607,80357152208.81221,383.0,0.732905056706919,0.09899381533069335,-0.35171492354150286,1.0,8035715264.462731,27.45,0.8800000000000001,6.3,refine_b0.90_w1.10_k0.90,medium
