time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,y_b0,y_omega_c,y_k,z_b0,z_omega_c,z_k
6.9375,x,gym_env,0.32459187507629395,2.7918783617971767e-14,1.0002557039260864,-0.1744062304496765,1.6028445118474594e-14,9.183847578242421e-05,-4.408284241707092e-16,-0.044509369879961014,1.1104702854538609e-17,0.21628206968307495,0.0,1.0,-0.22685888409614563,0.0,0.0,14896.7822265625,14037.58203125,14037.58203125,14896.7822265625,-0.7984956725656986,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
6.958333333333333,x,gym_env,0.3208475708961487,2.8253636070812126e-14,1.000256896018982,-0.18305878341197968,1.610220982971918e-14,4.527588316705078e-05,-4.3000051083838184e-16,-0.04078403487801552,9.416217947622904e-18,0.2115558385848999,0.0,1.0,-0.22685888409614563,0.0,0.0,14895.87890625,14036.6787109375,14036.6787109375,14895.87890625,-0.11140139758586882,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
6.979166666666666,x,gym_env,0.3169303238391876,2.85899945482327e-14,1.000257134437561,-0.19149717688560486,1.6173584213986618e-14,-1.778647128958255e-05,-4.1943507184058493e-16,-0.05069480836391449,1.3584029502517275e-17,0.20682960748672485,0.0,1.0,-0.22685888409614563,0.0,0.0,14036.0576171875,14895.2578125,14895.2578125,14036.0576171875,-0.79706344820261,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.0,x,gym_env,0.3128126263618469,2.892781161638845e-14,1.0002546310424805,-0.20205706357955933,1.6242502202707017e-14,-0.00020028844301123172,-4.077631431158779e-16,-0.05786394700407982,1.652817540646909e-17,0.202103391289711,0.0,1.0,-0.22685888409614563,0.0,0.0,14036.0341796875,14895.2333984375,14895.2333984375,14036.0341796875,-0.10837723770141601,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.020833333333333,x,gym_env,0.3084591031074524,2.9267027982973065e-14,1.0002474784851074,-0.21350964903831482,1.6308702909732624e-14,-0.00043202925007790327,-3.947113977200936e-16,-0.05139381065964699,1.3882408438716178e-17,0.19737716019153595,0.0,1.0,-0.22685888409614563,0.0,0.0,14897.1640625,14037.9638671875,14037.9638671875,14897.1640625,-0.7943663981616497,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.041666666666666,x,gym_env,0.3038831651210785,2.960758943787792e-14,1.0002371072769165,-0.2235213667154312,1.6372074526714402e-14,-0.0005328711122274399,-3.809223630832836e-16,-0.04766121879220009,1.2362716353236818e-17,0.1926509290933609,0.0,1.0,-0.22685888409614563,0.0,0.0,14530.150390625,14404.61328125,14404.61328125,14530.150390625,-0.4008603953182697,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.0625,x,gym_env,0.29910728335380554,2.994943499473081e-14,1.0002228021621704,-0.23311759531497955,1.643240698948143e-14,-0.000794728402979672,-3.6806665287522947e-16,-0.05058024078607559,1.3410960984494643e-17,0.18792471289634705,0.0,1.0,-0.22685888409614563,0.0,0.0,14038.759765625,14897.958984375,14897.958984375,14038.759765625,-0.5025363181233407,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.083333333333333,x,gym_env,0.2941253185272217,3.0292500279027745e-14,1.0002052783966064,-0.24313342571258545,1.649002217055367e-14,-0.0008736212039366364,-3.5615472265887384e-16,-0.046111393719911575,1.1749455400437967e-17,0.183198481798172,0.0,1.0,-0.22685888409614563,0.0,0.0,14387.669921875,14549.53125,14549.53125,14387.669921875,-0.38843166776895527,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.104166666666666,x,gym_env,0.28894752264022827,3.063673446879189e-14,1.0001845359802246,-0.25184202194213867,1.6544996302896367e-14,-0.001059250789694488,-3.4308291317015145e-16,-0.03465481474995613,7.675559450751028e-18,0.17847225069999695,0.0,1.0,-0.22685888409614563,0.0,0.0,14902.0458984375,14042.845703125,14042.845703125,14902.0458984375,-0.5182958150625229,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
7.125,x,gym_env,0.283616304397583,3.098207657765105e-14,1.0001646280288696,-0.2583732306957245,1.6597154897722392e-14,-0.0008784594247117639,-3.274374999503153e-16,-0.030369075015187263,6.1583125111623755e-18,0.1737460196018219,0.0,1.0,-0.22685888409614563,0.0,0.0,14400.3193359375,14539.8369140625,14539.8369140625,14400.3193359375,-0.5095185219168663,0.0,0.0,0.0,30.5,1.5,11.0,30.5,1.5,11.0,300.0,15.0,7.333333333333333
