mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward,b0,omega_c,k,score
0.17837985183779498,0.2561756615767171,68.49786310571326,0.3416898138821125,379.0,0.33676032643071313,80339674214.90518,379.0,0.5694213548466057,0.18575789427761807,-0.47220989279856973,154.0,0.5,6.584615384615384,8033967473.287209
0.15297075751347824,0.22270996437276458,58.74077088517564,0.5610523894429207,383.0,0.4490065631800558,80340351750.6494,383.0,0.4909636096605744,0.19431369557107686,-0.44703610720196785,154.0,0.5,6.984615384615384,8034035225.30749
0.08356487430262297,0.11143411074776988,32.088911732207215,0.033255018293857574,383.0,0.10043322403285665,80339239722.18002,383.0,0.559217169141645,0.08010729242699434,-0.3659887602197236,154.0,0.5,7.384615384615384,8033924017.0457735
0.13894140893837806,0.19038486264137267,53.35350103233717,0.2680869847536087,383.0,0.20205444568579733,80341206459.7798,383.0,0.5034625897519582,0.15155599114646562,-0.42881158228449456,154.0,0.5,7.7846153846153845,8034120695.09597
0.1744091209273578,0.2605266833022267,66.97310243610539,0.5796220265328884,383.0,0.5527225911520011,80342424961.75644,383.0,0.519726307522846,0.17103215603408617,-0.4668564552357174,154.0,0.5,8.184615384615384,8034242548.09633
0.0754207570596174,0.10158144724433049,28.961570710893085,0.11309079080820084,383.0,0.10023425251672866,80339784796.76848,383.0,0.5932840292509791,0.10933361815102702,-0.3609146597100104,154.0,0.6000000000000001,6.584615384615384,8033978523.87908
0.16086476302571687,0.24590019915664482,61.77206900187528,0.5758593399077654,383.0,0.5222307712526679,80341866614.53513,383.0,0.56057428504406,0.1512496978363403,-0.4511524602736849,154.0,0.6000000000000001,6.984615384615384,8034186712.328384
0.07766559863189164,0.12537240042788583,29.823589874646387,0.4119955822825432,383.0,0.3186709969354285,80338338934.88364,383.0,0.5235745502203003,0.12413701436662487,-0.36453311142212574,154.0,0.6000000000000001,7.384615384615384,8033833937.89712
0.08727618883390606,0.14369171540070602,33.51405651221992,0.35045716911554337,303.5,0.2935250447400521,80339189029.90506,303.5,0.5649159085345953,0.12272719938529655,-0.3731139012916691,154.0,0.6000000000000001,7.7846153846153845,8033918940.19413
0.1201209010265536,0.16862259957084375,46.12642599419658,0.3604152649641037,383.0,0.3025203710226618,80346319471.72578,383.0,0.5688425567069191,0.1336283377737305,-0.4071848166459938,154.0,0.6000000000000001,8.184615384615384,8034631994.859144
0.07469546579387695,0.10185380066662136,28.683058864848753,0.21912303566932678,362.5,0.08878735100695753,80354714432.11148,362.5,0.6917262463283289,0.1513586767224998,-0.3676127736649271,154.0,1.3,6.584615384615384,8035471485.3159
0.07247699670609763,0.10185469838840999,27.831166735141487,0.21637385338544846,335.5,0.0848932394630394,80352531575.15096,335.5,0.7482827288674935,0.14255276498704345,-0.36466116194738807,154.0,1.3,6.984615384615384,8035253196.75454
0.0741214054471908,0.1026206937551711,28.462619691721265,0.22752386704087257,365.5,0.04356599285758995,80350655313.03522,365.5,0.6537843709203656,0.12824469409439782,-0.3633823042786126,154.0,1.3,7.384615384615384,8035065573.653876
0.07136978299536921,0.0958862805473056,27.405996670221775,0.19686536490917206,379.0,0.11404594373590571,80349905011.77484,379.0,0.6152490361863576,0.11737310213514374,-0.3599015641117804,154.0,1.3,7.7846153846153845,8034990544.670876
